META; english/non-league/national-league/barrow-v-dover; 2018-03-18 14:19:56 GMT+2; 2018-03-24 15:00; e70300-dr003
Barrow; 8/5
Dover; 8/5
Draw; 9/4
META; english/non-league/national-league/barrow-v-dover; 2018-03-19 08:18:47 GMT+2; 2018-03-24 15:00; e70300-dr003
Barrow; 7/5; 8/5; 79/50; 6/4; 29/20; 7/5; 7/5; 31/20; 29/20; 12/5
Dover; 13/8; 8/5; 44/25; 13/8; 7/4; 8/5; 28/17; 17/10; 17/10; 20/21
Draw; 12/5; 9/4; 131/50; 23/10; 9/4; 9/4; 12/5; 12/5; 49/20; 12/5
META; english/non-league/national-league/barrow-v-dover; 2018-03-20 08:19:47 GMT+2; 2018-03-24 15:00; e70300-dr003
Barrow; 7/5; 6/4; 79/50; 7/5; 10/7; 7/5; 11/8; 29/20; 7/5; 7/5; 7/5; 10/7; 29/20; 29/20; 7/5; 1/20; 12/5
Dover; 13/8; 13/8; 44/25; 13/8; 28/17; 9/5; 17/10; 17/10; 17/10; 8/5; 28/17; 28/17; 9/5; 17/10; 8/5; 1/16; 20/21
Draw; 12/5; 23/10; 131/50; 23/10; 40/17; 9/4; 21/10; 43/20; 9/4; 12/5; 12/5; 40/17; 12/5; 49/20; 12/5; 1/4; 12/5
META; english/non-league/national-league/barrow-v-dover; 2018-03-21 14:20:21 GMT+2; 2018-03-24 15:00; e70300-dr003
Dover; 8/5; 13/8; 13/8; 1/100; 87/50; 6/4; 8/5; 28/17; 13/8; 8/5; 6/4; 8/5; 6/4; 6/4; 17/11; 6/4; 19/13; 28/17; 13/8; 13/8; 8/5; 6/5; 6/4; 17/10
Barrow; 13/8; 13/8; 13/8; 1/100; 7/4; 6/4; 8/5; 10/7; 13/8; 13/8; 8/5; 13/8; 6/4; 6/4; 8/5; 17/11; 17/11; 10/7; 17/10; 33/20; 8/5; 6/5; 6/4; 17/10
Draw; 23/10; 23/10; 21/10; 1/100; 59/25; 11/5; 11/5; 40/17; 21/10; 9/4; 21/10; 21/10; 21/10; 21/10; 11/5; 12/5; 23/10; 40/17; 9/4; 9/4; 11/5; 19/10; 2; 23/10
META; english/non-league/national-league/barrow-v-dover; 2018-03-22 12:39:01 GMT+2; 2018-03-24 15:00; e70300-dr003
Barrow; 13/8; 13/8; 13/8; 8/5; 43/25; 6/4; 8/5; 10/7; 13/8; 8/5; 31/20; 13/8; 6/4; 6/4; 8/5; 17/11; 17/11; 10/7; 17/10; 33/20; 28/17; 11/8; 6/4; 17/10
Dover; 8/5; 13/8; 13/8; 8/5; 44/25; 6/4; 13/8; 28/17; 13/8; 8/5; 6/4; 8/5; 6/4; 6/4; 8/5; 6/4; 19/13; 28/17; 13/8; 13/8; 28/17; 11/8; 6/4; 17/10
Draw; 23/10; 23/10; 21/10; 21/10; 119/50; 11/5; 11/5; 40/17; 21/10; 11/5; 21/10; 21/10; 21/10; 21/10; 9/4; 12/5; 23/10; 40/17; 9/4; 9/4; 9/4; 2; 23/10; 
META; english/non-league/national-league/barrow-v-dover; 2018-03-23 14:45:49 GMT+2; 2018-03-24 15:00; e70300-dr003
Barrow; 13/8; 13/8; 33/20; 17/10; 43/25; 6/4; 8/5; 10/7; 33/20; 8/5; 13/8; 33/20; 6/4; 8/5; 8/5; 17/11; 28/17; 10/7; 17/10; 33/20; 28/17; 13/8; 13/8; 17/10
Dover; 8/5; 13/8; 8/5; 17/10; 44/25; 6/4; 13/8; 28/17; 8/5; 8/5; 8/5; 8/5; 6/4; 6/4; 8/5; 6/4; 17/11; 28/17; 8/5; 13/8; 8/5; 13/8; 17/10; 17/10
Draw; 23/10; 23/10; 21/10; 11/5; 11/5; 40/17; 21/10; 11/5; 19/10; 21/10; 21/10; 21/10; 9/4; 12/5; 23/10; 40/17; 23/10; 9/4; 9/4; 2; 21/10; 23/10; ; 
