META; english/non-league/national-league/aldershot-v-hartlepool; 2018-02-27 18:19:05 GMT+2; 2018-03-03 15:00; e70300-dr003
Aldershot; 4/7; 8/11; 11/18; 13/20; 33/50; ; 3/5; ; 3/5; 8/13; 3/5; 6/10; ; 8/13; 8/13; 8/13; 10/17; 8/13; 10/17; 3/5; 8/13; 8/13; 11/18; ; 4/9; 4/7; 
Draw; 3; 13/5; 27/10; 13/5; 149/50; ; 14/5; ; 29/10; 27/10; 11/4; 13/5; ; 13/5; 3; 13/5; 14/5; 14/5; 29/10; 29/10; 29/10; 29/10; 37/13; ; 27/10; 23/10; 
Hartlepool; 9/2; 10/3; 21/5; 19/5; 24/5; ; 4; ; 19/5; 21/5; 21/5; 15/4; ; 4; 4; 4; 41/10; 15/4; 15/4; 19/5; 22/5; 17/4; 54/13; ; 7/2; 7/2; 
META; english/non-league/national-league/aldershot-v-hartlepool; 2018-03-01 16:01:23 GMT+2; ; e70300-dr003
Aldershot d w w l d d; 1/2; 8/15; 1/2; 4/9; 8/15; 7/15; 1/2; 1/2; 1/2; 4/9; 1/2; 8/15; 1/2; 18/35; 1/2; 17/35; 1/2; 1/2; 12/25; 18/35; 4/9; 4/9
Draw; 31/10; 3; 29/10; 3; 13/4; 3; 37/13; 29/10; 29/10; 14/5; 14/5; 3; 14/5; 3; 14/5; 3; 37/13; 31/10; 16/5; 58/19; 27/10; 13/5
Hartlepool l d l w l l; 11/2; 11/2; 11/2; 11/2; 63/10; 11/2; 51/10; 11/2; 11/2; 5; 5; 67/13; 21/4; 26/5; 51/10; 6; 11/2; 26/5; 21/5; 23/5; ; 
META; english/non-league/national-league/aldershot-v-hartlepool; 2018-03-02 08:22:28 GMT+2; 2018-03-03 15:00; e70300-dr003
Aldershot; 1/2; 4/7; 1/2; 4/9; 8/15; 7/15; 1/2; 1/2; 1/2; 4/9; 8/15; 8/15; 4/9; 18/35; 1/2; 11/21; 1/2; 8/15; 12/25; 8/15; 4/9; 4/9
Draw; 31/10; 29/10; 29/10; 3; 13/4; 3; 37/13; 29/10; 29/10; 13/5; 14/5; 3; 14/5; 3; 14/5; 3; 37/13; 31/10; 16/5; 3; 14/5; 11/4
Hartlepool; 11/2; 5; 11/2; 11/2; 63/10; 11/2; 51/10; 11/2; 11/2; 11/2; 5; 11/2; 96/19; 21/4; 24/5; 51/10; 21/4; 11/2; 51/10; 28/5; 27/5; 
META; english/non-league/national-league/aldershot-v-hartlepool; 2018-03-02 14:01:41 GMT+2; 2018-03-03 15:00; e70300-dr003
Aldershot; 1/2; 4/7; 1/2; 4/9; 8/15; 40/85; 7/15; 1/2; 1/2; 1/2; 1/2; 8/15; 8/15; 1/2; 10/21; 1/2; 11/21; 1/2; 12/25; 10/21; 4/9; 1/2
Draw; 31/10; 29/10; 29/10; 3; 13/4; 29/10; 3; 37/13; 29/10; 29/10; 11/4; 14/5; 3; 14/5; 58/19; 14/5; 3; 37/13; 16/5; 58/19; 14/5; 11/4
Hartlepool; 11/2; 5; 11/2; 11/2; 63/10; 5; 11/2; 51/10; 11/2; 11/2; 9/2; 5; 5; 57/10; 21/4; 24/5; 51/10; 11/2; 23/4; 11/2; 27/5; 
META; english/non-league/national-league/aldershot-v-hartlepool; 2018-03-03 12:20:30 GMT+2; 2018-03-03 15:00; e70300-dr003
Aldershot; 8/15; 1/2
Draw; 3; 14/5
Hartlepool; 11/2; 21/4
META; english/non-league/national-league/aldershot-v-hartlepool; 2018-03-05 20:20:27 GMT+2; 2018-03-06 19:45; e70300-dr003
Aldershot; 4/7; 8/13; 4/7; 61/100; 8/15; 6/11; 4/7; 8/15; 4/7; 4/7; 4/7; 8/15; 8/15; 4/7; 6/11; 4/7; 4/7; 5/9; 4/7; 8/15
Draw; 11/4; 29/10; 14/5; 31/10; 11/4; 37/13; 11/4; 5/2; 27/10; 14/5; 13/5; 29/10; 13/5; 31/10; 37/13; 3; 29/10; 29/10; 14/5; 12/5
Hartlepool; 5; 9/2; 5; 26/5; 9/2; 43/10; 9/2; 9/2; 9/2; 19/4; 4; 63/13; 21/4; 21/5; 43/10; 19/4; 19/4; 49/10; 23/5; 4
META; english/non-league/national-league/aldershot-v-hartlepool; 2018-03-06 15:06:36 GMT+2; 2018-03-06 19:45; e70300-dr003
Aldershot; 8/15; 4/7; 8/15; 8/13; 3/5; 1/2; 6/11; 8/15; 8/15; 8/15; 11/20; 3/5; 8/15; 8/15; 4/7; 6/11; 6/11; 8/15; 4/7; 4/7
Draw; 14/5; 3; 29/10; 14/5; 16/5; 14/5; 37/13; 29/10; 29/10; 14/5; 14/5; 14/5; 14/5; 56/19; 13/5; 16/5; 37/13; 56/19; 14/5; 3
Hartlepool; 11/2; 19/4; 9/2; 5; 26/5; 5; 43/10; 9/2; 5; 9/2; 9/2; 9/2; 24/5; 19/4; 43/10; 43/10; 63/13; 24/5; 5; 
