META; english/non-league/national-league/dover-v-maidstone; 2017-12-26 12:50:54 GMT+2; 2017-12-26 15:00; e70300-dr003
Dover; 19/20; 1; 1; 21/20; 26/25; 10/11; 1; ; 1; 1; 20/21; 10/11; ; 1; 19/20; 19/20; 19/20; 1; 19/20; 24/23; 1; 1; 1; 19/20; 1; ; 1; 1; 
Draw; 5/2; 12/5; 23/10; 12/5; 131/ 50; 23/10; 12/5; ; 12/5; 23/10; 12/5; 23/10; ; 23/10; 13/5; 23/10; 5/2; 27/11; 5/2; 5/2; 12/5; 5/2; 5/2; 49/20; 27/11; ; 12/5; 12/5; 
Maidstone; 11/4; 5/2; 5/2; 13/5; 57/20; 27/10; 13/5; ; 12/5; 5/2; 13/5; 5/2; ; 5/2; 13/5; 5/2; 11/5; 28/11; 11/5; 12/5; 12/5; 13/5; 27/10; 27/10; 28/11; ; 11/4; 14/5; 
