META; english/non-league/national-league/gateshead-v-leyton-orient; 2018-04-23 10:19:22 GMT+3; 2018-04-28 12:30; e70300-dr003
Gateshead; 5/4; 23/20; 6/5; 5/4; 6/5; 23/20; 6/5; 6/5; 5/4; 5/4; 6/5; 8/11; 6/4
Leyton Orient; 11/5; 2; 21/10; 39/19; 21/10; 2; 39/19; 39/19; 9/4; 21/10; 11/8; 9/5; 
Draw; 9/4; 21/10; 11/5; 11/5; 9/4; 11/5; 11/5; 28/13; 11/5; 9/4; 28/13; 7/5; 9/5
META; english/non-league/national-league/gateshead-v-leyton-orient; 2018-04-24 08:19:25 GMT+3; 2018-04-28 12:30; e70300-dr003
Gateshead; 5/4; 23/20; 5/4; 5/4; 13/10; 23/20; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 10/9; 23/20
Leyton Orient; 11/5; 2; 21/10; 39/19; 2; 2; 39/19; 21/10; 39/19; 9/4; 21/10; 27/20; 11/8; 
Draw; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 28/13; 11/5; 11/5; 9/4; 11/5; 9/5; 15/8
META; english/non-league/national-league/gateshead-v-leyton-orient; 2018-04-25 08:18:35 GMT+3; 2018-04-28 12:30; e70300-dr003
Gateshead; 5/4; 23/20; 6/5; 5/4; 6/5; 23/20; 6/5; 6/5; 6/5; 5/4; 5/4; 6/5; 5/6; 10/11
Leyton Orient; 11/5; 2; 21/10; 39/19; 21/10; 2; 21/10; 21/10; 39/19; 9/4; 21/10; 7/5; 6/4; 
Draw; 9/4; 11/5; 11/5; 11/5; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 13/8; 13/8
META; english/non-league/national-league/gateshead-v-leyton-orient; 2018-04-25 12:19:18 GMT+3; 2018-04-28 12:30; e70300-dr003
Gateshead; 5/4; 23/20; 6/5; 5/4; 6/5; 23/20; 11/10; 6/5; 6/5; 5/4; 5/4; 6/5; 10/11; 20/21
Leyton Orient; 11/5; 2; 21/10; 39/19; 11/5; 2; 21/10; 39/19; 21/10; 39/19; 9/4; 21/10; 13/8; 6/4
Draw; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 9/4; 11/5; 11/5; 9/4; 9/4; 13/8; 13/8
META; english/non-league/national-league/gateshead-v-leyton-orient; 2018-04-26 12:19:12 GMT+3; 2018-04-28 12:30; e70300-dr003
Gateshead; 29/20; 7/5; 29/20; 153/00; 13/10; 7/5; 7/5; 7/5; 11/8; 7/5; 13/10; 11/8; 16/11; 6/5; 4/3; 7/5; 29/20; 16/11; 6/5; 13/10; 7/5
Leyton Orient; 19/10; 19/10; 17/10; 46/25; 9/5; 9/5; 9/5; 15/8; 17/10; 9/5; 17/10; 7/4; 9/5; 21/10; 48/29; 9/5; 9/5; 9/5; 19/10; 7/5; 9/5
Draw; 9/4; 12/5; 11/5; 12/5; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 21/10; 9/4; 11/5; 12/5; 11/5; 12/5; 9/4; 11/5; 15/8; 23/10
META; english/non-league/national-league/gateshead-v-leyton-orient; 2018-04-27 08:18:06 GMT+3; 2018-04-28 12:30; e70300-dr003
Gateshead; 29/20; 7/5; 29/20; 29/20; 159/00; 7/5; 7/5; 7/5; 29/20; 29/20; 7/5; 7/5; 7/5; 7/5; 16/11; 6/5; 16/11; 7/5; 29/20; 6/4; 6/4; 13/10; 6/4
Leyton Orient; 19/10; 19/10; 17/10; 17/10; 89/50; 7/4; 9/5; 9/5; 17/10; 9/5; 13/8; 7/4; 13/8; 17/10; 7/4; 21/10; 17/10; 9/5; 9/5; 7/4; 13/8; 17/10; 17/10
Draw; 9/4; 12/5; 11/5; 11/5; 119/0; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 11/5; 12/5; 11/5; 12/5; 21/10; 11/5; 23/10; ; 
META; english/non-league/national-league/gateshead-v-leyton-orient; 2018-04-28 12:21:15 GMT+3; 2018-04-28 12:30; e70300-dr003
Gateshead; 13/8; 13/8; 13/8; 6/4; 87/50; 31/20; 8/5; 17/11; 13/8; 13/8; 8/5; 13/8; 6/4; 6/4; 28/17; 6/4; 18/11; 17/11; 17/10; 28/17; 13/8; 17/10; 13/8; 7/4
Leyton Orient; 31/20; 13/8; 6/4; 9/5; 8/5; 8/5; 13/8; 17/11; 6/4; 8/5; 29/20; 6/4; 6/4; 6/4; 17/11; 17/10; 53/35; 17/11; 31/20; 17/11; 6/4; 13/8; 8/5; 17/10
Draw; 12/5; 12/5; 11/5; 23/10; 121/0; 11/5; 23/10; 9/4; 11/5; 11/5; 11/5; 11/5; 21/10; 11/5; 23/10; 21/10; 12/5; 9/4; 12/5; 23/10; 21/10; 9/4; 9/4; 23/10
