META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-05 20:20:54 GMT+2; 2018-03-10 15:00; e70300-dr003
Gateshead; 6/5; 11/10; 11/10; 6/5; 13/11; 6/5; 23/20; 11/10; 15/13; 15/13; 13/11; 6/5; 6/5; 15/13; 4/5
Maidenhead Utd; 9/4; 21/10; 11/5; 11/5; 28/13; 11/5; 21/10; 21/10; 28/13; 11/5; 28/13; 23/10; 9/4; 28/13; 2
Draw; 23/10; 12/5; 21/10; 11/5; 9/4; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 23/10; 9/4; 11/5; 21/10
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-06 15:07:04 GMT+2; 2018-03-10 15:00; e70300-dr003
Gateshead; 6/5; 11/10; 13/10; 11/10; 6/5; 13/11; 6/5; 23/20; 11/10; 15/13; 15/13; 13/11; 6/5; 15/13; 5/6
Maidenhead Utd; 9/4; 21/10; 47/20; 11/5; 21/10; 28/13; 11/5; 21/10; 21/10; 21/10; 11/5; 28/13; 9/4; 28/13; 2
Draw; 23/10; 12/5; 121/0; 21/10; 9/4; 9/4; 9/4; 21/10; 11/5; 11/5; 11/5; 9/4; 9/4; 11/5; 21/10
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-08 10:17:42 GMT+2; 2018-03-10 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 11/10; 131/100; 11/10; 6/5; 13/11; 5/4; 6/5; 23/20; 5/4; 5/4; 6/5; 6/5; 15/13; 16/13; 13/11; 5/4; 5/4; 6/5; 21/20; 5/4
Maidenhead Utd; 23/10; 21/10; 2; 21/10; 57/25; 21/10; 21/10; 28/13; 2; 11/5; 2; 41/20; 21/10; 2; 28/13; 11/5; 35/19; 28/13; 85/40; 21/10; 28/13; 9/5; 9/4
Draw; 23/10; 23/10; 11/5; 12/5; 62/25; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 40/17; 9/4; 12/5; 9/4; 40/17; 2; 12/5
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-08 12:21:16 GMT+2; 2018-03-10 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 11/10; 131/00; 11/10; 6/5; 13/11; 5/4; 6/5; 23/20; 5/4; 5/4; 6/5; 6/5; 15/13; 16/13; 13/11; 5/4; 5/4; 6/5; 21/20; 6/5; 5/4
Maidenhead Utd; 23/10; 21/10; 2; 21/10; 57/25; 21/10; 21/10; 28/13; 2; 11/5; 2; 41/20; 21/10; 2; 28/13; 11/5; 35/19; 28/13; 85/40; 21/10; 28/13; 9/5; 7/4; 9/4
Draw; 23/10; 23/10; 11/5; 12/5; 62/25; 11/5; 23/10; 9/4; 11/5; 11/5; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 40/17; 9/4; 12/5; 9/4; 23/10; 2; 12/5; 
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-09 12:20:27 GMT+2; 2018-03-10 15:00; e70300-dr003
Gateshead; 6/5; 5/4; 5/4; 11/10; 131/100; 23/20; 6/5; 13/11; 5/4; 6/5; 23/20; 5/4; 5/4; 6/5; 6/5; 15/13; 5/4; 13/11; 5/4; 23/20; 5/4; 5/4
Maidenhead Utd; 23/10; 21/10; 21/10; 21/10; 57/25; 21/10; 21/10; 28/13; 21/10; 21/10; 2; 41/20; 21/10; 2; 28/13; 11/5; 39/19; 28/13; 21/10; 2; 9/4; 
Draw; 23/10; 23/10; 11/5; 12/5; 62/25; 11/5; 23/10; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 11/5; 23/10; 11/5; 40/17; 9/4; 9/4; 21/10; 21/10; 12/5
META; english/non-league/national-league/gateshead-v-maidenhead-utd; 2018-03-10 12:21:04 GMT+2; 2018-03-10 15:00; e70300-dr003
Gateshead; 6/5; 6/5; 23/20; 13/10; 31/25; 11/10; 6/5; 8/7; 23/20; 6/5; 11/10; 6/5; 5/4; 11/10; 6/5; 15/13; 19/16; 8/7; 6/5; 6/5; 6/5; 6/5; 23/20; 6/5
Maidenhead Utd; 23/10; 23/10; 11/5; 11/5; 12/5; 21/10; 11/5; 9/4; 11/5; 11/5; 21/10; 43/20; 21/10; 21/10; 28/13; 11/5; 21/10; 9/4; 9/4; 11/5; 28/13; 23/10; 21/10; 12/5
Draw; 23/10; 23/10; 11/5; 11/5; 5/2; 9/4; 23/10; 9/4; 11/5; 9/4; 9/4; 11/5; 23/10; 21/10; 23/10; 11/5; 12/5; 9/4; 12/5; 47/20; 23/10; 23/10; 21/10; 5/2
