META; english/non-league/national-league/boreham-wood-v-guiseley; 2018-04-23 10:19:19 GMT+3; 2018-04-28 12:30; e70300-dr003
Boreham Wood; 3/10; 2/9; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 2/7; 1/4; 1/50; 1/2
Draw; 4; 4; 4; 15/4; 15/4; 4; 4; 77/19; 1/7; 7/2; ; ; 
Guiseley; 9; 19/2; 19/2; 19/2; 10; 17/2; 9; 37/4; 19/2; 11; 37/4; 1/7; 7/2
META; english/non-league/national-league/boreham-wood-v-guiseley; 2018-04-24 08:19:22 GMT+3; 2018-04-28 12:30; e70300-dr003
Boreham Wood; 3/10; 2/9; 1/4; 1/4; 1/4; 1/4; 1/4; 1/4; 5/18; 1/4; 2/7; 1/4; 1/10; 1/2
Draw; 4; 4; 21/5; 15/4; 15/4; 77/19; 4; 17/4; 41/10; 4/11; 7/2; ; ; 
Guiseley; 9; 19/2; 19/2; 19/2; 10; 17/2; 9; 37/4; 17/2; 19/2; 11; 37/4; 2/5; 7/2
META; english/non-league/national-league/boreham-wood-v-guiseley; 2018-04-25 08:18:32 GMT+3; 2018-04-28 12:30; e70300-dr003
Boreham Wood; 3/10; 2/9; 1/4; 1/4; 1/4; 1/4; 1/4; 5/19; 5/18; 1/4; 2/7; 5/19; 1/14; 1/2
Draw; 4; 4; 21/5; 15/4; 15/4; 54/13; 4; 17/4; 21/5; 4/11; 7/2; ; ; 
Guiseley; 9; 19/2; 19/2; 19/2; 10; 17/2; 9; 19/2; 17/2; 19/2; 11; 19/2; 2/5; 7/2
META; english/non-league/national-league/boreham-wood-v-guiseley; 2018-04-25 12:19:15 GMT+3; 2018-04-28 12:30; e70300-dr003
Boreham Wood; 3/10; 2/9; 1/4; 1/4; 1/4; 1/4; 1/4; 5/19; 5/18; 1/4; 2/7; 5/19; 1/14; 1/2
Draw; 4; 17/4; 4; 15/4; 15/4; 41/10; 4; 17/4; 54/13; 4/11; 7/2; ; ; 
Guiseley; 9; 19/2; 19/2; 19/2; 10; 17/2; 9; 19/2; 17/2; 19/2; 11; 19/2; 2/5; 7/2
META; english/non-league/national-league/boreham-wood-v-guiseley; 2018-04-26 12:19:09 GMT+3; 2018-04-28 12:30; e70300-dr003
Boreham Wood; 1/4; 1/4; 1/4; 13/50; 1/5; 2/9; 1/4; 1/4; 2/9; 1/4; 1/4; 2/9; 4/17; 1/4; 3/13; 1/4; 1/4; 4/17; 1/8; 2/9; 1/4
Draw; 17/4; 9/2; 4; 51/10; 9/2; 19/4; 4; 9/2; 4; 11/2; 4; 9/2; 17/4; 22/5; 4; 9/2; 50/11; 2/9; 4; 24/5; 
Guiseley; 12; 10; 10; 11; 10; 10; 19/2; 10; 9; 10; 10; 11; 43/5; 19/2; 12; 45/4; 1/50; 32/5; 54/5; ; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2018-04-27 08:18:03 GMT+3; 2018-04-28 12:30; e70300-dr003
Boreham Wood; 1/4; 1/4; 1/4; 1/4; 27/00; 1/5; 2/9; 1/4; 1/4; 1/4; 1/4; 1/4; 2/9; 4/17; 1/4; 1/4; 1/4; 1/4; 4/17; 1/5; 1/6; 1/4
Draw; 17/4; 9/2; 9/2; 4; 9/2; 9/2; 4; 9/2; 9/2; 4; 11/2; 4; 9/2; 17/4; 9/2; 4; 9/2; 50/11; 9/2; 7/2; 24/5; 
Guiseley; 12; 11; 11; 10; 21/2; 10; 10; 19/2; 11; 10; 10; 10; 10; 11; 10; 19/2; 12; 45/4; 11; 31/5; 51/5; 
META; english/non-league/national-league/boreham-wood-v-guiseley; 2018-04-28 12:21:12 GMT+3; 2018-04-28 12:30; e70300-dr003
Boreham Wood; 2/11; 1/5; 2/11; 2/11; 1/5; 1/7; 2/11; 1/5; 2/11; 2/11; 2/11; 2/11; 2/9; 1/6; 3/16; 1/6; 1/6; 1/5; 2/11; 3/16; 1/6; 2/11; 2/11; 1/5
Draw; 11/2; 11/2; 5; 63/10; 11/2; 6; 51/10; 5; 11/2; 9/2; 5; 11/2; 5; 27/5; 21/4; 11/2; 51/10; 11/2; 60/11; 5; 32/5; 23/5; 32/5; 
Guiseley; 14; 12; 16; 12; 13; 13; 12; 10; 16; 12; 12; 13; 14; 12; 23/2; 12; 29/2; 10; 16; 23/2; 12; 76/5; 36/5; 73/5
