META; english/non-league/national-league/dover-v-woking; 2017-10-24 12:29:56 GMT+3; 2017-10-24 19:45; e70300-dr003
Dover; 13/20; 8/13; 11/18; 4/6; 7/10; 6/10; 5/8; 4/7; 11/17; 8/13; 8/13; 6/10; ; 8/13; 8/13; 8/13; 4/6; 11/18; 33/50; 5/8; 11/17; 8/13; 8/13; 8/13; 11/18; ; 8/13; 4/7; 
Draw; 14/5; 29/10; 14/5; 3; 13/5; 29/10; 3; 11/4; 14/5; 14/5; 29/10; 13/5; ; 11/4; 3; 14/5; 13/5; 58/19; 10/3; 16/5; 14/5; 3; 31/10; 59/20; 58/19; ; 14/5; 14/5; 
Woking; 4; 19/5; 19/5; 19/5; 16/5; 18/5; 4; 7/2; 18/5; 4; 19/5; 15/4; ; 15/4; 4; 15/4; 16/5; 75/19; 21/5; 18/5; 18/5; 19/5; 4; 4; 4; ; 4; 21/5; 
