META; english/league-2/port-vale-v-colchester; 2018-01-20 22:21:54 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; ; 6/5; ; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 5/4; ; 
Colchester; ; 11/5; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/4; ; 
META; english/league-2/port-vale-v-colchester; 2018-01-21 02:21:31 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; ; 6/5; ; ; ; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 6/5; ; 
Colchester; ; 11/5; ; ; ; ; ; ; ; ; 9/4; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 21/10; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 9/4; ; 
META; english/league-2/port-vale-v-colchester; 2018-01-21 10:21:48 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 6/5; ; 1/2; ; 
Colchester; ; 11/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 5/6; ; 
Draw; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 23/10; ; 21/10; ; 
META; english/league-2/port-vale-v-colchester; 2018-01-21 14:22:19 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/8; 6/5; 13/10; ; ; ; 13/10; 13/10; ; 13/10; 13/10; ; ; ; ; ; ; 13/10; ; ; ; ; 5/4; 13/10; 13/10; 5/4; ; 
Colchester; 15/8; 11/5; 21/10; ; ; ; 2; 11/5; ; 21/10; 11/5; ; ; ; ; ; ; 24/13; ; ; ; ; 11/5; 2; 19/10; 21/10; ; 
Draw; 12/5; 12/5; 11/5; ; ; ; 23/10; 9/4; ; 11/5; 12/5; ; ; ; ; ; ; 23/10; ; ; ; ; 12/5; 23/10; 23/10; 9/4; ; 
META; english/league-2/port-vale-v-colchester; 2018-01-21 18:21:41 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 5/4; 6/5; 13/10; ; 6/4; 13/10; 13/10; 13/10; ; 5/4; 13/10; 13/10; ; ; 13/10; ; ; 5/4; ; ; ; 13/10; 13/10; 13/10; 5/4; 6/5; ; 
Colchester; 21/10; 11/5; 11/5; ; 51/25; 21/10; 2; 21/10; ; 21/10; 11/5; 21/10; ; ; 21/10; ; ; 39/19; ; ; ; 85/40; 85/40; 2; 39/19; 19/10; ; 
Draw; 12/5; 12/5; 11/5; ; 119/ 50; 12/5; 23/10; 12/5; ; 11/5; 12/5; 9/4; ; ; 23/10; ; ; 40/17; ; ; ; 23/10; 12/5; 23/10; 40/17; 21/10; ; 
META; english/league-2/port-vale-v-colchester; 2018-01-21 22:21:21 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 6/5; 15/13; ; 123/ 100; 6/5; 6/5; 6/5; ; 23/20; 6/5; 23/20; 6/5; ; 6/5; 11/10; ; 15/13; ; 7/6; ; 6/5; 23/20; 23/20; 15/13; 11/10; ; 
Draw; 12/5; 12/5; 11/5; ; 49/20; 23/10; 23/10; 23/10; ; 11/5; 12/5; 9/4; 23/10; ; 23/10; 23/10; ; 9/4; ; 40/17; ; 23/10; 12/5; 23/10; 23/10; 21/10; ; 
Colchester; 12/5; 11/5; 12/5; ; 62/25; 12/5; 23/10; 12/5; ; 12/5; 12/5; 12/5; 23/10; ; 23/10; 12/5; ; 23/10; ; 11/5; ; 12/5; 12/5; 23/10; 40/17; 21/10; ; 
META; english/league-2/port-vale-v-colchester; 2018-01-22 02:21:16 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 6/5; 15/13; ; 123/ 100; 6/5; 6/5; 6/5; ; 23/20; 6/5; 23/20; 6/5; ; 6/5; 11/10; ; 15/13; ; 7/6; ; 6/5; 23/20; 23/20; 15/13; 11/10; ; 
Draw; 12/5; 12/5; 11/5; ; 49/20; 23/10; 9/4; 23/10; ; 11/5; 12/5; 9/4; 23/10; ; 23/10; 23/10; ; 9/4; ; 40/17; ; 23/10; 12/5; 23/10; 23/10; 21/10; ; 
Colchester; 12/5; 11/5; 12/5; ; 62/25; 12/5; 23/10; 12/5; ; 12/5; 12/5; 12/5; 23/10; ; 23/10; 12/5; ; 40/17; ; 11/5; ; 12/5; 12/5; 23/10; 40/17; 21/10; ; 
META; english/league-2/port-vale-v-colchester; 2018-01-22 10:21:39 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 6/5; 15/13; 23/20; 123/ 100; 23/20; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; ; 6/5; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; 21/20; ; 
Draw; 12/5; 12/5; 11/5; 23/10; 49/20; 12/5; 9/4; 23/10; 11/5; 11/5; 12/5; 9/4; 23/10; ; 23/10; 23/10; 9/4; 9/4; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 9/4; 21/10; ; 
Colchester; 12/5; 11/5; 12/5; 12/5; 62/25; 5/2; 23/10; 12/5; 28/11; 12/5; 5/2; 12/5; 23/10; ; 23/10; 12/5; 12/5; 40/17; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; 9/4; ; 
META; english/league-2/port-vale-v-colchester; 2018-01-22 14:21:29 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 119/ 100; 23/20; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; ; 6/5; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 11/10; 1; ; 
Draw; 12/5; 23/10; 11/5; 23/10; 62/25; 12/5; 23/10; 23/10; 11/5; 11/5; 12/5; 9/4; 23/10; ; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 23/10; 21/10; ; 
Colchester; 12/5; 12/5; 12/5; 12/5; 64/25; 5/2; 12/5; 12/5; 28/11; 12/5; 5/2; 12/5; 23/10; ; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; 9/4; ; 
META; english/league-2/port-vale-v-colchester; 2018-01-22 18:21:30 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 119/ 100; 23/20; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; ; 6/5; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 11/10; 21/20; 21/20; 
Draw; 12/5; 23/10; 11/5; 23/10; 62/25; 12/5; 23/10; 23/10; 11/5; 11/5; 12/5; 9/4; 23/10; ; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 23/10; 21/10; 2; 
Colchester; 12/5; 12/5; 12/5; 12/5; 64/25; 5/2; 12/5; 12/5; 28/11; 12/5; 5/2; 12/5; 23/10; ; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; 9/4; 21/10; 
META; english/league-2/port-vale-v-colchester; 2018-01-22 22:21:30 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 119/ 100; 23/20; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; ; 6/5; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 11/10; 21/20; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 62/25; 12/5; 23/10; 23/10; 11/5; 11/5; 12/5; 9/4; 23/10; ; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 23/10; 21/10; 2; 12/5
Colchester; 12/5; 12/5; 12/5; 12/5; 64/25; 5/2; 12/5; 12/5; 28/11; 12/5; 5/2; 12/5; 23/10; ; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; 9/4; 21/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-23 02:21:22 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 119/ 100; 23/20; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; ; 6/5; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 11/10; 1; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 62/25; 12/5; 23/10; 23/10; 11/5; 11/5; 12/5; 9/4; 23/10; ; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 23/10; 21/10; 2; 12/5
Colchester; 12/5; 12/5; 12/5; 12/5; 64/25; 5/2; 12/5; 12/5; 28/11; 12/5; 5/2; 12/5; 23/10; ; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; 23/10; 21/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-23 10:21:24 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 6/5; 23/20; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 11/10; 21/20; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 123/ 50; 12/5; 23/10; 23/10; 11/5; 11/5; 12/5; 9/4; 23/10; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 23/10; 21/10; 2; 12/5
Colchester; 12/5; 12/5; 12/5; 12/5; 51/20; 5/2; 12/5; 12/5; 28/11; 12/5; 5/2; 12/5; 23/10; 47/20; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; 9/4; 21/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-23 14:21:24 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 6/5; 23/20; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 6/5; 23/20; 6/5; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 11/10; 21/20; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 123/ 50; 12/5; 23/10; 23/10; 11/5; 11/5; 12/5; 9/4; 23/10; 43/20; 23/10; 9/4; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 23/10; 21/10; 2; 12/5
Colchester; 12/5; 12/5; 12/5; 12/5; 51/20; 5/2; 12/5; 12/5; 28/11; 12/5; 5/2; 12/5; 23/10; 47/20; 23/10; 12/5; 12/5; 40/17; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; 9/4; 21/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-23 18:21:52 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 6/5; 23/20; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 21/20; 23/20; 6/5; 11/10; 15/13; 15/13; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; 21/20; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 123/ 50; 12/5; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 12/5; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 40/17; 21/10; 2; 12/5
Colchester; 12/5; 12/5; 12/5; 12/5; 51/20; 5/2; 12/5; 12/5; 28/11; 5/2; 5/2; 12/5; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; 9/4; 21/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-23 22:21:52 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 6/5; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 21/20; 23/20; 6/5; 11/10; 15/13; 15/13; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; ; 11/10; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 123/ 50; 5/2; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 12/5; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 40/17; ; 9/4; 2; 12/5
Colchester; 12/5; 12/5; 12/5; 12/5; 51/20; 13/5; 12/5; 12/5; 28/11; 5/2; 5/2; 12/5; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; ; 23/10; 23/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-24 02:21:38 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 6/5; 6/5; 11/10; 11/10; 11/10; 23/20; 23/20; 23/20; 21/20; 23/20; 6/5; 11/10; 15/13; 15/13; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; ; 11/10; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 123/ 50; 5/2; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 12/5; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 40/17; ; 9/4; 2; 12/5
Colchester; 12/5; 12/5; 12/5; 12/5; 51/20; 13/5; 12/5; 12/5; 28/11; 5/2; 5/2; 12/5; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; ; 23/10; 23/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-24 10:21:37 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 6/5; 6/5; 11/10; ; 11/10; 23/20; 23/20; 23/20; 21/20; 23/20; 6/5; 11/10; 15/13; 15/13; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; ; 23/20; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 123/ 50; 5/2; 23/10; ; 11/5; 9/4; 12/5; 9/4; 12/5; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 40/17; ; 9/4; 2; 12/5
Colchester; 12/5; 12/5; 12/5; 12/5; 51/20; 13/5; 12/5; ; 28/11; 5/2; 5/2; 12/5; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; ; 23/10; 21/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-24 14:21:40 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 6/5; 6/5; 11/10; ; 11/10; 23/20; 23/20; 23/20; 21/20; 23/20; 6/5; 11/10; 15/13; 15/13; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; ; 23/20; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 123/ 50; 5/2; 23/10; ; 11/5; 9/4; 12/5; 9/4; 12/5; 43/20; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 40/17; ; 9/4; 2; 12/5
Colchester; 12/5; 12/5; 12/5; 12/5; 51/20; 13/5; 12/5; ; 28/11; 5/2; 5/2; 12/5; 12/5; 47/20; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 12/5; 49/20; 12/5; ; 23/10; 23/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-24 18:21:36 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 6/5; 6/5; 11/10; ; 11/10; 23/20; 23/20; 23/20; 21/20; 11/10; 6/5; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; ; 10/9; 21/20; 23/20
Draw; 12/5; 23/10; 9/4; 23/10; 123/ 50; 5/2; 23/10; ; 11/5; 9/4; 12/5; 9/4; 12/5; 11/5; 23/10; 23/10; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 40/17; ; 9/4; 2; 12/5
Colchester; 12/5; 12/5; 5/2; 12/5; 51/20; 13/5; 12/5; ; 28/11; 5/2; 5/2; 12/5; 12/5; 12/5; 23/10; 12/5; 12/5; 12/5; 12/5; 11/5; 28/11; 5/2; 5/2; 49/20; 27/11; ; 23/10; 23/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-24 22:21:33 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 23/20; 15/13; 23/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 23/20; 23/20; 21/20; 11/10; 23/20; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; ; 11/10; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 121/ 50; 5/2; 9/4; ; 11/5; 9/4; 12/5; 9/4; 12/5; 11/5; 23/10; 9/4; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 23/10; ; 9/4; 2; 12/5
Colchester; 12/5; 12/5; 5/2; 12/5; 129/ 50; 5/2; 12/5; ; 28/11; 5/2; 13/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 27/11; 12/5; 11/5; 28/11; 5/2; 5/2; 49/20; 27/11; ; 12/5; 23/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-25 02:21:29 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 11/10; 15/13; 23/20; 6/5; 11/10; 11/10; ; 11/10; 23/20; 23/20; 23/20; 21/20; 11/10; 23/20; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; ; 11/10; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 121/ 50; 5/2; 9/4; ; 11/5; 9/4; 12/5; 9/4; 12/5; 11/5; 23/10; 9/4; 9/4; 23/10; 9/4; 40/17; 11/5; 23/10; 12/5; 23/10; 23/10; ; 21/10; 19/10; 12/5
Colchester; 12/5; 13/5; 5/2; 12/5; 129/ 50; 5/2; 12/5; ; 28/11; 5/2; 13/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 27/11; 12/5; 11/5; 28/11; 5/2; 5/2; 49/20; 27/11; ; 12/5; 9/4; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-25 10:21:25 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 11/10; 15/13; 23/20; 6/5; 23/20; 11/10; ; 11/10; 23/20; 23/20; 23/20; 21/20; 11/10; 23/20; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; ; 11/10; 21/20; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 121/ 50; 12/5; 9/4; ; 9/4; 9/4; 12/5; 9/4; 12/5; 11/5; 23/10; 9/4; 9/4; 23/10; 9/4; 40/17; 9/4; 23/10; 12/5; 23/10; 23/10; ; 11/5; 19/10; 12/5
Colchester; 12/5; 13/5; 5/2; 12/5; 129/ 50; 5/2; 12/5; ; 28/11; 5/2; 13/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 27/11; 12/5; 11/5; 28/11; 5/2; 5/2; 49/20; 27/11; ; 12/5; 9/4; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-25 14:21:42 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 11/10; 15/13; 23/20; 6/5; 23/20; 11/10; ; 11/10; 23/20; 23/20; 23/20; 21/20; 11/10; 23/20; 11/10; 15/13; 11/10; 15/13; 7/6; 11/10; 11/10; 23/20; 11/10; 15/13; ; 10/9; 10/9; 23/20
Draw; 12/5; 23/10; 11/5; 23/10; 121/ 50; 12/5; 9/4; ; 9/4; 9/4; 12/5; 9/4; 12/5; 11/5; 23/10; 9/4; 9/4; 23/10; 9/4; 40/17; 9/4; 23/10; 12/5; 23/10; 23/10; ; 11/5; 2; 12/5
Colchester; 12/5; 13/5; 5/2; 12/5; 129/ 50; 5/2; 12/5; ; 28/11; 5/2; 13/5; 5/2; 12/5; 12/5; 12/5; 12/5; 12/5; 27/11; 12/5; 11/5; 28/11; 5/2; 5/2; 49/20; 27/11; ; 12/5; 12/5; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-25 18:21:31 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 11/10; 15/13; 23/20; 121/ 100; 11/10; 11/10; ; 15/13; 23/20; 23/20; 23/20; 21/20; 11/10; 23/20; 11/10; 15/13; 15/13; 15/13; 19/17; 15/13; 11/10; 11/10; 11/10; 15/13; ; 10/9; 21/20; 23/20
Draw; 12/5; 23/10; 21/10; 23/10; 59/25; 5/2; 9/4; ; 9/4; 11/5; 12/5; 9/4; 12/5; 21/10; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; 9/4; 23/10; 5/2; 23/10; 9/4; ; 23/10; 9/4; 23/10
Colchester; 12/5; 13/5; 13/5; 12/5; 131/ 50; 5/2; 12/5; ; 12/5; 13/5; 13/5; 5/2; 12/5; 49/20; 5/2; 5/2; 12/5; 27/11; 12/5; 12/5; 12/5; 5/2; 5/2; 49/20; 27/11; ; 23/10; 23/10; 5/2
META; english/league-2/port-vale-v-colchester; 2018-01-25 22:21:32 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 11/10; 6/5; 6/5; 23/20; 123/ 100; 6/5; 6/5; ; 15/13; 6/5; 6/5; 23/20; 21/20; 23/20; 23/20; 11/10; 15/13; 15/13; 15/13; 19/17; 15/13; 11/10; 23/20; 11/10; 15/13; ; 10/9; 23/20; 6/5
Draw; 12/5; 9/4; 21/10; 23/10; 121/ 50; 23/10; 9/4; ; 9/4; 21/10; 23/10; 9/4; 12/5; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 9/4; 23/10; 12/5; 23/10; 9/4; ; 9/4; 11/5; 12/5
Colchester; 12/5; 12/5; 5/2; 12/5; 63/25; 5/2; 12/5; ; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; 5/2; 12/5; 12/5; 40/17; 12/5; 12/5; 12/5; 5/2; 12/5; 49/20; 12/5; ; 23/10; 23/10; 12/5
META; english/league-2/port-vale-v-colchester; 2018-01-26 02:21:29 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 5/4; 6/5; 6/5; 23/20; ; 6/5; 6/5; ; 15/13; 6/5; 6/5; 23/20; 21/20; 23/20; 23/20; 11/10; 15/13; 15/13; 15/13; 19/17; 15/13; 6/5; 23/20; 6/5; 6/5; ; 6/5; 23/20; 6/5
Draw; 12/5; 9/4; 21/10; 23/10; ; 23/10; 9/4; ; 9/4; 21/10; 23/10; 9/4; 12/5; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 12/5; 23/10; 9/4; ; 9/4; 11/5; 12/5
Colchester; 5/2; 12/5; 5/2; 12/5; ; 5/2; 12/5; ; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; 5/2; 12/5; 12/5; 40/17; 12/5; 12/5; 12/5; 5/2; 12/5; 49/20; 12/5; ; 9/4; 23/10; 12/5
META; english/league-2/port-vale-v-colchester; 2018-01-26 10:21:39 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 5/4; 6/5; 6/5; 23/20; ; 6/5; 6/5; ; 15/13; 6/5; 6/5; 23/20; 21/20; 23/20; 23/20; 11/10; 15/13; 15/13; 15/13; 19/17; 15/13; 6/5; 23/20; 6/5; 6/5; ; 6/5; 23/20; 6/5
Draw; 12/5; 9/4; 21/10; 23/10; ; 23/10; 9/4; ; 9/4; 21/10; 23/10; 9/4; 12/5; 21/10; 11/5; 11/5; 11/5; 9/4; 11/5; 9/4; 9/4; 9/4; 12/5; 23/10; 9/4; ; 23/10; 11/5; 12/5
Colchester; 5/2; 12/5; 5/2; 12/5; ; 5/2; 12/5; ; 12/5; 5/2; 5/2; 5/2; 12/5; 49/20; 5/2; 12/5; 12/5; 40/17; 12/5; 12/5; 12/5; 5/2; 12/5; 49/20; 12/5; ; 9/4; 23/10; 12/5
META; english/league-2/port-vale-v-colchester; 2018-01-26 14:22:09 GMT+2; 2018-01-27 15:00; Nothing; Xlenovo
Port Vale; 5/4; 6/5; 6/5; 6/5; 123/ 100; 5/4; 6/5; ; 6/5; 6/5; 6/5; 23/20; 21/20; 6/5; 23/20; 11/10; 15/13; 6/5; 15/13; 19/17; 6/5; 6/5; 5/4; 6/5; 6/5; ; 23/20; 6/5; 6/5
