META; english/league-2/exeter-v-colchester; 2018-05-02 18:21:36 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Exeter; 21/20; 13/10; 23/20; 5/4; 29/25; 5/4; 11/8; 11/10; 11/10; 23/20; 23/20; 11/10; 5/4; 11/10; 6/5; 11/10; 21/20; 15/13; 12/11; 11/10; 11/10; 11/10; 13/10; 13/10; 5/4
Colchester; 23/10; 2; 23/10; 9/5; 57/25; 23/10; 9/5; 11/5; 28/13; 12/5; 21/10; 23/10; 21/10; 9/4; 9/4; 11/5; 23/10; 21/10; 39/19; 28/13; 12/5; 23/10; 2; 21/10; 2
Draw; 13/5; 12/5; 12/5; 12/5; 66/25; 12/5; 5/2; 23/10; 27/10; 12/5; 9/4; 13/5; 5/2; 23/10; 13/5; 5/2; 13/5; 5/2; 12/5; 27/10; 13/5; 45/17; 12/5; 23/10; 
META; english/league-2/exeter-v-colchester; 2018-05-02 22:21:22 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Exeter; 21/20; 13/10; 23/20; 5/4; 29/25; 6/5; 6/5; 11/10; 11/10; 23/20; 11/10; 11/10; 6/5; 11/10; 6/5; 11/10; 15/13; 15/13; 12/11; 11/10; 11/10; 15/13; 11/10; 10/9; 10/9
Colchester; 23/10; 2; 23/10; 9/5; 57/25; 23/10; 21/10; 11/5; 28/13; 12/5; 21/10; 12/5; 21/10; 9/4; 9/4; 11/5; 11/5; 21/10; 39/19; 28/13; 12/5; 11/5; 2; 11/5; 
Draw; 13/5; 12/5; 12/5; 12/5; 66/25; 13/5; 5/2; 5/2; 27/10; 12/5; 23/10; 12/5; 5/2; 23/10; 13/5; 5/2; 5/2; 5/2; 12/5; 27/10; 13/5; 28/11; 23/10; 12/5; 5/2
META; english/league-2/exeter-v-colchester; 2018-05-03 02:21:16 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Exeter; 21/20; 13/10; 23/20; 5/4; 29/25; 6/5; 6/5; 11/10; 11/10; 23/20; 11/10; 11/10; 6/5; 11/10; 6/5; 11/10; 15/13; 15/13; 12/11; 11/10; 11/10; 15/13; 10/9; 21/20; 10/9
Colchester; 23/10; 2; 23/10; 9/5; 57/25; 23/10; 21/10; 11/5; 28/13; 12/5; 21/10; 12/5; 21/10; 9/4; 9/4; 11/5; 11/5; 21/10; 39/19; 28/13; 12/5; 11/5; 2; 19/10; 11/5
Draw; 13/5; 12/5; 12/5; 12/5; 66/25; 13/5; 5/2; 5/2; 27/10; 12/5; 23/10; 12/5; 5/2; 23/10; 13/5; 5/2; 5/2; 5/2; 12/5; 27/10; 13/5; 28/11; 23/10; 9/4; 5/2
META; english/league-2/exeter-v-colchester; 2018-05-03 10:21:18 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Exeter; 21/20; 13/10; 23/20; 5/4; 117/00; 6/5; 6/5; 11/10; 11/10; 23/20; 11/10; 11/10; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 12/11; 11/10; 23/20; 15/13; 11/10; 21/20
Colchester; 23/10; 2; 23/10; 9/5; 113/0; 23/10; 21/10; 11/5; 9/4; 23/10; 21/10; 12/5; 21/10; 9/4; 9/4; 11/5; 11/5; 21/10; 39/19; 9/4; 9/4; 9/4; 2; 19/10
Draw; 13/5; 12/5; 12/5; 12/5; 66/25; 13/5; 5/2; 5/2; 28/11; 12/5; 23/10; 12/5; 5/2; 23/10; 13/5; 5/2; 5/2; 5/2; 12/5; 28/11; 13/5; 28/11; 23/10; 23/10
META; english/league-2/exeter-v-colchester; 2018-05-03 14:21:32 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Exeter; 21/20; 13/10; 23/20; 5/4; 117/00; 6/5; 6/5; 11/10; 11/10; 23/20; 11/10; 11/10; 6/5; 23/20; 6/5; 11/10; 15/13; 15/13; 12/11; 11/10; 23/20; 15/13; 11/10; 10/9; 10/9
Colchester; 23/10; 2; 23/10; 9/5; 113/0; 23/10; 21/10; 11/5; 9/4; 23/10; 21/10; 12/5; 21/10; 9/4; 9/4; 11/5; 11/5; 21/10; 39/19; 9/4; 9/4; 9/4; 2; 11/5; 
Draw; 13/5; 12/5; 12/5; 12/5; 66/25; 13/5; 5/2; 5/2; 28/11; 12/5; 23/10; 12/5; 5/2; 23/10; 13/5; 5/2; 5/2; 5/2; 12/5; 28/11; 13/5; 28/11; 23/10; 12/5; 5/2
META; english/league-2/exeter-v-colchester; 2018-05-03 18:21:30 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
