META; english/league-2/carlisle-v-newport-county; 2018-04-29 18:20:42 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 1
Draw; 12/5; 23/10
Newport County; 12/5; 23/10
META; english/league-2/carlisle-v-newport-county; 2018-04-29 22:20:29 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 1
Draw; 12/5; 23/10
Newport County; 12/5; 23/10
META; english/league-2/carlisle-v-newport-county; 2018-04-30 02:20:12 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 1
Draw; 12/5; 23/10
Newport County; 12/5; 23/10
META; english/league-2/carlisle-v-newport-county; 2018-04-30 10:20:18 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 11/10; 1; 11/10; 11/10; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 12/5; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 12/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-04-30 14:20:56 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 11/10; 1; 11/10; 11/10; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 12/5; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 12/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-04-30 18:20:57 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 11/10; 1; 11/10; 11/10; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 12/5; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 12/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-04-30 22:20:55 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 11/10; 1; 11/10; 11/10; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 12/5; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 12/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-05-01 02:20:44 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 11/10; 1; 11/10; 11/10; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 12/5; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 12/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-05-01 10:20:46 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 11/10; 1; 11/10; 1; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 9/4; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 11/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-05-01 14:20:56 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 11/10; 1; 11/10; 1; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 9/4; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 11/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-05-01 18:20:55 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 11/10; 1; 11/10; 1; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 9/4; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 11/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-05-01 22:20:59 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 11/10; 1; 11/10; 1; 11/10
Draw; 12/5; 5/2; 23/10; 27/11; 9/4; 27/11
Newport County; 12/5; 5/2; 23/10; 40/17; 11/5; 40/17
META; english/league-2/carlisle-v-newport-county; 2018-05-02 02:20:34 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Carlisle; 11/10; 11/10; 1; 11/10; 1; 11/10
