META; english/league-2/notts-county-v-crewe; 2018-01-28 02:21:55 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Crewe; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Notts County; ; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/notts-county-v-crewe; 2018-01-28 10:21:48 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Draw; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Crewe; ; 4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Notts County; ; 2/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/notts-county-v-crewe; 2018-01-28 14:22:49 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Notts County; 4/6; 2/3; ; ; 18/25; 7/10; 13/20; ; ; ; 4/6; ; ; ; ; ; ; ; ; ; ; ; 4/6; 13/20; ; ; 8/13; ; 
Draw; 14/5; 11/4; ; ; 74/25; 31/10; 14/5; ; ; ; 11/4; ; ; ; ; ; ; ; ; ; ; ; 14/5; 14/5; ; ; 14/5; ; 
Crewe; 4; 4; ; ; 21/5; 4; 4; ; ; ; 4; ; ; ; ; ; ; ; ; ; ; ; 17/4; 4; ; ; 7/2; ; 
META; english/league-2/notts-county-v-crewe; 2018-01-28 18:22:08 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Notts County; 4/6; 2/3; ; ; 18/25; 7/10; 13/20; ; 4/6; ; 4/6; 7/10; ; ; ; ; ; 4/6; ; ; 4/6; 4/6; 4/6; 13/20; 4/6; ; 8/13; ; 
Draw; 14/5; 11/4; ; ; 74/25; 31/10; 14/5; ; 14/5; ; 11/4; 11/4; ; ; ; ; ; 11/4; ; ; 14/5; 14/5; 14/5; 14/5; 14/5; ; 14/5; ; 
Crewe; 4; 4; ; ; 21/5; 4; 4; ; 39/10; ; 4; 4; ; ; ; ; ; 39/10; ; ; 39/10; 4; 17/4; 4; 75/19; ; 7/2; ; 
META; english/league-2/notts-county-v-crewe; 2018-01-28 22:24:41 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Notts County; 4/6; 2/3; ; ; 18/25; 7/10; 13/20; ; 4/6; ; 4/6; 8/13; ; ; ; ; ; 11/17; ; ; 4/6; 4/6; 4/6; 13/20; 4/6; ; 8/13; ; 
Draw; 14/5; 11/4; ; ; 74/25; 31/10; 14/5; ; 14/5; ; 11/4; 16/5; ; ; ; ; ; 11/4; ; ; 14/5; 14/5; 14/5; 14/5; 14/5; ; 14/5; ; 
Crewe; 4; 4; ; ; 21/5; 4; 4; ; 39/10; ; 4; 4; ; ; ; ; ; 39/10; ; ; 39/10; 4; 17/4; 4; 39/10; ; 7/2; ; 
META; english/league-2/notts-county-v-crewe; 2018-01-29 02:21:27 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Notts County; 4/6; 2/3; ; ; 18/25; 7/10; 13/20; ; 4/6; ; 4/6; 4/6; ; ; ; ; ; 4/6; ; ; 4/6; 4/6; 4/6; 13/20; 4/6; ; 8/13; ; 
Draw; 14/5; 11/4; ; ; 74/25; 31/10; 14/5; ; 14/5; ; 11/4; 14/5; ; ; ; ; ; 11/4; ; ; 14/5; 14/5; 14/5; 14/5; 14/5; ; 14/5; ; 
Crewe; 4; 4; ; ; 21/5; 4; 4; ; 39/10; ; 4; 15/4; ; ; ; ; ; 39/10; ; ; 39/10; 4; 17/4; 4; 75/19; ; 7/2; ; 
META; english/league-2/notts-county-v-crewe; 2018-01-29 10:21:25 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Notts County; 4/6; 2/3; ; ; 18/25; 7/10; 13/20; ; 4/6; ; 4/6; 4/6; ; ; 4/6; ; 11/17; 4/6; 11/17; ; 4/6; 4/6; 4/6; 13/20; 4/6; ; 8/13; ; 
Draw; 14/5; 11/4; ; ; 74/25; 31/10; 14/5; ; 14/5; ; 11/4; 14/5; ; ; 11/4; ; 11/4; 11/4; 11/4; ; 14/5; 14/5; 14/5; 14/5; 14/5; ; 14/5; ; 
Crewe; 4; 4; ; ; 21/5; 4; 4; ; 39/10; ; 4; 15/4; ; ; 17/4; ; 4; 50/13; 4; ; 39/10; 4; 17/4; 4; 39/10; ; 7/2; ; 
META; english/league-2/notts-county-v-crewe; 2018-01-29 14:22:05 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Notts County; 4/6; 2/3; ; ; 18/25; 7/10; 13/20; ; 4/6; ; 4/6; 4/6; ; 13/20; 4/6; ; 11/17; 4/6; 11/17; ; 4/6; 4/6; 4/6; 13/20; 4/6; ; 8/13; ; 
Draw; 14/5; 11/4; ; ; 74/25; 31/10; 14/5; ; 14/5; ; 11/4; 14/5; ; 27/10; 11/4; ; 11/4; 11/4; 11/4; ; 14/5; 14/5; 14/5; 14/5; 14/5; ; 14/5; ; 
Crewe; 4; 4; ; ; 21/5; 4; 4; ; 39/10; ; 4; 15/4; ; 19/5; 17/4; ; 4; 39/10; 4; ; 39/10; 4; 17/4; 4; 75/19; ; 7/2; ; 
META; english/league-2/notts-county-v-crewe; 2018-01-29 18:21:50 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Notts County; 4/6; 4/6; ; ; 18/25; 7/10; 13/20; 8/13; 4/6; ; 4/6; 4/6; ; 13/20; 4/6; ; 11/17; 4/6; 11/17; ; 4/6; 4/6; 4/6; 13/20; 4/6; ; 8/13; ; 
Draw; 14/5; 14/5; ; ; 74/25; 31/10; 14/5; 11/4; 14/5; ; 11/4; 14/5; ; 27/10; 11/4; ; 11/4; 11/4; 11/4; ; 14/5; 14/5; 14/5; 14/5; 14/5; ; 14/5; ; 
Crewe; 4; 4; ; ; 21/5; 4; 4; 4; 39/10; ; 4; 15/4; ; 19/5; 17/4; ; 4; 39/10; 4; ; 39/10; 4; 17/4; 4; 75/19; ; 7/2; ; 
META; english/league-2/notts-county-v-crewe; 2018-01-29 22:22:00 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Notts County; 4/6; 4/6; ; 4/6; 18/25; 7/10; 13/20; 8/13; 4/6; ; 4/6; 4/6; ; 13/20; 4/6; ; 11/17; 11/17; 11/17; ; 4/6; 4/6; 4/6; 13/20; ; ; 8/13; ; 
