META; english/league-2/lincoln-v-cambridge; 2017-10-08 02:22:50 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Lincoln; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Cambridge; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/lincoln-v-cambridge; 2017-10-08 10:23:30 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Lincoln; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Cambridge; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/lincoln-v-cambridge; 2017-10-08 14:23:50 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Lincoln; 1; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/20; ; ; ; ; 21/20; 1; ; 4/7; ; 
Draw; 12/5; 23/10; ; ; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; 23/10; ; ; ; ; 23/10; 47/20; ; 11/5; ; 
Cambridge; 11/4; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 45/17; ; ; ; ; 14/5; 27/10; ; 5/4; ; 
META; english/league-2/lincoln-v-cambridge; 2017-10-08 18:23:32 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Lincoln; 17/20; 11/10; 10/11; ; 9/10; ; ; 5/6; 9/10; 10/11; ; ; 19/20; 19/20; 1; ; ; 10/11; 93/100; 6/7; 9/10; 9/10; 20/23; 17/20; ; 5/6; ; 
Draw; 5/2; 23/10; 12/5; ; 5/2; ; ; 5/2; 40/17; 23/10; ; ; 5/2; 13/5; 5/2; ; ; 40/17; 67/25; 12/5; 40/17; 5/2; 5/2; 12/5; ; 23/10; ; 
Cambridge; 16/5; 23/10; 3; ; 3; ; ; 16/5; 31/10; 3; ; ; 14/5; 10/3; 13/5; ; ; 3; 13/4; 27/10; 31/10; 3; 33/10; 16/5; ; 14/5; ; 
META; english/league-2/lincoln-v-cambridge; 2017-10-08 22:23:16 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Lincoln; 17/20; 1; 13/15; ; 17/20; ; ; 5/6; 9/10; 20/23; 20/23; ; 10/11; 10/11; 19/20; ; ; 10/11; 23/25; 6/7; 9/10; 9/10; 9/10; 17/20; ; 5/6; ; 
Draw; 5/2; 23/10; 12/5; ; 5/2; ; ; 5/2; 40/17; 12/5; 12/5; ; 12/5; 27/10; 5/2; ; ; 40/17; 129/50; 12/5; 40/17; 5/2; 5/2; 12/5; ; 12/5; ; 
Cambridge; 16/5; 11/4; 16/5; ; 16/5; ; ; 16/5; 31/10; 16/5; 16/5; ; 3; 10/3; 14/5; ; ; 3; 69/20; 27/10; 31/10; 3; 16/5; 16/5; ; 14/5; ; 
META; english/league-2/lincoln-v-cambridge; 2017-10-09 02:22:29 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Lincoln; 17/20; 1; 13/15; 17/20; 17/20; ; ; 5/6; 9/10; 20/23; 20/23; ; 17/20; 10/11; 17/20; 10/11; ; 13/15; 23/25; 6/7; 9/10; 9/10; 9/10; 17/20; ; 5/6; ; 
Draw; 5/2; 23/10; 12/5; 5/2; 5/2; ; ; 5/2; 40/17; 23/10; 12/5; ; 5/2; 27/10; 5/2; 12/5; ; 12/5; 129/50; 12/5; 40/17; 5/2; 5/2; 12/5; ; 12/5; ; 
Cambridge; 16/5; 11/4; 13/4; 10/3; 16/5; ; ; 16/5; 31/10; 16/5; 16/5; ; 3; 10/3; 16/5; 16/5; ; 41/13; 69/20; 27/10; 31/10; 3; 16/5; 16/5; ; 3; ; 
META; english/league-2/lincoln-v-cambridge; 2017-10-09 10:22:43 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Lincoln; 17/20; 1; 13/15; 17/20; 17/20; 4/5; ; 5/6; 9/10; 20/23; 20/23; ; 17/20; 10/11; 17/20; 10/11; 5/6; 13/15; 23/25; 6/7; 9/10; 9/10; 9/10; 17/20; ; 5/6; ; 
Draw; 5/2; 23/10; 12/5; 5/2; 5/2; 23/10; ; 5/2; 40/17; 23/10; 12/5; ; 5/2; 27/10; 5/2; 12/5; 5/2; 12/5; 129/50; 12/5; 40/17; 5/2; 5/2; 12/5; ; 12/5; ; 
Cambridge; 16/5; 11/4; 13/4; 10/3; 16/5; 3; ; 16/5; 31/10; 16/5; 16/5; ; 3; 10/3; 16/5; 16/5; 13/4; 41/13; 69/20; 27/10; 31/10; 3; 16/5; 16/5; ; 3; ; 
META; english/league-2/lincoln-v-cambridge; 2017-10-09 14:22:51 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Lincoln; 17/20; 17/20; 10/11; 19/20; 17/20; 4/5; ; 5/6; 9/10; 10/11; 10/11; 9/10; 17/20; 10/11; 17/20; 10/11; 5/6; 13/15; 24/25; 6/7; 9/10; 9/10; 10/11; 17/20; ; 5/6; 5/6; 
Draw; 5/2; 5/2; 23/10; 12/5; 5/2; 23/10; ; 5/2; 40/17; 23/10; 5/2; 9/4; 5/2; 13/5; 5/2; 12/5; 5/2; 40/17; 127/50; 12/5; 40/17; 5/2; 5/2; 12/5; ; 23/10; 9/4; 
Cambridge; 16/5; 10/3; 3; 3; 16/5; 3; ; 16/5; 31/10; 3; 3; 3; 3; 16/5; 16/5; 3; 13/4; 58/19; 33/10; 27/10; 31/10; 3; 16/5; 16/5; ; 3; 3; 
META; english/league-2/lincoln-v-cambridge; 2017-10-09 18:23:34 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Lincoln; 17/20; 17/20; 10/11; 19/20; 17/20; 4/5; ; 5/6; 9/10; 10/11; 10/11; 9/10; 17/20; 10/11; 17/20; 10/11; 5/6; 13/15; 24/25; 6/7; 9/10; 9/10; 10/11; 17/20; ; 5/6; 5/6; 
Draw; 5/2; 5/2; 23/10; 12/5; 5/2; 23/10; ; 5/2; 40/17; 23/10; 5/2; 9/4; 5/2; 13/5; 5/2; 12/5; 5/2; 40/17; 127/50; 12/5; 40/17; 5/2; 5/2; 12/5; ; 23/10; 9/4; 
Cambridge; 16/5; 10/3; 3; 3; 16/5; 3; ; 16/5; 31/10; 3; 3; 3; 3; 16/5; 16/5; 3; 13/4; 58/19; 33/10; 27/10; 31/10; 3; 16/5; 16/5; ; 3; 3; 
META; english/league-2/lincoln-v-cambridge; 2017-10-09 22:23:07 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
