META; english/league-2/grimsby-v-crawley; 2017-10-08 02:22:48 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Grimsby; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Crawley; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/grimsby-v-crawley; 2017-10-08 10:23:27 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Grimsby; ; 6/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Crawley; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; 
META; english/league-2/grimsby-v-crawley; 2017-10-08 14:23:47 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Grimsby; 6/5; 6/5; ; ; ; ; 6/5; 11/10; ; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; 23/20; 6/5; ; 4/6; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 23/10; 23/10; ; 11/5; ; 
Crawley; 9/4; 21/10; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 5/2; 9/4; ; 7/5; ; 
META; english/league-2/grimsby-v-crawley; 2017-10-08 18:23:29 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Grimsby; 23/20; 6/5; 11/10; ; 11/10; ; 6/5; 11/10; 6/5; 21/20; ; ; 11/10; 6/5; 23/20; ; ; 11/10; 57/50; 1; 6/5; 11/10; 11/10; 21/20; ; 1; ; 
Crawley; 23/10; 21/10; 5/2; ; 12/5; ; 23/10; 12/5; 9/4; 13/5; ; ; 5/2; 13/5; 23/10; ; ; 40/17; 63/25; 23/10; 9/4; 13/5; 13/5; 51/20; ; 9/5; ; 
Draw; 12/5; 23/10; 11/5; ; 12/5; ; 23/10; 12/5; 9/4; 11/5; ; ; 5/2; 13/5; 12/5; ; ; 23/10; 53/20; 12/5; 9/4; 23/10; 12/5; 23/10; ; 11/5; ; 
META; english/league-2/grimsby-v-crawley; 2017-10-08 22:23:14 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Grimsby; 23/20; 6/5; 11/10; ; 23/20; ; 11/10; 11/10; 6/5; 11/10; 11/10; ; 11/10; 6/5; 11/10; ; ; 11/10; 117/100; 1; 6/5; 11/10; 23/20; 21/20; ; 1; ; 
Draw; 12/5; 23/10; 11/5; ; 12/5; ; 23/10; 12/5; 9/4; 11/5; 23/10; ; 12/5; 13/5; 12/5; ; ; 9/4; 123/50; 12/5; 9/4; 23/10; 12/5; 23/10; ; 11/5; ; 
Crawley; 23/10; 21/10; 13/5; ; 23/10; ; 12/5; 12/5; 9/4; 13/5; 5/2; ; 5/2; 13/5; 12/5; ; ; 40/17; 131/50; 23/10; 9/4; 13/5; 9/4; 51/20; ; 12/5; ; 
META; english/league-2/grimsby-v-crawley; 2017-10-09 02:22:27 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Grimsby; 23/20; 6/5; 15/13; 11/10; 11/10; ; 11/10; 11/10; 6/5; 23/20; 11/10; ; 13/10; 23/20; 23/20; 11/10; ; 11/10; 6/5; 1; 6/5; 11/10; 23/20; 11/10; ; 21/20; ; 
Draw; 12/5; 23/10; 9/4; 9/4; 12/5; ; 23/10; 23/10; 9/4; 11/5; 23/10; ; 12/5; 5/2; 23/10; 23/10; ; 23/10; 123/50; 12/5; 9/4; 23/10; 12/5; 23/10; ; 11/5; ; 
Crawley; 23/10; 21/10; 5/2; 13/5; 12/5; ; 12/5; 5/2; 9/4; 12/5; 5/2; ; 15/8; 11/4; 12/5; 12/5; ; 40/17; 127/50; 23/10; 9/4; 5/2; 9/4; 49/20; ; 5/2; ; 
META; english/league-2/grimsby-v-crawley; 2017-10-09 10:22:41 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Grimsby; 23/20; 6/5; 15/13; 11/10; 23/20; 21/20; 11/10; 11/10; 6/5; 23/20; 11/10; ; 13/10; 6/5; 23/20; 11/10; 11/10; 11/10; 6/5; 1; 6/5; 11/10; 23/20; 11/10; ; 10/9; ; 
Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; ; 12/5; 12/5; 23/10; 23/10; 12/5; 23/10; 123/50; 12/5; 9/4; 23/10; 12/5; 23/10; ; 23/10; ; 
Crawley; 23/10; 21/10; 5/2; 13/5; 12/5; 11/5; 12/5; 5/2; 9/4; 12/5; 5/2; ; 15/8; 27/10; 12/5; 12/5; 23/10; 40/17; 127/50; 23/10; 9/4; 5/2; 9/4; 49/20; ; 5/2; ; 
META; english/league-2/grimsby-v-crawley; 2017-10-09 14:22:48 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Grimsby; 23/20; 11/10; 15/13; 23/20; 23/20; 21/20; 11/10; 11/10; 6/5; 23/20; 11/10; 11/10; 13/10; 23/20; 23/20; 11/10; 11/10; 11/10; 6/5; 1; 6/5; 11/10; 23/20; 11/10; ; 21/20; 10/9; 
Draw; 12/5; 23/10; 9/4; 9/4; 23/10; 9/4; 23/10; 23/10; 9/4; 11/5; 23/10; 43/20; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 123/50; 12/5; 9/4; 23/10; 12/5; 23/10; ; 11/5; 21/10; 
Crawley; 23/10; 5/2; 5/2; 5/2; 12/5; 11/5; 12/5; 5/2; 9/4; 12/5; 5/2; 49/20; 15/8; 13/5; 12/5; 12/5; 23/10; 40/17; 127/50; 23/10; 9/4; 5/2; 9/4; 49/20; ; 5/2; 5/2; 
META; english/league-2/grimsby-v-crawley; 2017-10-09 18:23:32 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Grimsby; 23/20; 11/10; 15/13; 23/20; 11/10; 21/20; 11/10; 11/10; 6/5; 23/20; 11/10; 11/10; 13/10; 11/10; 23/20; 11/10; 11/10; 11/10; 6/5; 1; 6/5; 11/10; 23/20; 11/10; ; 10/9; 10/9; 
