META; english/league-2/newport-county-v-lincoln; 2017-12-16 22:21:47 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Lincoln; 9/5; 19/10; 19/10; 15/8; 24/13; 19/10; 15/8; 15/8; 15/8; 2; 19/10; 19/10; 17/10; 37/20; 2; 19/10; 24/13; 19/10; 51/25; 12/7; 15/8; 15/8; 15/8; 19/10; 19/10; ; 9/5; 15/8; 2
Draw; 12/5; 9/4; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 11/5; ; 21/10; 2; 9/4
META; english/league-2/newport-county-v-lincoln; 2017-12-20 18:23:32 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; 7/5; 6/4; 6/4; 16/11; 6/4; 29/20; 6/4; 31/21; 6/4; 29/20; 29/20; 31/20; 29/20; 7/5; 7/5; 16/11; 16/11; 77/50; 39/29; 31/21; 7/5; 29/20; 7/5; 16/11; ; 7/5; 7/5; 6/4
Lincoln; 9/5; 19/10; 19/10; 15/8; 24/13; 19/10; 15/8; 15/8; 15/8; 2; 19/10; 19/10; 17/10; 37/20; 2; 19/10; 24/13; 19/10; 51/25; 12/7; 15/8; 15/8; 15/8; 19/10; 19/10; ; 9/5; 15/8; 2
Draw; 12/5; 9/4; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 11/5; ; 21/10; 2; 9/4
META; english/league-2/newport-county-v-lincoln; 2017-12-20 22:23:35 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; 7/5; 6/4; 6/4; 16/11; 6/4; 29/20; 6/4; 31/21; 6/4; 29/20; 29/20; 31/20; 29/20; 7/5; 7/5; 16/11; 16/11; 77/50; 39/29; 31/21; 7/5; 6/4; 7/5; 16/11; ; 11/8; 7/5; 6/4
Lincoln; 9/5; 19/10; 19/10; 15/8; 24/13; 19/10; 15/8; 15/8; 15/8; 19/10; 19/10; 19/10; 17/10; 37/20; 2; 19/10; 24/13; 19/10; 51/25; 12/7; 15/8; 15/8; 9/5; 19/10; 19/10; ; 9/5; 7/4; 2
Draw; 12/5; 9/4; 21/10; 11/5; 9/4; 23/10; 11/5; 9/4; 11/5; 21/10; 9/4; 11/5; 9/4; 21/10; 11/5; 9/4; 9/4; 11/5; 23/10; 23/10; 11/5; 9/4; 12/5; 9/4; 11/5; ; 21/10; 19/10; 9/4
META; english/league-2/newport-county-v-lincoln; 2017-12-21 02:23:20 GMT+2; 2017-12-23 15:00; Nothing; Xlenovo
Newport County; 7/5; 7/5; 6/4; 6/4; 16/11; 6/4; 29/20; 6/4; 31/21; 6/4; 29/20; 29/20; 31/20; 29/20; 7/5; 7/5; 16/11; 16/11; 77/50; 39/29; 31/21; 7/5; 6/4; 7/5; 16/11; ; 7/5; 7/5; 6/4
