META; english/league-2/luton-v-exeter; 2018-01-28 02:21:50 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Exeter; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/luton-v-exeter; 2018-01-28 10:21:42 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; ; 8/13; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 14/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Exeter; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/luton-v-exeter; 2018-01-28 14:22:44 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Luton; 4/6; 8/13; ; ; 18/25; 4/6; 5/8; ; ; ; 8/13; ; ; ; ; ; ; 11/17; ; ; ; ; 8/13; 13/20; 11/17; ; 4/7; ; 
Draw; 14/5; 14/5; ; ; 74/25; 10/3; 14/5; ; ; ; 3; ; ; ; ; ; ; 27/10; ; ; ; ; 3; 14/5; 11/4; ; 14/5; ; 
Exeter; 4; 9/2; ; ; 21/5; 4; 4; ; ; ; 4; ; ; ; ; ; ; 50/13; ; ; ; ; 22/5; 4; 39/10; ; 7/2; ; 
META; english/league-2/luton-v-exeter; 2018-01-28 18:22:03 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
