META; english/league-2/exeter-v-cambridge-utd; 2017-06-23 22:18:44 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-24 02:18:41 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-24 10:18:47 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-24 14:18:51 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/exeter-v-cambridge-utd; 2017-06-24 18:18:49 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; 1; ; ; ; ; ; ; ; 11/10; 5/4; 5/4; ; ; 1; 21/20; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
Draw; 12/5; ; ; ; ; ; ; ; 12/5; 9/4; 9/4; ; ; 2; 12/5; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Cambridge Utd; 11/4; ; ; ; ; ; ; ; 13/5; 9/5; 9/5; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
