META; english/league-2/port-vale-v-exeter; 2018-02-10 22:20:26 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Exeter; 31/20; 17/10; ; 6/4; ; ; 8/5; 6/4; ; ; 8/5; ; ; ; ; 8/5; ; ; ; ; ; 8/5; 6/4; ; ; 10/9; ; 
Port Vale; 7/4; 3/2; ; 13/8; ; ; 17/10; 7/4; ; ; 9/5; ; ; ; ; 8/5; ; ; ; ; ; 17/10; 7/4; ; ; 13/10; ; 
Draw; 9/4; 12/5; ; 11/5; ; ; 9/4; 23/10; ; ; 9/4; ; ; ; ; 23/10; ; ; ; ; ; 12/5; 9/4; ; ; 7/4; ; 
META; english/league-2/port-vale-v-exeter; 2018-02-11 02:20:24 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Exeter; 31/20; 17/10; ; 6/4; ; 8/5; 8/5; 6/4; ; ; 8/5; 31/20; ; ; ; 8/5; ; ; ; ; ; 13/8; 6/4; ; ; 7/5; ; 
Port Vale; 7/4; 3/2; ; 13/8; ; 9/5; 17/10; 7/4; ; ; 9/5; 17/10; ; ; ; 8/5; ; ; ; ; ; 17/10; 7/4; ; ; 13/8; ; 
Draw; 9/4; 12/5; ; 11/5; ; 23/10; 9/4; 23/10; ; ; 9/4; 23/10; ; ; ; 23/10; ; ; ; ; ; 23/10; 9/4; ; ; 2; ; 
META; english/league-2/port-vale-v-exeter; 2018-02-11 10:20:31 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Exeter; 31/20; 17/10; ; 6/4; 83/50; 8/5; 8/5; 6/4; 17/11; ; 8/5; 31/20; ; ; ; 6/4; 17/11; 17/11; ; 17/11; ; 13/8; 6/4; 17/11; ; 7/5; ; 
Port Vale; 7/4; 3/2; ; 13/8; 46/25; 9/5; 17/10; 7/4; 7/4; ; 9/5; 17/10; ; ; ; 17/10; 7/4; 7/4; ; 7/4; ; 7/4; 7/4; 7/4; ; 13/8; ; 
Draw; 9/4; 12/5; ; 11/5; 59/25; 23/10; 9/4; 23/10; 9/4; ; 9/4; 23/10; ; ; ; 23/10; 9/4; 11/5; ; 9/4; ; 23/10; 9/4; 23/10; ; 2; ; 
META; english/league-2/port-vale-v-exeter; 2018-02-11 14:21:33 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Port Vale; 6/4; 6/4; 6/4; 13/8; 13/8; 13/8; 8/5; 8/5; 7/4; 6/4; 8/5; 6/4; ; 29/20; 6/4; 6/4; 17/11; 17/11; ; 7/4; ; 6/4; 29/20; 8/5; ; 6/4; ; 
Exeter; 9/5; 9/5; 9/5; 6/4; 197/100; 9/5; 7/4; 7/4; 17/11; 15/8; 7/4; 15/8; ; 9/5; 15/8; 9/5; 9/5; 7/4; ; 17/11; ; 15/8; 9/5; 9/5; ; 13/8; ; 
Draw; 9/4; 23/10; ; 11/5; 9/4; 9/4; 21/10; 11/5; 9/4; 9/4; 9/4; 11/5; ; 43/20; 11/5; 11/5; 28/13; 11/5; ; 9/4; ; 23/10; 9/4; 11/5; ; 2; ; 
META; english/league-2/port-vale-v-exeter; 2018-02-11 18:21:25 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Port Vale; 6/4; 6/4; 17/11; 13/8; 13/8; 13/8; 6/4; 8/5; 6/4; 31/20; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 17/11; 17/11; 11/8; 6/4; 6/4; 31/20; 29/20; 17/11; ; 6/4; ; 
Exeter; 9/5; 9/5; 9/5; 6/4; 197/100; 9/5; 9/5; 7/4; 9/5; 9/5; 7/4; 15/8; 9/5; 7/4; 15/8; 9/5; 24/13; 7/4; 13/8; 9/5; 9/5; 15/8; 9/5; 24/13; ; 13/8; ; 
Draw; 9/4; 23/10; 11/5; 11/5; 9/4; 9/4; 21/10; 11/5; 9/4; 11/5; 9/4; 11/5; 9/4; ; 11/5; 11/5; 28/13; 11/5; 40/17; 9/4; 23/10; 23/10; 9/4; 28/13; ; 2; ; 
META; english/league-2/port-vale-v-exeter; 2018-02-11 22:21:12 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Port Vale; 6/4; 6/4; 6/4; 6/4; 39/25; 31/20; 6/4; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 17/11; 39/29; 6/4; 6/4; 6/4; 29/20; 6/4; ; 7/5; 11/8; 7/5
Exeter; 9/5; 9/5; 28/15; 9/5; 49/25; 9/5; 9/5; 9/5; 9/5; 15/8; 9/5; 15/8; 9/5; 9/5; 15/8; 9/5; 24/13; 7/4; 32/19; 9/5; 9/5; 15/8; 9/5; 24/13; ; 7/4; 7/4; 9/5
Draw; 9/4; 23/10; 11/5; 23/10; 59/25; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 9/4; ; 11/5; 11/5; 11/5; 11/5; 40/17; 9/4; 23/10; 23/10; 9/4; 11/5; ; 2; 19/10; 2
META; english/league-2/port-vale-v-exeter; 2018-02-12 02:21:05 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Port Vale; 6/4; 6/4; 6/4; 6/4; 39/25; 31/20; 6/4; 6/4; 6/4; 6/4; 8/5; 6/4; 6/4; 29/20; 6/4; 6/4; 6/4; 17/11; 39/29; 6/4; 6/4; 6/4; 29/20; 6/4; ; 7/5; 11/8; 7/5
Exeter; 9/5; 9/5; 28/15; 9/5; 49/25; 9/5; 9/5; 9/5; 9/5; 15/8; 9/5; 15/8; 9/5; 9/5; 15/8; 9/5; 24/13; 7/4; 32/19; 9/5; 9/5; 15/8; 9/5; 24/13; ; 9/5; 7/4; 9/5
Draw; 9/4; 23/10; 11/5; 23/10; 59/25; 23/10; 11/5; 9/4; 9/4; 11/5; 9/4; 11/5; 9/4; ; 11/5; 11/5; 11/5; 11/5; 40/17; 9/4; 23/10; 23/10; 9/4; 11/5; ; 21/10; 19/10; 2
META; english/league-2/port-vale-v-exeter; 2018-02-12 10:21:24 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Port Vale; 8/5; 6/4; 6/4; 6/4; 31/20; 6/4; 6/4; 7/5; 16/11; 6/4; 29/20; 6/4; 6/4; 29/20; 6/4; 6/4; 16/11; 17/11; 39/29; 16/11; 6/4; 6/4; 29/20; 6/4; ; 7/5; 11/8; 7/5
Exeter; 2; 9/5; 28/15; 9/5; 199/100; 19/10; 15/8; 15/8; 15/8; 19/10; 19/10; 15/8; 9/5; 9/5; 15/8; 9/5; 19/10; 7/4; 32/19; 15/8; 9/5; 19/10; 9/5; 19/10; ; 9/5; 7/4; 9/5
Draw; 23/10; 23/10; 11/5; 23/10; 47/20; 23/10; 11/5; 23/10; 9/4; 11/5; 23/10; 11/5; 9/4; ; 11/5; 11/5; 11/5; 11/5; 40/17; 9/4; 23/10; 23/10; 9/4; 11/5; ; 11/5; 19/10; 2
META; english/league-2/port-vale-v-exeter; 2018-02-12 14:21:39 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Port Vale; 6/4; 7/5; 26/19; 29/20; 36/25; 6/4; 7/5; 7/5; 16/11; 7/5; 29/20; 29/20; ; 27/20; 7/5; 7/5; 7/5; 23/17; 9/7; 16/11; 7/5; 29/20; 29/20; 7/5; ; 11/8; 7/5; 13/10
Exeter; 21/10; 19/10; 2; 19/10; 54/25; 2; 2; 15/8; 15/8; 2; 19/10; 19/10; ; 39/20; 2; 19/10; 2; 2; 7/4; 15/8; 2; 2; 2; 39/19; ; 19/10; 19/10; 19/10
Draw; 23/10; 23/10; 11/5; 9/4; 117/50; 9/4; 11/5; 11/5; 9/4; 11/5; 9/4; 23/10; ; ; 11/5; 11/5; 11/5; 11/5; 40/17; 9/4; 23/10; 23/10; 9/4; 11/5; ; 11/5; 2; 2
META; english/league-2/port-vale-v-exeter; 2018-02-12 18:21:42 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Port Vale; 7/5; 13/10; 13/10; 5/4; 34/25; 7/5; 13/10; 11/8; 5/4; 27/20; 13/10; 13/10; 7/5; 13/10; 13/10; 13/10; 13/10; 23/17; 24/19; 5/4; 13/10; 11/8; 27/20; 13/10; ; 11/8; 5/4; 13/10
Exeter; 9/4; 21/10; 11/5; 11/5; 23/10; 2; 21/10; 2; 28/13; 11/5; 21/10; 21/10; 13/8; 41/20; 21/10; 21/10; 11/5; 2; 39/19; 28/13; 85/40; 11/5; 21/10; 11/5; ; 2; 2; 21/10
Draw; 23/10; 23/10; 21/10; 23/10; 117/50; 23/10; 11/5; 9/4; 23/10; 11/5; 23/10; 9/4; 9/4; ; 23/10; 11/5; 11/5; 11/5; 23/10; 23/10; 9/4; 23/10; 9/4; 11/5; ; 9/4; 2; 23/10
META; english/league-2/port-vale-v-exeter; 2018-02-12 22:21:44 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Port Vale; 13/10; 13/10; 5/4; 5/4; 127/100; 5/4; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 7/5; 6/5; 6/5; 6/5; 5/4; 5/4; 17/14; 5/4; 5/4; 13/10; 5/4; 6/5; ; 5/4; 6/5; 5/4
Draw; 12/5; 23/10; 21/10; 23/10; 119/50; 23/10; 9/4; 23/10; 23/10; 11/5; 9/4; 9/4; 9/4; ; 23/10; 9/4; 11/5; 11/5; 23/10; 23/10; 9/4; 12/5; 9/4; 9/4; ; 11/5; 2; 23/10
