Coventry; 15/8; 9/5; 28/15; 15/8; 197/100; 19/10; 9/5; 15/8; 15/8; 9/5; 15/8; 15/8; 15/8; 37/20; 15/8; 9/5; 24/13; 9/5; 28/17; 15/8; 15/8; 9/5; 37/20; 24/13; ; 9/5; 7/4; 9/5
Draw; 12/5; 9/4; 21/10; 11/5; 58/25; 23/10; 21/10; 9/4; 11/5; 21/10; 11/5; 21/10; 11/5; 41/20; 11/5; 11/5; 28/13; 11/5; 9/4; 11/5; 11/5; 12/5; 11/5; 11/5; ; 21/10; 19/10; 19/10
META; english/league-2/colchester-v-coventry; 2018-02-12 14:21:25 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Colchester; 8/5; 6/4; 8/5; 8/5; 41/25; 6/4; 6/4; 7/5; 31/21; 31/20; 6/4; 8/5; ; 31/20; 6/4; 6/4; 17/11; 17/11; 7/5; 31/21; 8/5; 6/4; 31/20; 17/11; ; 6/4; 6/4; 7/5
Coventry; 15/8; 9/5; 28/15; 7/4; 48/25; 19/10; 9/5; 15/8; 15/8; 9/5; 15/8; 15/8; ; 9/5; 15/8; 9/5; 9/5; 9/5; 28/17; 15/8; 9/5; 9/5; 37/20; 24/13; ; 19/10; 7/4; 7/4
Draw; 12/5; 23/10; 21/10; 11/5; 57/25; 23/10; 21/10; 9/4; 11/5; 2; 11/5; 21/10; ; 2; 11/5; 21/10; 28/13; 21/10; 9/4; 11/5; 11/5; 12/5; 11/5; 28/13; ; 2; 19/10; 19/10
META; english/league-2/colchester-v-coventry; 2018-02-12 18:21:27 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Colchester; 8/5; 6/4; 8/5; 8/5; 167/100; 8/5; 8/5; 6/4; 17/11; 8/5; 8/5; 8/5; 17/10; 31/20; 8/5; 6/4; 17/11; 17/11; 53/35; 17/11; 8/5; 8/5; 8/5; 8/5; ; 6/4; 6/4; 13/8
Coventry; 15/8; 9/5; 9/5; 7/4; 189/100; 15/8; 9/5; 9/5; 24/13; 9/5; 9/5; 9/5; 8/5; 9/5; 7/4; 9/5; 9/5; 9/5; 12/7; 24/13; 9/5; 9/5; 37/20; 9/5; ; 7/4; 9/5; 15/8
Draw; 12/5; 23/10; 21/10; 11/5; 57/25; 11/5; 21/10; 11/5; 28/13; 2; 11/5; 21/10; 9/4; 2; 11/5; 21/10; 28/13; 21/10; 23/10; 28/13; 85/40; 12/5; 11/5; 28/13; ; 11/5; 19/10; 9/4
META; english/league-2/colchester-v-coventry; 2018-02-12 22:21:29 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Colchester; 8/5; 6/4; 8/5; 8/5; 33/20; 8/5; 8/5; 6/4; 17/11; 31/20; 8/5; 31/20; 17/10; 31/20; 8/5; 6/4; 17/11; 8/5; 16/11; 17/11; 8/5; 8/5; 8/5; 17/11; ; 6/4; 6/4; 8/5
Coventry; 15/8; 9/5; 9/5; 7/4; 93/50; 7/4; 9/5; 17/10; 24/13; 9/5; 9/5; 9/5; 8/5; 7/4; 7/4; 9/5; 9/5; 28/17; 7/4; 24/13; 9/5; 9/5; 9/5; 9/5; ; 7/4; 7/4; 13/8
Draw; 12/5; 23/10; 21/10; 11/5; 117/50; 12/5; 11/5; 23/10; 28/13; 21/10; 9/4; 11/5; 9/4; 41/20; 11/5; 11/5; 28/13; 11/5; 40/17; 28/13; 9/4; 12/5; 11/5; 11/5; ; 11/5; 2; 23/10
META; english/league-2/colchester-v-coventry; 2018-02-13 02:21:16 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Colchester; 8/5; 6/4; 8/5; 8/5; 33/20; 31/20; 8/5; 6/4; 17/11; 31/20; 6/4; 31/20; 17/10; 31/20; 8/5; 6/4; 6/4; 8/5; 7/5; 17/11; 8/5; 8/5; 8/5; 17/11; ; 6/4; 6/4; 8/5
Coventry; 15/8; 9/5; 9/5; 7/4; 93/50; 15/8; 9/5; 9/5; 24/13; 9/5; 15/8; 9/5; 8/5; 7/4; 7/4; 9/5; 24/13; 28/17; 9/5; 24/13; 9/5; 9/5; 9/5; 9/5; ; 7/4; 9/5; 9/5
Draw; 12/5; 23/10; 21/10; 11/5; 117/50; 9/4; 11/5; 11/5; 28/13; 21/10; 11/5; 11/5; 9/4; 41/20; 11/5; 11/5; 28/13; 11/5; 40/17; 28/13; 9/4; 12/5; 11/5; 11/5; ; 9/4; 11/5; 23/10
META; english/league-2/colchester-v-coventry; 2018-02-13 10:21:29 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Colchester; 8/5; 6/4; 6/4; 8/5; 161/100; 31/20; 6/4; 6/4; 31/21; 6/4; 6/4; 31/20; 17/10; 6/4; 8/5; 6/4; 17/11; 8/5; 52/35; 31/21; 6/4; 31/20; 8/5; 17/11; ; 6/4; 6/4; 13/8
Coventry; 15/8; 9/5; 28/15; 7/4; 191/100; 15/8; 9/5; 9/5; 9/5; 15/8; 15/8; 15/8; 8/5; 9/5; 7/4; 9/5; 9/5; 28/17; 9/5; 9/5; 15/8; 15/8; 9/5; 24/13; ; 19/10; 19/10; 19/10
Draw; 12/5; 23/10; 21/10; 11/5; 47/20; 9/4; 11/5; 11/5; 9/4; 21/10; 11/5; 21/10; 9/4; 41/20; 11/5; 11/5; 11/5; 11/5; 11/5; 9/4; 9/4; 12/5; 11/5; 11/5; ; 9/4; 9/4; 23/10
META; english/league-2/colchester-v-coventry; 2018-02-13 14:21:27 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Colchester; 6/4; 6/4; 6/4; 8/5; 31/20; 31/20; 6/4; 6/4; 31/21; 6/4; 6/4; 6/4; 17/10; 29/20; 6/4; 6/4; 16/11; 17/11; 16/11; 31/21; 6/4; 31/20; 31/20; 6/4; ; 6/4; 6/4; 13/8
Coventry; 2; 9/5; 28/15; 7/4; 193/100; 15/8; 15/8; 9/5; 9/5; 15/8; 15/8; 19/10; 8/5; 37/20; 15/8; 15/8; 24/13; 9/5; 35/19; 9/5; 15/8; 19/10; 15/8; 24/13; ; 19/10; 19/10; 19/10
Draw; 12/5; 23/10; 21/10; 11/5; 121/50; 9/4; 11/5; 11/5; 9/4; 21/10; 9/4; 21/10; 9/4; 41/20; 23/10; 11/5; 11/5; 21/10; 11/5; 9/4; 9/4; 12/5; 11/5; ; ; 9/4; 23/10; 23/10
META; english/league-2/colchester-v-coventry; 2018-02-13 18:21:22 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Colchester; 6/4; 7/5; ; 6/4; 77/50; 6/4; 6/4; 7/5; 16/11; 6/4; 6/4; 6/4; 6/4; 29/20; 6/4; 7/5; 16/11; 17/11; 22/15; 16/11; 6/4; 6/4; 31/20; 16/11; ; 6/4; 6/4; 6/4
Coventry; 2; 19/10; 19/10; 15/8; 49/25; 19/10; 19/10; 15/8; 15/8; 19/10; 15/8; 19/10; 15/8; 15/8; 15/8; 15/8; 19/10; 9/5; 20/11; 15/8; 15/8; 19/10; 15/8; 19/10; ; 19/10; 19/10; 19/10
Draw; 12/5; 23/10; ; 11/5; 12/5; 23/10; 11/5; 9/4; 9/4; 21/10; 9/4; 11/5; 11/5; 41/20; 23/10; 9/4; 11/5; 21/10; 11/5; 9/4; 9/4; 12/5; 11/5; ; ; ; 23/10; 12/5
META; english/league-2/colchester-v-coventry; 2018-02-13 22:21:16 GMT+2; 2018-02-13 19:45; In Play; Xlenovo
Colchester; 4/11; 4/11; 4/11; 2/5; 43/25; ; 2/5; 4/11; 6/19; ; 4/11; 4/11; 4/11; 17/10; 4/11; 1/3; 7/19; 1/3; 6/17; 13/8; ; 2/5; 4/11; 3/8; ; ; 2/5; 6/4
Draw; 10/3; 7/2; 16/5; 16/5; 43/25; ; 3; 16/5; 17/5; ; 7/2; 3; 14/5; 7/4; 16/5; 10/3; 33/10; 10/3; 13/4; 28/13; ; 17/5; 10/3; 33/10; ; ; 10/3; 7/4
Coventry; 9; 9; 17/2; 8; 23/10; ; 6; 9; 8; ; 10; 7; 15/2; 19/10; 7; 10; 15/2; 31/4; 36/5; 13/8; ; 15/2; 9; 31/4; ; ; 46/5; 23/10
