META; english/league-2/lincoln-v-yeovil; 2018-05-02 18:21:43 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Lincoln; 2/5; 4/9; 4/9; 2/5; 4/9; 4/9; 8/15; 2/5; 5/11; 4/9; 2/5; 1/2; 4/9; 2/5; 1/2; 4/9; 5/12; 1/2; 2/5; 5/11; 4/9; 5/12; 4/9; 4/9
Draw; 10/3; 16/5; 17/5; 10/3; 18/5; 7/2; 29/10; 10/3; 16/5; 7/2; 3; 16/5; 7/2; 16/5; 100/0; 10/3; 33/10; 29/10; 38/11; 16/5; 7/2; 33/10; 3; 
Yeovil; 15/2; 6; 13/2; 11/2; 33/5; 7; 11/2; 13/2; 6; 13/2; 6; 11/2; 6; 6; 13/2; 27/4; 23/4; 53/10; 6; 13/2; 27/4; 32/5; 29/5; 
META; english/league-2/lincoln-v-yeovil; 2018-05-02 22:21:29 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Lincoln; 2/5; 4/9; 4/9; 2/5; 4/9; 4/9; 2/5; 2/5; 5/11; 4/9; 2/5; 2/5; 4/9; 4/9; 1/2; 2/5; 5/12; 1/2; 2/5; 5/11; 4/9; 5/12; 4/9; 4/9
Draw; 10/3; 16/5; 17/5; 10/3; 18/5; 7/2; 10/3; 10/3; 16/5; 7/2; 16/5; 7/2; 7/2; 16/5; 100/0; 7/2; 57/17; 29/10; 38/11; 16/5; 7/2; 57/17; 3; 
Yeovil; 15/2; 6; 13/2; 11/2; 33/5; 7; 13/2; 13/2; 6; 13/2; 6; 13/2; 6; 6; 13/2; 13/2; 23/4; 53/10; 6; 27/4; 32/5; 29/5; ; 
META; english/league-2/lincoln-v-yeovil; 2018-05-03 02:21:23 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Lincoln; 2/5; 4/9; 4/9; 2/5; 4/9; 4/9; 2/5; 2/5; 5/11; 4/9; 2/5; 2/5; 4/9; 4/9; 1/2; 2/5; 5/12; 1/2; 2/5; 5/11; 4/9; 5/12; 4/9; 4/9
Draw; 10/3; 16/5; 17/5; 10/3; 18/5; 7/2; 10/3; 10/3; 16/5; 7/2; 16/5; 7/2; 7/2; 16/5; 100/0; 7/2; 57/17; 29/10; 38/11; 16/5; 7/2; 57/17; 14/5; 3
Yeovil; 15/2; 6; 13/2; 11/2; 33/5; 7; 13/2; 13/2; 6; 13/2; 6; 13/2; 6; 6; 13/2; 13/2; 23/4; 53/10; 6; 27/4; 28/5; 29/5; ; 
META; english/league-2/lincoln-v-yeovil; 2018-05-03 10:21:25 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Lincoln; 2/5; 4/9; 4/9; 2/5; 9/20; 4/9; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 4/9; 1/2; 2/5; 2/5; 1/2; 2/5; 2/5; 4/9; 7/17; 4/9
Draw; 10/3; 16/5; 17/5; 10/3; 19/5; 7/2; 10/3; 10/3; 17/5; 7/2; 16/5; 7/2; 7/2; 16/5; 100/0; 7/2; 17/5; 29/10; 38/11; 17/5; 7/2; 17/5; 14/5
Yeovil; 15/2; 6; 13/2; 11/2; 6; 13/2; 13/2; 7; 13/2; 6; 13/2; 6; 6; 13/2; 27/4; 23/4; 53/10; 7; 27/5; ; ; ; 
META; english/league-2/lincoln-v-yeovil; 2018-05-03 14:21:38 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Lincoln; 2/5; 4/9; 4/9; 2/5; 11/25; 4/9; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 4/9; 1/2; 2/5; 2/5; 2/5; 2/5; 2/5; 4/9; 7/17; 4/9; 4/9
Draw; 10/3; 16/5; 17/5; 10/3; 18/5; 7/2; 10/3; 10/3; 17/5; 7/2; 16/5; 7/2; 7/2; 16/5; 100/0; 7/2; 57/17; 10/3; 38/11; 17/5; 7/2; 17/5; 3; 
Yeovil; 15/2; 6; 13/2; 11/2; 67/10; 7; 13/2; 13/2; 7; 13/2; 6; 13/2; 6; 6; 13/2; 7; 27/4; 53/10; 7; 32/5; 29/5; ; ; 
META; english/league-2/lincoln-v-yeovil; 2018-05-03 18:21:37 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Lincoln; 2/5; 4/9; 4/9; 2/5; 43/00; 4/9; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 2/5; 1/2; 2/5; 2/5; 2/5; 3/7; 2/5; 4/9; 7/17; 4/9; 
Draw; 10/3; 16/5; 17/5; 10/3; 37/10; 18/5; 10/3; 7/2; 17/5; 7/2; 7/2; 7/2; 7/2; 16/5; 100/0; 7/2; 17/5; 10/3; 62/17; 17/5; 18/5; 17/5; 10/3; 17/10
Yeovil; 15/2; 6; 13/2; 11/2; 7; 13/2; 13/2; 7; 13/2; 13/2; 13/2; 6; 6; 13/2; 27/4; 27/4; 27/5; 7; 7; 5/2; ; ; ; 
META; english/league-2/lincoln-v-yeovil; 2018-05-03 22:21:31 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Lincoln; 2/5; 4/9; 4/9; 2/5; 43/00; 4/9; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 4/9; 1/2; 2/5; 7/17; 2/5; 3/7; 2/5; 4/9; 5/12; 4/9; 4/9
Draw; 10/3; 16/5; 17/5; 10/3; 37/10; 18/5; 10/3; 7/2; 17/5; 7/2; 7/2; 7/2; 7/2; 16/5; 100/0; 7/2; 17/5; 10/3; 62/17; 17/5; 18/5; 38/11; 14/5; 3
Yeovil; 15/2; 6; 13/2; 11/2; 7; 13/2; 13/2; 7; 13/2; 13/2; 13/2; 6; 6; 13/2; 13/2; 27/4; 27/5; 7; 13/2; 9/2; 29/5; ; ; 
META; english/league-2/lincoln-v-yeovil; 2018-05-04 02:21:16 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Lincoln; 2/5; 4/9; 4/9; 2/5; 43/00; 4/9; 2/5; 2/5; 2/5; 4/9; 2/5; 2/5; 4/9; 4/9; 9/20; 2/5; 7/17; 2/5; 3/7; 2/5; 4/9; 5/12; 2/5
Draw; 10/3; 16/5; 17/5; 10/3; 37/10; 18/5; 7/2; 7/2; 17/5; 7/2; 7/2; 7/2; 7/2; 16/5; 15/4; 7/2; 17/5; 10/3; 62/17; 17/5; 18/5; 38/11; 7/2
Yeovil; 15/2; 6; 13/2; 11/2; 7; 13/2; 13/2; 7; 13/2; 13/2; 13/2; 6; 6; 13/2; 13/2; 27/4; 27/5; 7; 13/2; 32/5; ; ; 
META; english/league-2/lincoln-v-yeovil; 2018-05-04 10:21:18 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Lincoln; 1/2; 4/9; 4/9; 8/15; 9/20; 4/9; 4/9; 2/5; 5/11; 4/9; 4/9; 2/5; 4/9; 4/9; 9/20; 4/9; 4/9; 2/5; 3/7; 5/11; 4/9; 4/9; 4/9
Draw; 7/2; 16/5; 17/5; 3; 37/10; 18/5; 7/2; 7/2; 17/5; 7/2; 7/2; 7/2; 7/2; 16/5; 15/4; 10/3; 17/5; 10/3; 62/17; 17/5; 18/5; 17/5; 7/2
Yeovil; 13/2; 6; 13/2; 5; 31/5; 7; 13/2; 23/4; 13/2; 6; 13/2; 6; 6; 29/5; 27/4; 27/5; 23/4; 6; 59/10; 6; ; ; 
META; english/league-2/lincoln-v-yeovil; 2018-05-04 14:21:37 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Lincoln; 1/2; 4/9; 4/9; 1/2; 4/9; 4/9; 2/5; 5/11; 4/9; 4/9; 4/9; 4/9; 4/9; 9/20; 4/9; 4/9; 2/5; 3/7; 5/11; 9/20; 5/11; 2/5; 4/9; 4/9; 
Draw; 7/2; 7/2; 10/3; 3; 18/5; 18/5; 10/3; 7/2; 17/5; 17/5; 10/3; 10/3; 7/2; 16/5; 15/4; 10/3; 57/17; 10/3; 62/17; 17/5; 18/5; 17/5; 10/3; 3; 7/2
