META; english/league-2/yeovil-v-crewe; 2017-10-08 02:23:05 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Yeovil; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Crewe; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
META; english/league-2/yeovil-v-crewe; 2017-10-08 10:23:44 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Yeovil; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Crewe; ; 7/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
META; english/league-2/yeovil-v-crewe; 2017-10-08 14:24:10 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Yeovil; 6/4; 7/5; ; ; ; ; 6/4; 7/5; ; ; ; ; ; ; ; ; ; 16/11; ; ; ; ; 6/4; 6/4; ; 5/6; ; 
Crewe; 7/4; 7/4; ; ; ; ; 9/5; 9/5; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; 15/8; 7/4; ; 10/11; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 23/10; 23/10; ; 5/4; ; 
META; english/league-2/yeovil-v-crewe; 2017-10-08 18:23:46 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Yeovil; 27/20; 7/5; 23/17; ; 11/8; ; 7/5; 13/10; 16/11; 13/10; ; ; 13/10; 7/5; 13/10; ; ; 23/17; 139/100; 11/9; 16/11; 13/10; 11/8; 13/10; ; 5/4; ; 
Crewe; 2; 7/4; 2; ; 2; ; 2; 2; 24/13; 2; ; ; 15/8; 21/10; 21/10; ; ; 19/10; 197/100; 23/13; 24/13; 2; 2; 2; ; 19/10; ; 
Draw; 23/10; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 9/4; 23/10; ; ; 5/2; 5/2; 23/10; ; ; 9/4; 27/10; 27/11; 9/4; 12/5; 12/5; 23/10; ; 9/4; ; 
META; english/league-2/yeovil-v-crewe; 2017-10-08 22:23:33 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Yeovil; 27/20; 7/5; 23/17; ; 11/8; ; 7/5; 13/10; 16/11; 27/20; 13/10; ; 11/8; 7/5; 13/10; ; ; 23/17; 29/20; 11/9; 16/11; 13/10; 11/8; 13/10; ; 5/4; ; 
Crewe; 2; 7/4; 2; ; 2; ; 2; 2; 24/13; 19/10; 2; ; 2; 21/10; 21/10; ; ; 19/10; 101/50; 23/13; 24/13; 2; 2; 2; ; 19/10; ; 
Draw; 23/10; 23/10; 23/10; ; 23/10; ; 23/10; 23/10; 9/4; 23/10; 23/10; ; 12/5; 5/2; 23/10; ; ; 9/4; 5/2; 27/11; 9/4; 12/5; 12/5; 23/10; ; 9/4; ; 
META; english/league-2/yeovil-v-crewe; 2017-10-09 02:22:44 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Yeovil; 7/5; 7/5; 16/11; 11/8; 7/5; ; 6/4; 11/8; 16/11; 29/20; 6/4; ; 31/20; 29/20; 7/5; 7/5; ; 7/5; 153/100; 13/10; 16/11; 7/5; 29/20; 7/5; ; 7/5; ; 
Crewe; 19/10; 7/4; 28/15; 19/10; 15/8; ; 15/8; 15/8; 24/13; 9/5; 19/10; ; 8/5; 2; 19/10; 15/8; ; 9/5; 48/25; 28/17; 24/13; 15/8; 15/8; 37/20; ; 15/8; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 12/5; ; 23/10; 12/5; 9/4; 9/4; 11/5; ; 23/10; 5/2; 23/10; 23/10; ; 23/10; 62/25; 27/11; 9/4; 23/10; 12/5; 23/10; ; 9/4; ; 
META; english/league-2/yeovil-v-crewe; 2017-10-09 10:22:58 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Yeovil; 7/5; 7/5; 16/11; 11/8; 7/5; 4/3; 6/4; 11/8; 16/11; 29/20; 6/4; ; 31/20; 29/20; 7/5; 7/5; 7/5; 7/5; 153/100; 13/10; 16/11; 7/5; 29/20; 7/5; ; 7/5; ; 
Crewe; 19/10; 7/4; 28/15; 19/10; 15/8; 9/5; 15/8; 15/8; 24/13; 9/5; 19/10; ; 8/5; 2; 19/10; 15/8; 19/10; 9/5; 48/25; 28/17; 24/13; 15/8; 15/8; 37/20; ; 9/5; ; 
Draw; 23/10; 23/10; 9/4; 12/5; 12/5; 21/10; 23/10; 12/5; 9/4; 9/4; 11/5; ; 23/10; 5/2; 23/10; 23/10; 9/4; 23/10; 62/25; 27/11; 9/4; 23/10; 12/5; 23/10; ; 9/4; ; 
META; english/league-2/yeovil-v-crewe; 2017-10-09 14:23:06 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Yeovil; 7/5; 7/5; 16/11; 29/20; 7/5; 4/3; 6/4; 11/8; 16/11; 29/20; 6/4; 11/8; 31/20; 7/5; 7/5; 7/5; 7/5; 7/5; 151/100; 13/10; 16/11; 7/5; 29/20; 7/5; ; 7/5; 7/5; 
Crewe; 19/10; 19/10; 28/15; 9/5; 15/8; 9/5; 15/8; 15/8; 24/13; 9/5; 19/10; 37/20; 8/5; 19/10; 19/10; 15/8; 19/10; 9/5; 193/100; 28/17; 24/13; 15/8; 15/8; 37/20; ; 9/5; 19/10; 
Draw; 23/10; 12/5; 9/4; 12/5; 12/5; 21/10; 23/10; 12/5; 9/4; 9/4; 11/5; 9/4; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 5/2; 27/11; 9/4; 23/10; 12/5; 23/10; ; 21/10; 21/10; 
META; english/league-2/yeovil-v-crewe; 2017-10-09 18:23:49 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Yeovil; 7/5; 7/5; 16/11; 29/20; 7/5; 4/3; 6/4; 11/8; 16/11; 29/20; 6/4; 11/8; 31/20; 7/5; 7/5; 7/5; 7/5; 7/5; 151/100; 13/10; 16/11; 7/5; 29/20; 7/5; ; 7/5; 7/5; 
Crewe; 19/10; 19/10; 28/15; 9/5; 15/8; 9/5; 15/8; 15/8; 24/13; 9/5; 19/10; 37/20; 8/5; 19/10; 19/10; 15/8; 19/10; 9/5; 193/100; 28/17; 24/13; 15/8; 15/8; 37/20; ; 9/5; 19/10; 
Draw; 23/10; 12/5; 9/4; 12/5; 12/5; 21/10; 23/10; 12/5; 9/4; 9/4; 11/5; 9/4; 23/10; 12/5; 23/10; 23/10; 9/4; 23/10; 5/2; 27/11; 9/4; 23/10; 12/5; 23/10; ; 21/10; 21/10; 
META; english/league-2/yeovil-v-crewe; 2017-10-09 22:23:22 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Yeovil; 7/5; 7/5; 16/11; 29/20; 7/5; 4/3; 6/4; 11/8; 16/11; 29/20; 6/4; 11/8; 31/20; 7/5; 7/5; 7/5; 7/5; 7/5; 151/100; 13/10; 16/11; 7/5; 29/20; 7/5; ; 7/5; 7/5; 
