META; english/league-2/exeter-v-yeovil; 2018-03-10 22:20:54 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 10/11; 5/6; 3/4; 4/6; 7/10; 4/5; 3/4; 8/11; 4/7; 5/6
Draw; 12/5; 5/2; 5/2; 5/2; 13/5; 5/2; 13/5; 13/5; 19/10; 21/10
Yeovil; 3; 11/4; 7/2; 4; 9/2; 10/3; 4; 15/4; 3; 7/2
META; english/league-2/exeter-v-yeovil; 2018-03-11 02:20:59 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 10/11; 5/6; 4/5; 8/11; 3/4; 4/5; 4/5; 8/11; 4/7; 5/6
Draw; 12/5; 5/2; 13/5; 13/5; 13/5; 5/2; 13/5; 13/5; 19/10; 21/10
Yeovil; 3; 11/4; 10/3; 7/2; 19/5; 10/3; 15/4; 15/4; 21/10; 14/5
META; english/league-2/exeter-v-yeovil; 2018-03-11 10:21:03 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 10/11; 5/6; 4/5; 4/5; 8/11; 8/11; 3/4; 4/5; 8/11; 3/4; 8/11; 8/11; 5/6
Draw; 12/5; 5/2; 29/10; 13/5; 13/5; 28/11; 13/5; 5/2; 28/11; 13/5; 13/5; 13/5; 21/10
Yeovil; 3; 11/4; 18/5; 10/3; 10/3; 37/10; 19/5; 10/3; 37/10; 19/5; 15/4; 3; 14/5
META; english/league-2/exeter-v-yeovil; 2018-03-11 14:22:23 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 10/11; 20/23; 8/11; 10/11; 20/23; 17/20; 4/5; 8/11; 20/23; 17/20; 20/23; 10/11; 5/6; 17/20; 17/20; 11/13; 8/11; 20/23; 17/20; 4/5; 5/6
Draw; 12/5; 23/10; 5/2; 63/25; 13/5; 12/5; 12/5; 28/11; 23/10; 12/5; 23/10; 23/10; 9/4; 5/2; 12/5; 12/5; 28/11; 5/2; 12/5; 12/5; 
Yeovil; 3; 17/5; 10/3; 18/5; 15/4; 16/5; 7/2; 37/10; 17/5; 18/5; 10/3; 10/3; 10/3; 16/5; 16/5; 13/4; 37/10; 10/3; 10/3; 3; 
META; english/league-2/exeter-v-yeovil; 2018-03-11 18:21:53 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 10/11; 20/23; 5/6; 10/11; 20/23; 20/23; 4/5; 8/11; 17/20; 20/23; 1; 5/6; 17/20; 17/20; 13/15; 11/13; 9/11; 8/11; 20/23; 17/20; 13/15; 4/5; ; 
Draw; 12/5; 12/5; 12/5; 66/25; 5/2; 12/5; 23/10; 28/11; 12/5; 12/5; 23/10; 12/5; 23/10; 5/2; 12/5; 12/5; 5/2; 12/5; 28/11; 5/2; 12/5; 12/5; 9/4; 5/2
Yeovil; 3; 13/4; 3; 17/5; 15/4; 16/5; 7/2; 37/10; 10/3; 7/2; 10/3; 13/5; 16/5; 16/5; 16/5; 13/4; 31/10; 37/13; 37/10; 10/3; 10/3; 33/10; ; 
META; english/league-2/exeter-v-yeovil; 2018-03-11 22:21:42 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 10/11; 20/23; 5/6; 93/00; 10/11; 20/23; 5/6; 11/13; 10/11; 17/20; 20/23; 1; 17/20; 10/11; 10/11; 13/15; 11/13; 13/16; 11/13; 9/10; 17/20; 13/15; 5/6; 9/10; 10/11
Draw; 12/5; 12/5; 12/5; 131/0; 13/5; 12/5; 12/5; 27/11; 12/5; 5/2; 5/2; 12/5; 23/10; 5/2; 12/5; 27/11; 5/2; 27/11; 27/11; 5/2; 12/5; 27/11; 23/10; 5/2; 13/5
Yeovil; 3; 16/5; 3; 10/3; 7/2; 16/5; 10/3; 16/5; 13/4; 10/3; 16/5; 13/5; 31/10; 3; 16/5; 31/10; 29/10; 16/5; 16/5; 16/5; 16/5; 3; 3; ; 
META; english/league-2/exeter-v-yeovil; 2018-03-12 02:22:03 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 1; 21/20; 5/6; 21/20; 1; 20/21; 10/11; 19/20; 21/20; 1; 1; 19/20; 19/20; 1; 19/20; 1; 19/20; 21/20; 19/20; 1; 20/21; 1; ; ; 
Draw; 23/10; 23/10; 12/5; 63/25; 5/2; 23/10; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; 11/5; 5/2; 12/5; 40/17; 12/5; 40/17; 27/11; 12/5; 47/20; 12/5; 23/10; 11/5; 5/2
Yeovil; 13/5; 27/10; 3; 59/20; 31/10; 14/5; 11/4; 11/4; 11/4; 11/4; 13/5; 13/5; 27/10; 14/5; 14/5; 37/13; 14/5; 40/17; 11/4; 27/10; 57/20; 29/10; 14/5; 14/5; 14/5
META; english/league-2/exeter-v-yeovil; 2018-03-12 10:21:59 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 1; 21/20; 5/6; 21/20; 1; 10/11; 1; 21/20; 1; 1; 19/20; 19/20; 1; 19/20; 1; 21/20; 19/20; 1; 1; ; ; ; ; ; 
Draw; 23/10; 23/10; 12/5; 63/25; 5/2; 23/10; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; 11/5; 5/2; 12/5; 40/17; 12/5; 40/17; 27/11; 5/2; 47/20; 12/5; 23/10; 11/5; 5/2
Yeovil; 13/5; 27/10; 3; 59/20; 31/10; 11/4; 11/4; 45/17; 11/4; 11/4; 13/5; 13/5; 27/10; 14/5; 11/4; 14/5; 14/5; 40/17; 45/17; 13/5; 57/20; 14/5; 14/5; 14/5; 14/5
META; english/league-2/exeter-v-yeovil; 2018-03-12 14:22:34 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 1; 21/20; 1; 53/50; 1; 10/11; 1; 21/20; 1; 1; 19/20; 1; 19/20; 1; 21/20; 19/20; 1; 20/21; 1; ; ; ; ; ; ; 
Draw; 23/10; 23/10; 12/5; 63/25; 5/2; 23/10; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; 11/5; 5/2; 23/10; 12/5; 40/17; 27/11; 5/2; 47/20; 40/17; 23/10; 2; 5/2; 5/2; 
Yeovil; 13/5; 27/10; 14/5; 29/10; 31/10; 11/4; 11/4; 45/17; 11/4; 11/4; 13/5; 13/5; 27/10; 14/5; 13/5; 11/4; 14/5; 40/17; 45/17; 13/5; 57/20; 14/5; 14/5; 13/5; 14/5; 14/5
META; english/league-2/exeter-v-yeovil; 2018-03-12 18:22:38 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 1; 11/10; 1; 29/25; 23/20; 21/20; 1; 11/10; 11/10; 11/10; 1; 11/10; 11/10; 21/20; 21/20; 21/20; 12/11; 1; 23/20; 11/10; 11/10; 11/10; 10/9; 10/9; 10/9; 
Draw; 23/10; 9/4; 12/5; 62/25; 5/2; 23/10; 23/10; 27/11; 23/10; 23/10; 23/10; 12/5; 11/5; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 5/2; 47/20; 40/17; 23/10; 12/5; 12/5; 12/5
Yeovil; 13/5; 5/2; 14/5; 66/25; 11/4; 5/2; 13/5; 45/17; 13/5; 13/5; 5/2; 13/5; 49/20; 5/2; 13/5; 28/11; 13/5; 27/11; 45/17; 5/2; 13/5; 13/5; 5/2; 13/5; 13/5; 13/5
META; english/league-2/exeter-v-yeovil; 2018-03-12 22:22:36 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 5/4; 27/20; 29/20; 7/5; 7/5; 11/8; 13/10; 6/5; 27/20; 13/10; 13/10; 11/8; 13/10; 13/10; 13/10; 23/17; 6/5; 17/13; 6/5; 29/20; 27/20; 23/17; 13/10; 27/20; 27/20; 11/8
Yeovil; 11/5; 21/10; 19/10; 21/10; 11/5; 2; 11/5; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 2; 11/5; 45/23; 11/5; 2; 21/10; 39/19; 21/10; 21/10; 2; 21/10; ; 
Draw; 23/10; 11/5; 9/4; 5/2; 5/2; 23/10; 23/10; 40/17; 11/5; 23/10; 23/10; 9/4; 43/20; 23/10; 9/4; 23/10; 9/4; 23/10; 40/17; 12/5; 47/20; 23/10; 23/10; 12/5; 12/5; 12/5
META; english/league-2/exeter-v-yeovil; 2018-03-13 02:22:28 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 5/4; 5/4; 13/10; 33/25; 13/10; 13/10; 5/4; 6/5; 13/10; 5/4; 6/5; 13/10; 13/10; 13/10; 6/5; 5/4; 6/5; 23/18; 6/5; 13/10; 13/10; 5/4; 5/4; 5/4; 13/10; 5/4
Yeovil; 9/4; 11/5; 21/10; 109/0; 23/10; 21/10; 21/10; 11/5; 11/5; 11/5; 11/5; 11/5; 41/20; 21/10; 21/10; 21/10; 11/5; 2; 11/5; 85/40; 11/5; 28/13; 21/10; 11/5; 21/10; 9/4
Draw; 23/10; 11/5; 23/10; 64/25; 5/2; 23/10; 23/10; 40/17; 9/4; 12/5; 12/5; 9/4; 43/20; 23/10; 23/10; 40/17; 9/4; 23/10; 40/17; 5/2; 47/20; 40/17; 12/5; 12/5; 5/2; 5/2
META; english/league-2/exeter-v-yeovil; 2018-03-13 10:22:41 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 5/4; 6/5; 13/10; 13/10; 13/10; 5/4; 6/5; 6/5; 6/5; 5/4; 6/5; 6/5; 23/20; 6/5; 6/5; 6/5; 6/5; 22/19; 6/5; 6/5; 5/4; 6/5; 6/5; 6/5; 5/4; 5/4
Yeovil; 9/4; 23/10; 21/10; 119/0; 12/5; 9/4; 23/10; 11/5; 12/5; 23/10; 12/5; 23/10; 23/10; 23/10; 9/4; 23/10; 11/5; 9/4; 11/5; 12/5; 23/10; 23/10; 23/10; 12/5; 23/10; 12/5
Draw; 23/10; 11/5; 23/10; 119/0; 12/5; 9/4; 23/10; 40/17; 9/4; 23/10; 9/4; 9/4; 43/20; 23/10; 9/4; 9/4; 9/4; 23/10; 40/17; 5/2; 47/20; 23/10; 12/5; 12/5; 23/10; 5/2
META; english/league-2/exeter-v-yeovil; 2018-03-13 14:22:56 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 11/10; 23/20; 23/20; 119/00; 6/5; 11/10; 11/10; 8/7; 23/20; 6/5; 23/20; 23/20; 11/10; 23/20; 11/10; 11/10; 6/5; 19/17; 8/7; 11/10; 23/20; 11/10; 23/20; 23/20; 23/20; 6/5
Yeovil; 5/2; 5/2; 23/10; 127/0; 13/5; 12/5; 12/5; 9/4; 5/2; 12/5; 5/2; 12/5; 49/20; 12/5; 12/5; 12/5; 11/5; 23/10; 9/4; 13/5; 49/20; 12/5; 12/5; 5/2; 5/2; 5/2
Draw; 23/10; 11/5; 12/5; 62/25; 12/5; 23/10; 23/10; 27/11; 9/4; 23/10; 9/4; 23/10; 43/20; 23/10; 23/10; 40/17; 9/4; 40/17; 27/11; 13/5; 12/5; 40/17; 12/5; 5/2; 12/5; 5/2
META; english/league-2/exeter-v-yeovil; 2018-03-13 18:22:56 GMT+2; 2018-03-13 19:45; Nothing; Xlenovo
Exeter; 11/10; 23/20; 23/20; 121/00; 6/5; 6/5; 11/10; 8/7; 23/20; 6/5; 23/20; 23/20; 23/20; 23/20; 11/10; 11/10; 11/10; 22/19; 8/7; 23/20; 23/20; 15/13; 10/9; 23/20; 23/20; 23/20
Draw; 12/5; 11/5; 12/5; 62/25; 12/5; 12/5; 23/10; 40/17; 11/5; 23/10; 9/4; 23/10; 43/20; 23/10; 23/10; 40/17; 9/4; 9/4; 40/17; 13/5; 12/5; 40/17; 12/5; 5/2; 12/5; 5/2
