META; english/league-2/barnet-v-chesterfield; 2018-04-29 02:19:34 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 1/50
Draw; 11/4; 1/100
Chesterfield; 9/2; 1/50
META; english/league-2/barnet-v-chesterfield; 2018-04-29 10:19:48 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 1/33
Draw; 11/4; 1/100
Chesterfield; 9/2; 1/33
META; english/league-2/barnet-v-chesterfield; 2018-04-29 14:20:27 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 1/33
Draw; 11/4; 20/21
Chesterfield; 9/2; 20/21
META; english/league-2/barnet-v-chesterfield; 2018-04-29 18:20:39 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 8/13; 33/50; 3/5; 1/2; 8/15; 10/17; 4/7; 10/17; 4/11; 8/13
Draw; 14/5; 11/4; 72/25; 11/4; 11/4; 11/4; 27/10; 14/5; 6/4; 11/4; 
Chesterfield; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 74/17; 5; 74/17; 7/2; 22/5
META; english/league-2/barnet-v-chesterfield; 2018-04-29 22:20:25 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 8/13; 33/50; 3/5; 1/2; 8/15; 8/13; 10/17; 4/7; 10/17; 4/11; 8/13
Draw; 14/5; 11/4; 72/25; 14/5; 11/4; 11/4; 14/5; 27/10; 2; 11/4; ; 
Chesterfield; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 74/17; 74/17; 7/2; 22/5; 
META; english/league-2/barnet-v-chesterfield; 2018-04-30 02:20:09 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 8/13; 33/50; 3/5; 1/2; 8/15; 4/7; 8/13; 10/17; 3/5; 10/17; 4/11; 8/13
Draw; 14/5; 11/4; 72/25; 14/5; 11/4; 11/4; 3; 14/5; 27/10; 2; 11/4; ; 
Chesterfield; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 9/2; 74/17; 74/17; 21/10; 22/5; 
META; english/league-2/barnet-v-chesterfield; 2018-04-30 10:20:15 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 8/13; 33/50; 4/7; 3/5; 1/2; 3/5; 8/15; 6/10; 8/13; 8/13; 10/17; 8/13; 3/5; 3/5; 10/17; 1/2; 8/13
Draw; 14/5; 11/4; 72/25; 3; 14/5; 11/4; 11/4; 11/4; 14/5; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 11/4; 11/4; 
Chesterfield; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 19/4; 9/2; 49/11; 17/4; 19/4; 21/4; 49/11; 9/2; 22/5
META; english/league-2/barnet-v-chesterfield; 2018-04-30 14:20:53 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 8/13; 33/50; 4/7; 3/5; 1/2; 3/5; 8/15; 6/10; 6/10; 8/13; 8/13; 10/17; 8/13; 3/5; 3/5; 10/17; 8/15; 8/13
Draw; 14/5; 11/4; 72/25; 3; 14/5; 11/4; 11/4; 11/4; 14/5; 11/4; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 11/4; 
Chesterfield; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 17/4; 19/4; 9/2; 22/5; 17/4; 19/4; 5; 49/11; 23/5; 22/5
META; english/league-2/barnet-v-chesterfield; 2018-04-30 18:20:53 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 8/13; 33/50; 4/7; 3/5; 1/2; 3/5; 8/15; 6/10; 6/10; 8/13; 8/13; 10/17; 8/13; 3/5; 3/5; 10/17; 8/15; 8/13
Draw; 14/5; 11/4; 72/25; 3; 14/5; 11/4; 11/4; 11/4; 14/5; 11/4; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 11/4; 
Chesterfield; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 17/4; 19/4; 9/2; 22/5; 17/4; 19/4; 5; 49/11; 23/5; 22/5
META; english/league-2/barnet-v-chesterfield; 2018-04-30 22:20:52 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 8/13; 33/50; 4/7; 3/5; 1/2; 3/5; 8/15; 6/10; 6/10; 8/13; 8/13; 10/17; 8/13; 3/5; 4/7; 10/17; 8/15; 8/13
Draw; 14/5; 11/4; 72/25; 3; 14/5; 11/4; 11/4; 11/4; 14/5; 11/4; 14/5; 14/5; 27/10; 14/5; 11/4; 27/10; 14/5; 11/4; 
Chesterfield; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 19/4; 9/2; 9/2; 17/4; 19/4; 9/2; 22/5; 17/4; 19/4; 5; 49/11; 23/5; 22/5
META; english/league-2/barnet-v-chesterfield; 2018-05-01 02:20:41 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Barnet; 8/13; 8/13; 33/50; 4/7; 3/5; 1/2; 3/5; 8/15; 6/10; 6/10; 8/13; 8/13; 10/17; 8/13; 3/5; 3/5; 10/17; 8/15; 8/13
