META; english/league-2/colchester-v-carlisle; 2017-10-08 02:22:43 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Colchester; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Carlisle; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/colchester-v-carlisle; 2017-10-08 10:23:22 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Colchester; ; 11/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Carlisle; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/colchester-v-carlisle; 2017-10-08 14:23:42 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Colchester; 7/5; 11/8; ; ; ; ; 7/5; 13/10; ; ; ; ; ; ; ; ; ; 23/17; ; ; ; ; 11/8; 7/5; ; 4/5; ; 
Carlisle; 7/4; 9/5; ; ; ; ; 19/10; 15/8; ; ; ; ; ; ; ; ; ; 17/10; ; ; ; ; 21/10; 9/5; ; 6/5; ; 
Draw; 12/5; 23/10; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; 40/17; ; ; ; ; 23/10; 12/5; ; 21/10; ; 
META; english/league-2/colchester-v-carlisle; 2017-10-08 18:23:21 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Colchester; 13/10; 11/8; 23/17; ; 13/10; ; 11/8; 13/10; 7/5; 13/10; ; ; 13/10; 7/5; 11/8; ; ; 23/17; 13/10; 11/9; 7/5; 13/10; 11/8; 13/10; ; 1; ; 
Carlisle; 2; 9/5; 2; ; 2; ; 2; 15/8; 19/10; 2; ; ; 15/8; 21/10; 19/10; ; ; 24/13; 59/25; 23/13; 19/10; 2; 2; 39/20; ; 23/20; ; 
Draw; 12/5; 23/10; 23/10; ; 12/5; ; 23/10; 12/5; 23/10; 23/10; ; ; 5/2; 13/5; 12/5; ; ; 40/17; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; ; 21/10; ; 
META; english/league-2/colchester-v-carlisle; 2017-10-08 22:23:09 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Colchester; 13/10; 11/8; 23/17; ; 13/10; ; 7/5; 13/10; 7/5; 13/10; 11/8; ; 11/8; 7/5; 11/8; ; ; 23/17; 13/10; 11/9; 7/5; 13/10; 11/8; 13/10; ; 5/6; ; 
Carlisle; 2; 9/5; 2; ; 2; ; 2; 15/8; 19/10; 19/10; 21/10; ; 15/8; 21/10; 19/10; ; ; 19/10; 59/25; 23/13; 19/10; 2; 2; 39/20; ; 6/5; ; 
Draw; 12/5; 23/10; 23/10; ; 12/5; ; 23/10; 12/5; 23/10; 23/10; 11/5; ; 12/5; 5/2; 12/5; ; ; 23/10; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; ; 21/10; ; 
META; english/league-2/colchester-v-carlisle; 2017-10-09 02:22:22 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Colchester; 13/10; 11/8; 23/17; 11/8; 13/10; ; 11/8; 13/10; 7/5; 13/10; 13/10; ; 11/8; 7/5; 13/10; 13/10; ; 13/10; 13/10; 11/9; 7/5; 13/10; 11/8; 13/10; ; 5/4; ; 
Carlisle; 2; 9/5; 19/10; 19/10; 2; ; 19/10; 15/8; 19/10; 15/8; 19/10; ; 9/5; 21/10; 19/10; 2; ; 24/13; 59/25; 23/13; 19/10; 2; 2; 39/20; ; 19/10; ; 
Draw; 12/5; 23/10; 12/5; 12/5; 12/5; ; 12/5; 12/5; 23/10; 12/5; 5/2; ; 12/5; 13/5; 13/5; 12/5; ; 12/5; 12/5; 27/11; 23/10; 12/5; 12/5; 12/5; ; 11/5; ; 
META; english/league-2/colchester-v-carlisle; 2017-10-09 10:22:36 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Colchester; 13/10; 11/8; 23/17; 11/8; 13/10; 6/5; 11/8; 13/10; 7/5; 13/10; 13/10; ; 11/8; 7/5; 13/10; 13/10; 5/4; 13/10; 13/10; 11/9; 7/5; 13/10; 11/8; 13/10; ; 5/4; ; 
Carlisle; 2; 9/5; 19/10; 19/10; 2; 19/10; 19/10; 15/8; 19/10; 15/8; 19/10; ; 9/5; 21/10; 19/10; 2; 2; 24/13; 59/25; 23/13; 19/10; 2; 2; 39/20; ; 19/10; ; 
