META; english/league-2/crewe-v-cheltenham; 2018-04-29 02:19:37 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Cheltenham; 13/8; 1/50
Crewe; 13/8; 1/50
Draw; 23/10; 1/100
META; english/league-2/crewe-v-cheltenham; 2018-04-29 10:19:52 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Cheltenham; 13/8; 1/33
Crewe; 13/8; 1/33
Draw; 23/10; 1/100
META; english/league-2/crewe-v-cheltenham; 2018-04-29 14:20:30 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Cheltenham; 13/8; 1/33
Crewe; 13/8; 1/33
Draw; 23/10; 1/100
META; english/league-2/crewe-v-cheltenham; 2018-04-29 18:20:46 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Crewe; 6/4; 13/8; 157/00; 6/4; 7/5; 29/20; 16/11; 31/20; 16/11; 10/11; 6/4
Cheltenham; 8/5; 13/8; 13/8; 8/5; 6/4; 8/5; 17/11; 13/8; 20/21; 6/4; 
Draw; 13/5; 23/10; 67/25; 5/2; 5/2; 23/10; 5/2; 13/5; 5/2; 6/5; 13/5
META; english/league-2/crewe-v-cheltenham; 2018-04-29 22:20:33 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Cheltenham; 8/5; 13/8; 13/8; 8/5; 6/4; 8/5; 8/5; 17/11; 13/8; 1; 6/4; 
Crewe; 6/4; 13/8; 157/00; 6/4; 7/5; 29/20; 6/4; 16/11; 31/20; 16/11; 6/5; 6/4
Draw; 13/5; 23/10; 67/25; 5/2; 5/2; 23/10; 12/5; 5/2; 13/5; 5/2; 9/5; 5/2
META; english/league-2/crewe-v-cheltenham; 2018-04-30 02:20:15 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Crewe; 6/4; 13/8; 157/00; 6/4; 7/5; 6/4; 6/4; 6/4; 16/11; 31/20; 16/11; 5/6; 6/4
Cheltenham; 8/5; 13/8; 13/8; 8/5; 6/4; 6/4; 31/20; 8/5; 17/11; 13/8; 10/11; 6/4; 
Draw; 13/5; 23/10; 67/25; 5/2; 5/2; 23/10; 13/5; 5/2; 5/2; 13/5; 5/2; 9/5; 13/5
META; english/league-2/crewe-v-cheltenham; 2018-04-30 10:20:21 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Crewe; 6/4; 13/8; 157/00; 31/20; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 6/4; 16/11; 6/4; 6/4; 31/20; 16/11; 7/5; 6/4
Cheltenham; 8/5; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 8/5; 31/20; 8/5; 8/5; 17/11; 8/5; 8/5; 13/8; 6/4; 6/4; 
Draw; 13/5; 23/10; 67/25; 27/10; 5/2; 5/2; 45/17; 23/10; 13/5; 13/5; 5/2; 5/2; 5/2; 45/17; 13/5; 28/11; 12/5; 13/5
META; english/league-2/crewe-v-cheltenham; 2018-04-30 14:21:00 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Crewe; 6/4; 13/8; 157/00; 31/20; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 16/11; 6/4; 6/4; 31/20; 16/11; 7/5; 6/4
Cheltenham; 8/5; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 8/5; 31/20; 8/5; 8/5; 8/5; 17/11; 8/5; 8/5; 13/8; 6/4; 6/4; 
Draw; 13/5; 23/10; 67/25; 27/10; 5/2; 5/2; 45/17; 23/10; 13/5; 12/5; 13/5; 5/2; 5/2; 5/2; 45/17; 13/5; 28/11; 5/2; 13/5
META; english/league-2/crewe-v-cheltenham; 2018-04-30 18:21:00 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
Crewe; 6/4; 13/8; 157/00; 31/20; 6/4; 7/5; 6/4; 29/20; 6/4; 6/4; 6/4; 6/4; 16/11; 6/4; 6/4; 31/20; 16/11; 7/5; 6/4
Cheltenham; 8/5; 13/8; 13/8; 13/8; 8/5; 6/4; 8/5; 8/5; 31/20; 8/5; 8/5; 8/5; 17/11; 8/5; 8/5; 13/8; 6/4; 6/4; 
Draw; 13/5; 23/10; 67/25; 27/10; 5/2; 5/2; 45/17; 23/10; 13/5; 12/5; 13/5; 5/2; 5/2; 5/2; 45/17; 13/5; 28/11; 5/2; 13/5
META; english/league-2/crewe-v-cheltenham; 2018-04-30 22:20:59 GMT+3; 2018-05-05 15:00; Nothing; Xlenovo
