META; english/league-2/chesterfield-v-morecambe; 2017-10-08 02:22:39 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Chesterfield; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Morecambe; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/chesterfield-v-morecambe; 2017-10-08 10:23:20 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Chesterfield; ; 11/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2/9; ; 
Morecambe; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/6; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/chesterfield-v-morecambe; 2017-10-08 14:23:40 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Chesterfield; 6/5; 11/10; ; ; ; ; 11/10; 11/10; ; ; ; ; ; ; ; ; ; 15/13; ; ; ; ; 23/20; 23/20; ; 4/6; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 23/10; 23/10; ; 21/10; ; 
Morecambe; 9/4; 23/10; ; ; ; ; 12/5; 12/5; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 13/5; 23/10; ; 7/5; ; 
META; english/league-2/chesterfield-v-morecambe; 2017-10-08 18:23:16 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Chesterfield; 11/10; 11/10; 6/5; ; 23/20; ; 6/5; 11/10; 15/13; 23/20; ; ; 6/5; 6/5; 6/5; ; ; 15/13; 13/10; 11/10; 15/13; 6/5; 6/5; 23/20; ; 20/21; ; 
Morecambe; 12/5; 23/10; 11/5; ; 23/10; ; 11/5; 23/10; 9/4; 11/5; ; ; 21/10; 5/2; 11/5; ; ; 28/13; 121/50; 31/16; 9/4; 9/4; 9/4; 11/5; ; 7/4; ; 
Draw; 12/5; 23/10; 12/5; ; 12/5; ; 12/5; 12/5; 12/5; 12/5; ; ; 13/5; 13/5; 12/5; ; ; 40/17; 47/20; 5/2; 12/5; 12/5; 5/2; 12/5; ; 21/10; ; 
META; english/league-2/chesterfield-v-morecambe; 2017-10-08 22:23:07 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Chesterfield; 11/10; 11/10; 6/5; ; 23/20; ; 6/5; 11/10; 15/13; 23/20; 6/5; ; 6/5; 6/5; 6/5; ; ; 15/13; 13/10; 11/10; 15/13; 6/5; 6/5; 23/20; ; 8/11; ; 
Morecambe; 12/5; 23/10; 11/5; ; 23/10; ; 23/10; 23/10; 9/4; 11/5; 11/5; ; 11/5; 5/2; 11/5; ; ; 11/5; 121/50; 31/16; 9/4; 9/4; 9/4; 11/5; ; 27/20; ; 
Draw; 12/5; 23/10; 12/5; ; 12/5; ; 23/10; 12/5; 12/5; 12/5; 5/2; ; 12/5; 13/5; 12/5; ; ; 40/17; 47/20; 5/2; 12/5; 12/5; 5/2; 12/5; ; 21/10; ; 
META; english/league-2/chesterfield-v-morecambe; 2017-10-09 02:22:20 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Chesterfield; 11/10; 11/10; 15/13; 6/5; 23/20; ; 6/5; 11/10; 15/13; 23/20; 6/5; ; 23/20; 6/5; 6/5; 11/10; ; 15/13; 13/10; 11/10; 15/13; 6/5; 6/5; 23/20; ; 10/9; ; 
Morecambe; 12/5; 23/10; 9/4; 11/5; 23/10; ; 11/5; 23/10; 9/4; 11/5; 11/5; ; 9/4; 5/2; 11/5; 23/10; ; 11/5; 121/50; 31/16; 9/4; 9/4; 9/4; 11/5; ; 11/5; ; 
Draw; 12/5; 23/10; 12/5; 12/5; 12/5; ; 12/5; 12/5; 12/5; 12/5; 5/2; ; 23/10; 13/5; 12/5; 12/5; ; 12/5; 47/20; 5/2; 12/5; 12/5; 5/2; 12/5; ; 11/5; ; 
META; english/league-2/chesterfield-v-morecambe; 2017-10-09 10:22:34 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Chesterfield; 11/10; 11/10; 15/13; 6/5; 23/20; 21/20; 6/5; 11/10; 15/13; 23/20; 6/5; ; 23/20; 6/5; 6/5; 6/5; 11/10; 15/13; 13/10; 11/10; 15/13; 6/5; 6/5; 23/20; ; 10/9; ; 
Morecambe; 12/5; 23/10; 9/4; 11/5; 9/4; 11/5; 11/5; 23/10; 9/4; 11/5; 11/5; ; 9/4; 12/5; 11/5; 9/4; 23/10; 11/5; 121/50; 31/16; 9/4; 9/4; 9/4; 11/5; ; 11/5; ; 
Draw; 12/5; 23/10; 12/5; 12/5; 5/2; 9/4; 12/5; 12/5; 12/5; 12/5; 5/2; ; 23/10; 13/5; 12/5; 12/5; 12/5; 12/5; 47/20; 5/2; 12/5; 12/5; 5/2; 12/5; ; 9/4; ; 
