META; english/league-2/exeter-v-cambridge-united; 2017-06-24 22:18:38 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 11/10; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 12/5; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-25 02:18:40 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 11/10; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 12/5; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-25 10:18:40 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 11/10; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 12/5; 12/5; ; ; ; 5/2; 47/20; ; ; ; 27/11; 12/5; 9/4; 27/11; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-25 14:18:43 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 23/20; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 9/4; 12/5; ; ; ; 5/2; 47/20; ; ; ; 27/11; 12/5; 9/4; 27/11; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-25 18:18:48 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 23/20; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 9/4; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-25 22:18:37 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 11/10; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 12/5; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-26 02:18:35 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 11/10; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 12/5; 12/5; ; ; ; 5/2; 47/20; ; ; ; 27/11; 12/5; 9/4; 27/11; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-26 10:22:43 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 23/20; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 23/10; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-26 14:23:40 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 23/20; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 23/10; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-26 18:21:20 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 23/20; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 9/4; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-26 22:20:54 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 23/20; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 23/10; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-27 02:21:45 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 23/20; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 9/4; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-27 10:22:07 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 23/20; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 9/4; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
META; english/league-2/exeter-v-cambridge-united; 2017-06-27 14:23:12 GMT+3; 2017-08-05 15:00; Nothing; Xlenovo
Exeter; ; ; ; ; ; 1; 11/10; 1; ; ; ; 23/20; 23/20; ; ; ; 21/20; 11/10; 11/10; 21/20; 21/20; ; 11/10; ; 11/10; ; ; ; 
Draw; ; ; ; ; ; 12/5; 23/10; 2; ; ; ; 9/4; 23/10; ; ; ; 23/10; 23/10; 23/10; 23/10; 5/2; ; 23/10; ; 23/10; ; ; ; 
Cambridge United; ; ; ; ; ; 13/5; 12/5; 12/5; ; ; ; 5/2; 47/20; ; ; ; 12/5; 12/5; 9/4; 12/5; 74/25; ; 9/4; ; 9/4; ; ; ; 
