META; english/league-2/forest-green-v-newport-county; 2017-10-08 02:22:45 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Newport County; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Forest Green; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/forest-green-v-newport-county; 2017-10-08 10:23:25 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Newport County; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Forest Green; ; 2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/forest-green-v-newport-county; 2017-10-08 14:23:45 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Newport County; 7/5; 5/4; ; ; ; ; 7/5; 7/5; ; ; ; ; ; ; ; ; ; 23/17; ; ; ; ; 6/4; 11/8; ; 5/6; ; 
Forest Green; 15/8; 2; ; ; ; ; 19/10; 15/8; ; ; ; ; ; ; ; ; ; 9/5; ; ; ; ; 19/10; 19/10; ; 21/20; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; 23/10; ; ; ; ; ; ; ; ; ; 11/5; ; ; ; ; 23/10; 23/10; ; 21/10; ; 
META; english/league-2/forest-green-v-newport-county; 2017-10-08 18:23:27 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Newport County; 6/5; 5/4; 5/4; ; 5/4; ; 13/10; 6/5; 13/10; 5/4; ; ; 6/5; 13/10; 11/8; ; ; 6/5; 33/25; 8/7; 13/10; 5/4; 6/5; 6/5; ; 1/4; ; 
Forest Green; 11/5; 2; 21/10; ; 21/10; ; 21/10; 21/10; 2; 21/10; ; ; 21/10; 23/10; 19/10; ; ; 28/13; 21/10; 37/19; 2; 23/10; 23/10; 11/5; ; 6/4; ; 
Draw; 12/5; 23/10; 9/4; ; 12/5; ; 23/10; 12/5; 40/17; 9/4; ; ; 5/2; 13/5; 12/5; ; ; 23/10; 67/25; 12/5; 40/17; 23/10; 12/5; 23/10; ; 21/10; ; 
META; english/league-2/forest-green-v-newport-county; 2017-10-08 22:23:11 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Newport County; 6/5; 5/4; 6/5; ; 6/5; ; 5/4; 11/10; 13/10; 6/5; 6/5; ; 5/4; 5/4; 5/4; ; ; 6/5; 33/25; 8/7; 13/10; 5/4; 5/4; 6/5; ; 8/11; ; 
Forest Green; 11/5; 2; 11/5; ; 11/5; ; 11/5; 23/10; 2; 11/5; 23/10; ; 11/5; 12/5; 21/10; ; ; 28/13; 9/4; 37/19; 2; 23/10; 11/5; 11/5; ; 21/10; ; 
Draw; 12/5; 23/10; 9/4; ; 12/5; ; 23/10; 12/5; 40/17; 9/4; 23/10; ; 12/5; 13/5; 12/5; ; ; 9/4; 62/25; 12/5; 40/17; 23/10; 12/5; 23/10; ; 21/10; ; 
META; english/league-2/forest-green-v-newport-county; 2017-10-09 02:22:25 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Newport County; 6/5; 5/4; 6/5; 6/5; 6/5; ; 5/4; 11/10; 13/10; 6/5; 5/4; ; 11/10; 5/4; 6/5; 5/4; ; 15/13; 32/25; 11/10; 13/10; 5/4; 6/5; 6/5; ; 23/20; ; 
Forest Green; 11/5; 2; 11/5; 23/10; 11/5; ; 11/5; 23/10; 2; 11/5; 23/10; ; 12/5; 12/5; 11/5; 11/5; ; 28/13; 57/25; 2; 2; 23/10; 9/4; 11/5; ; 11/5; ; 
Draw; 12/5; 23/10; 23/10; 23/10; 12/5; ; 12/5; 12/5; 40/17; 9/4; 9/4; ; 23/10; 13/5; 12/5; 23/10; ; 40/17; 127/50; 12/5; 40/17; 23/10; 12/5; 23/10; ; 21/10; ; 
META; english/league-2/forest-green-v-newport-county; 2017-10-09 10:22:39 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
