Draw; 23/10; 12/5; ; ; 12/5; 21/10; 12/5; 12/5; 40/17; ; ; 13/5; 23/10; ; 23/10; 12/5; 23/10; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-12 10:23:41 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 6/4; ; ; 6/4; 7/5; 6/4; 6/4; 6/4; ; ; 29/20; 6/4; ; 6/4; 6/4; 6/4; ; 6/4; ; ; 6/4; ; 6/4; 6/4; ; ; ; 
Colchester; 7/4; 17/10; ; ; 9/5; 33/20; 9/5; 17/10; 7/4; ; ; 17/10; 7/4; ; 17/10; 7/4; 7/4; ; 7/4; ; ; 7/4; ; 9/5; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; 12/5; 21/10; 12/5; 12/5; 40/17; ; ; 13/5; 23/10; ; 23/10; 12/5; 23/10; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-12 14:23:53 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 6/4; ; ; ; 7/5; 6/4; 6/4; 6/4; ; ; 29/20; 6/4; ; 6/4; 6/4; 6/4; ; 6/4; ; ; 6/4; ; 6/4; 6/4; ; ; ; 
Colchester; 7/4; 17/10; ; ; ; 33/20; 9/5; 17/10; 7/4; ; ; 17/10; 7/4; ; 17/10; 7/4; 7/4; ; 7/4; ; ; 7/4; ; 9/5; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 21/10; 12/5; 12/5; 40/17; ; ; 13/5; 23/10; ; 23/10; 12/5; 23/10; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-12 18:24:02 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 6/4; ; ; ; 7/5; 6/4; 6/4; 6/4; ; ; 29/20; 6/4; ; 6/4; 6/4; 6/4; ; 6/4; ; ; 6/4; ; 6/4; 6/4; ; ; ; 
Colchester; 7/4; 17/10; ; ; ; 33/20; 9/5; 17/10; 7/4; ; ; 17/10; 7/4; ; 17/10; 7/4; 7/4; ; 7/4; ; ; 7/4; ; 9/5; 7/4; ; ; ; 
Draw; 23/10; 12/5; ; ; ; 21/10; 12/5; 12/5; 40/17; ; ; 13/5; 23/10; ; 23/10; 12/5; 23/10; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-12 22:23:52 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 6/4; 29/20; ; 6/4; 7/5; 6/4; 6/4; 6/4; ; ; 29/20; 6/4; ; 6/4; 6/4; 6/4; ; 6/4; ; ; 6/4; ; 6/4; 6/4; ; ; ; 
Colchester; 7/4; 17/10; 17/10; ; 9/5; 33/20; 9/5; 17/10; 7/4; ; ; 17/10; 7/4; ; 17/10; 7/4; 7/4; ; 7/4; ; ; 7/4; ; 9/5; 7/4; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; 21/10; 12/5; 12/5; 40/17; ; ; 13/5; 23/10; ; 23/10; 12/5; 23/10; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/cheltenham-v-colchester; 2017-09-13 02:22:04 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Cheltenham; 6/4; 6/4; 29/20; ; 6/4; 7/5; 6/4; 6/4; 6/4; ; ; 29/20; 6/4; ; 6/4; 6/4; 6/4; ; 6/4; ; ; 6/4; ; 6/4; 6/4; ; ; ; 
Colchester; 7/4; 17/10; 17/10; ; 9/5; 33/20; 9/5; 17/10; 7/4; ; ; 17/10; 7/4; ; 17/10; 7/4; 7/4; ; 7/4; ; ; 7/4; ; 9/5; 7/4; ; ; ; 
