Crawley; 13/2; 11/2; 6; 6; 63/10; 6; 6; 11/2; 6; 6; 6; 11/2; 11/2; 11/2; 11/2; 6; 6; 6; 24/5; 6; 11/2; 11/2; 11/2; 6; ; 29/5; 5; 5
META; english/league-2/luton-v-crawley; 2018-02-12 14:21:32 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 1/2; 1/2; 1/2; 8/15; 8/15; 1/2; 7/15; 4/9; 5/11; 1/2; 1/2; 1/2; ; 1/2; 1/2; 1/2; 17/35; 4/9; 6/13; 5/11; 1/2; 1/2; 12/25; 17/35; ; 8/15; 1/2; 1/2
Draw; 7/2; 16/5; 3; 3; 33/10; 10/3; 16/5; 16/5; 16/5; 3; 16/5; 3; ; 29/10; 16/5; 3; 41/13; 10/3; 41/13; 16/5; 3; 17/5; 16/5; 41/13; ; 3; 14/5; 14/5
Crawley; 13/2; 11/2; 11/2; 11/2; 61/10; 6; 11/2; 11/2; 6; 11/2; 11/2; 11/2; ; 11/2; 11/2; 11/2; 29/5; 6; 24/5; 6; 11/2; 11/2; 11/2; 76/13; ; 28/5; 5; 5
META; english/league-2/luton-v-crawley; 2018-02-12 18:21:35 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 1/2; 8/15; 1/2; 8/15; 1/2; 1/2; 7/15; 4/9; 7/15; 1/2; 1/2; 1/2; 11/20; 1/2; 1/2; 1/2; 7/15; 10/21; 8/15; 7/15; 1/2; 1/2; 12/25; 10/21; ; 1/2; 4/9; 1/2
Draw; 7/2; 3; 3; 3; 10/3; 16/5; 3; 16/5; 16/5; 3; 3; 3; 16/5; 29/10; 3; 3; 31/10; 31/10; 3; 16/5; 3; 7/2; 10/3; 41/13; ; 3; 14/5; 3
Crawley; 13/2; 11/2; 6; 11/2; 34/5; 6; 6; 11/2; 23/4; 6; 6; 6; 17/4; 11/2; 6; 6; 6; 23/4; 49/10; 23/4; 11/2; 6; 6; 6; ; 32/5; 26/5; 33/5
META; english/league-2/luton-v-crawley; 2018-02-12 22:21:36 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 8/13; 8/15; 11/18; 8/15; 63/100; 4/7; 4/7; 4/7; 6/11; 8/13; 8/13; 8/13; 11/20; 8/13; 8/13; 4/7; 10/17; 6/11; 8/13; 6/11; 8/13; 4/6; 8/13; 10/17; ; 4/7; 4/7; 4/7
Draw; 3; 3; 11/4; 3; 61/20; 3; 29/10; 3; 29/10; 11/4; 3; 11/4; 16/5; 13/5; 3; 14/5; 37/13; 14/5; 56/19; 29/10; 14/5; 3; 29/10; 37/13; ; 14/5; 5/2; 3
Crawley; 21/4; 11/2; 9/2; 11/2; 51/10; 5; 19/4; 9/2; 5; 9/2; 9/2; 9/2; 17/4; 17/4; 17/4; 5; 24/5; 21/4; 4; 5; 9/2; 22/5; 19/4; 63/13; ; 5; 22/5; 5
META; english/league-2/luton-v-crawley; 2018-02-13 02:21:23 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 8/13; 4/6; 11/18; 8/15; 33/50; 8/13; 3/5; 4/7; 6/11; 8/13; 8/13; 8/13; 11/20; 8/13; 8/13; 8/13; 10/17; 6/11; 8/13; 6/11; 8/13; 13/20; 8/13; 11/18; ; 4/7; 4/7; 8/13
Draw; 3; 11/4; 11/4; 3; 61/20; 3; 29/10; 11/4; 29/10; 27/10; 3; 14/5; 16/5; 13/5; 3; 14/5; 29/10; 14/5; 56/19; 29/10; 14/5; 3; 29/10; 37/13; ; 14/5; 5/2; 3
Crawley; 21/4; 17/4; 9/2; 5; 47/10; 9/2; 9/2; 9/2; 5; 9/2; 9/2; 9/2; 17/4; 17/4; 17/4; 9/2; 19/4; 21/4; 4; 5; 9/2; 9/2; 19/4; 79/17; ; 24/5; 21/5; 23/5
META; english/league-2/luton-v-crawley; 2018-02-13 10:21:36 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 4/6; 8/13; 11/18; 8/15; 16/25; 8/13; 3/5; 4/7; 3/5; 6/10; 8/13; 8/13; 4/7; 8/13; 8/13; 8/13; 11/18; 3/5; 11/18; 3/5; 8/13; 13/20; 8/13; 8/13; ; 4/7; 4/7; 4/7
Draw; 3; 29/10; 29/10; 3; 16/5; 3; 29/10; 3; 29/10; 29/10; 3; 14/5; 3; 11/4; 3; 14/5; 29/10; 29/10; 31/10; 29/10; 3; 31/10; 29/10; 56/19; ; 14/5; 14/5; 3
Crawley; 19/4; 9/2; 9/2; 5; 23/5; 9/2; 9/2; 9/2; 43/10; 17/4; 9/2; 9/2; 17/4; 4; 17/4; 9/2; 74/17; 17/4; 39/10; 43/10; 17/4; 22/5; 19/4; 74/17; ; 24/5; 23/5; 9/2
META; english/league-2/luton-v-crawley; 2018-02-13 14:21:34 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 8/13; 8/13; 4/7; 8/13; 3/5; 4/7; 4/7; 8/15; 3/5; 4/7; 3/5; 6/10; 4/7; 6/10; 8/13; 8/13; 4/7; 3/5; 4/7; 3/5; 4/7; 8/13; 8/13; 4/7; ; 4/7; 4/7; 4/7
Draw; 3; 29/10; 3; 11/4; 33/10; 3; 3; 3; 29/10; 29/10; 3; 3; 3; 14/5; 3; 14/5; 3; 29/10; 16/5; 29/10; 3; 16/5; 29/10; 3; ; 3; 3; 3
Crawley; 11/2; 9/2; 9/2; 9/2; 5; 5; 19/4; 9/2; 43/10; 9/2; 9/2; 9/2; 17/4; 17/4; 17/4; 9/2; 79/17; 17/4; 41/10; 43/10; 9/2; 9/2; 19/4; 47/10; ; 5; 26/5; 5
META; english/league-2/luton-v-crawley; 2018-02-13 18:21:30 GMT+2; 2018-02-13 19:45; Nothing; Xlenovo
Luton; 8/13; 8/13; 3/5; 8/13; 3/5; 6/10; 3/5; 4/7; 3/5; 6/10; 3/5; 6/10; 6/10; 4/7; 8/13; 4/7; 4/7; 3/5; 7/12; 3/5; 4/7; 8/13; 8/13; 4/7; ; 4/7; 4/7; 4/7
Draw; 31/10; 3; 3; 11/4; 33/10; 3; 3; 3; 29/10; 3; 3; 3; 3; 14/5; 3; 3; 3; 29/10; 16/5; 29/10; 3; 16/5; 29/10; 58/19; ; ; 3; 3
Crawley; 5; 17/4; 9/2; 9/2; 5; 9/2; 19/4; 9/2; 43/10; 9/2; 9/2; 9/2; 17/4; 17/4; 17/4; 9/2; 23/5; 17/4; 4; 43/10; 9/2; 9/2; 19/4; 79/17; ; 24/5; 5; 24/5
META; english/league-2/luton-v-crawley; 2018-02-13 22:21:24 GMT+2; 2018-02-13 19:45; In Play; Xlenovo
Luton; 1/8; 1/6; 1/8; 1/7; 61/100; 4/7; 3/5; 1/7; 6/11; ; ; 1/8; 8/15; 6/10; 4/7; 1/9; 8/15; ; 1/9; 1/8; ; 4/7; ; 8/15; ; ; 1/6; 8/15
Draw; 13/2; 13/2; 13/2; 13/2; 29/10; 5/2; 12/5; 6; 45/17; ; ; 11/2; 13/5; 13/5; 5/2; 13/2; 13/5; ; 63/10; 6; ; 27/10; ; 13/5; ; ; 29/5; 11/4
Crawley; 22; 22; 22; 11/2; 49/10; 6; 9/2; 22; 24/5; ; ; 20; 11/2; 19/4; 9/2; 20; 113/19; 35/2; 31/2; 17; ; 21/4; ; 6; ; ; 83/5; 2
