META; english/league-2/crawley-v-notts-county; 2017-09-10 14:24:01 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; ; ; ; 5/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crawley; 21/10; 21/10; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 9/4; 23/10; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-10 18:23:50 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; 13/10; ; 13/10; 5/4; ; ; ; ; 13/10; ; ; ; ; ; 5/4; ; ; ; ; ; 5/4; ; ; ; 
Crawley; 21/10; 21/10; ; ; 11/5; ; 11/5; 21/10; ; ; ; ; 21/10; ; ; ; ; ; 39/19; ; ; ; ; ; 9/4; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 23/10; ; ; ; ; 9/4; ; ; ; ; ; 9/4; ; ; ; ; ; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-10 22:23:50 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; 13/10; ; 13/10; 5/4; ; ; ; 5/4; 13/10; ; ; ; ; ; 5/4; ; ; ; ; ; 5/4; ; ; ; 
Crawley; 21/10; 21/10; ; ; 11/5; ; 11/5; 21/10; ; ; ; 11/5; 21/10; ; ; ; ; ; 39/19; ; ; ; ; ; 9/4; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 23/10; ; ; ; 9/4; 9/4; ; ; ; ; ; 11/5; ; ; ; ; ; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-11 02:23:45 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; 13/10; ; 13/10; 5/4; ; ; ; 5/4; 13/10; ; ; 13/10; ; ; 5/4; ; ; ; ; ; 5/4; ; ; ; 
Crawley; 21/10; 21/10; ; ; 11/5; ; 11/5; 21/10; ; ; ; 11/5; 21/10; ; ; 28/13; ; ; 39/19; ; ; ; ; ; 9/4; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 23/10; ; ; ; 9/4; 9/4; ; ; 23/10; ; ; 11/5; ; ; ; ; ; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-11 10:23:43 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; 13/10; ; 13/10; 5/4; ; ; ; 5/4; 13/10; ; ; 13/10; 13/10; ; 5/4; ; ; ; ; ; 5/4; ; ; ; 
Crawley; 21/10; 21/10; ; ; 11/5; ; 11/5; 21/10; ; ; ; 11/5; 21/10; ; ; 28/13; 21/10; ; 39/19; ; ; ; ; ; 9/4; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 23/10; ; ; ; 9/4; 9/4; ; ; 23/10; 11/5; ; 11/5; ; ; ; ; ; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-11 14:23:50 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; 13/10; ; 13/10; 5/4; 13/10; ; ; 5/4; 13/10; ; 5/4; 13/10; 13/10; ; 5/4; ; ; 13/10; ; ; 5/4; ; ; ; 
Crawley; 21/10; 21/10; ; ; 11/5; ; 11/5; 21/10; 28/13; ; ; 11/5; 21/10; ; 21/10; 28/13; 21/10; ; 21/10; ; ; 28/13; ; ; 9/4; ; ; ; 
Draw; 9/4; 23/10; ; ; 23/10; ; 23/10; 23/10; 11/5; ; ; 9/4; 9/4; ; 23/10; 23/10; 11/5; ; 11/5; ; ; 11/5; ; ; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-11 18:24:14 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; 13/10; 5/4; 5/4; 5/4; 13/10; ; ; 5/4; 13/10; ; 5/4; 13/10; 13/10; ; 5/4; ; ; 13/10; ; 13/10; 5/4; ; ; ; 
Crawley; 21/10; 11/5; ; ; 11/5; 39/20; 11/5; 21/10; 28/13; ; ; 21/10; 21/10; ; 21/10; 28/13; 21/10; ; 21/10; ; ; 28/13; ; 85/40; 9/4; ; ; ; 
Draw; 9/4; 12/5; ; ; 12/5; 41/20; 12/5; 23/10; 11/5; ; ; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 11/5; ; ; 11/5; ; 23/10; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-11 22:23:55 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; ; 5/4; 13/10; 5/4; 13/10; ; ; 5/4; 13/10; ; 5/4; 13/10; 13/10; ; 5/4; ; ; 13/10; ; 13/10; 5/4; ; ; ; 
Crawley; 21/10; 11/5; ; ; ; 39/20; 11/5; 21/10; 28/13; ; ; 21/10; 21/10; ; 21/10; 28/13; 21/10; ; 21/10; ; ; 28/13; ; 85/40; 9/4; ; ; ; 
Draw; 9/4; 12/5; ; ; ; 41/20; 23/10; 23/10; 11/5; ; ; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 11/5; ; ; 11/5; ; 23/10; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-12 02:23:47 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; 13/10; 5/4; 5/4; 5/4; 13/10; ; ; 5/4; 13/10; ; 5/4; 13/10; 13/10; ; 13/10; ; ; 13/10; ; 13/10; 5/4; ; ; ; 
Crawley; 21/10; 11/5; ; ; 11/5; 39/20; 11/5; 21/10; 28/13; ; ; 21/10; 21/10; ; 21/10; 28/13; 21/10; ; 21/10; ; ; 28/13; ; 85/40; 9/4; ; ; ; 
Draw; 9/4; 12/5; ; ; 12/5; 41/20; 12/5; 23/10; 11/5; ; ; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 9/4; ; ; 11/5; ; 23/10; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-12 10:23:46 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; ; 5/4; 13/10; 5/4; 13/10; ; ; 5/4; 13/10; ; 5/4; 13/10; 13/10; ; 13/10; ; ; 13/10; ; 13/10; 5/4; ; ; ; 
Crawley; 21/10; 11/5; ; ; ; 39/20; 11/5; 21/10; 28/13; ; ; 21/10; 21/10; ; 21/10; 28/13; 21/10; ; 21/10; ; ; 28/13; ; 85/40; 9/4; ; ; ; 
Draw; 9/4; 12/5; ; ; ; 41/20; 23/10; 23/10; 11/5; ; ; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 9/4; ; ; 11/5; ; 23/10; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-12 14:23:58 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; ; ; 13/10; 5/4; 13/10; 5/4; 13/10; ; ; 5/4; 13/10; ; 5/4; 13/10; 13/10; ; 13/10; ; ; 13/10; ; 13/10; 5/4; ; ; ; 
Crawley; 21/10; 11/5; ; ; 11/5; 39/20; 11/5; 21/10; 28/13; ; ; 21/10; 21/10; ; 21/10; 28/13; 21/10; ; 21/10; ; ; 28/13; ; 85/40; 9/4; ; ; ; 
Draw; 9/4; 12/5; ; ; 12/5; 41/20; 23/10; 23/10; 11/5; ; ; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 9/4; ; ; 11/5; ; 23/10; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-12 18:24:07 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; 6/5; ; 13/10; 5/4; 13/10; 5/4; 13/10; ; ; 5/4; 13/10; ; 5/4; 13/10; 13/10; ; 13/10; ; ; 13/10; ; 13/10; 5/4; ; ; ; 
Crawley; 21/10; 11/5; 41/20; ; 11/5; 39/20; 11/5; 21/10; 28/13; ; ; 21/10; 21/10; ; 21/10; 28/13; 21/10; ; 21/10; ; ; 28/13; ; 85/40; 9/4; ; ; ; 
Draw; 9/4; 12/5; 47/20; ; 12/5; 41/20; 23/10; 23/10; 11/5; ; ; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 9/4; ; ; 11/5; ; 23/10; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-12 22:23:57 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; 6/5; ; 13/10; 5/4; 13/10; 5/4; 13/10; ; ; 5/4; 13/10; ; 5/4; 13/10; 13/10; ; 13/10; ; ; 13/10; ; 13/10; 5/4; ; ; ; 
Crawley; 21/10; 11/5; 41/20; ; 11/5; 39/20; 11/5; 21/10; 28/13; ; ; 21/10; 21/10; ; 21/10; 28/13; 21/10; ; 21/10; ; ; 28/13; ; 85/40; 9/4; ; ; ; 
Draw; 9/4; 12/5; 47/20; ; 12/5; 41/20; 23/10; 23/10; 11/5; ; ; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 9/4; ; ; 11/5; ; 23/10; 9/4; ; ; ; 
META; english/league-2/crawley-v-notts-county; 2017-09-13 02:22:09 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Notts County; 13/10; 6/5; 6/5; ; 13/10; 5/4; 5/4; 5/4; 13/10; ; ; 5/4; 13/10; ; 5/4; 13/10; 13/10; ; 13/10; ; ; 13/10; ; 13/10; 5/4; ; ; ; 
Crawley; 21/10; 11/5; 41/20; ; 11/5; 39/20; 11/5; 21/10; 28/13; ; ; 21/10; 21/10; ; 21/10; 28/13; 21/10; ; 21/10; ; ; 28/13; ; 85/40; 9/4; ; ; ; 
Draw; 9/4; 12/5; 47/20; ; 12/5; 41/20; 12/5; 23/10; 11/5; ; ; 12/5; 9/4; ; 23/10; 23/10; 11/5; ; 9/4; ; ; 11/5; ; 23/10; 9/4; ; ; ; 
