META; english/league-2/accrington-v-coventry; 2017-10-08 02:22:37 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Accrington; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Coventry; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/accrington-v-coventry; 2017-10-08 10:23:17 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Accrington; ; 3/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Coventry; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
META; english/league-2/accrington-v-coventry; 2017-10-08 14:23:35 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Accrington; 6/4; 3/2; ; ; ; ; 6/4; 6/4; ; ; ; ; ; ; ; ; ; 16/11; 6/4; ; ; ; 31/20; 6/4; ; 5/6; ; 
Coventry; 7/4; 13/8; ; ; ; ; 9/5; 17/10; ; ; ; ; ; ; ; ; ; 17/10; 103/50; ; ; ; 9/5; 7/4; ; 1; ; 
Draw; 23/10; 23/10; ; ; ; ; 23/10; 12/5; ; ; ; ; ; ; ; ; ; 11/5; 47/20; ; ; ; 23/10; 23/10; ; 21/10; ; 
META; english/league-2/accrington-v-coventry; 2017-10-08 18:23:14 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Accrington; 13/8; 3/2; 17/11; ; 13/8; ; 8/5; 8/5; 16/11; 31/20; ; ; 13/8; 17/10; 6/4; ; ; 28/17; 173/100; 19/13; 16/11; 13/8; 7/4; 33/20; ; 20/21; ; 
Coventry; 13/8; 13/8; 9/5; ; 13/8; ; 13/8; 17/10; 7/4; 7/4; ; ; 8/5; 9/5; 9/5; ; ; 17/11; 169/100; 17/11; 7/4; 13/8; 31/20; 8/5; ; 13/8; ; 
Draw; 23/10; 23/10; 11/5; ; 23/10; ; 23/10; 23/10; 12/5; 21/10; ; ; 12/5; 12/5; 23/10; ; ; 9/4; 62/25; 23/10; 12/5; 9/4; 12/5; 9/4; ; 21/10; ; 
META; english/league-2/accrington-v-coventry; 2017-10-08 22:23:04 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Accrington; 13/8; 3/2; 28/17; ; 13/8; ; 17/10; 8/5; 16/11; 33/20; 17/10; ; 17/10; 17/10; 13/8; ; ; 28/17; 44/25; 53/35; 16/11; 7/4; 17/10; 17/10; ; 11/8; ; 
Coventry; 13/8; 13/8; 28/17; ; 13/8; ; 13/8; 17/10; 7/4; 13/8; 13/8; ; 13/8; 9/5; 8/5; ; ; 8/5; 43/25; 53/35; 7/4; 13/8; 13/8; 8/5; ; 13/8; ; 
Draw; 23/10; 23/10; 11/5; ; 23/10; ; 11/5; 23/10; 12/5; 21/10; 9/4; ; 9/4; 12/5; 12/5; ; ; 11/5; 119/50; 23/10; 12/5; 9/4; 23/10; 11/5; ; 21/10; ; 
META; english/league-2/accrington-v-coventry; 2017-10-09 02:22:17 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Coventry; 7/5; 13/8; 6/4; 29/20; 29/20; ; 6/4; 6/4; 16/11; 29/20; 6/4; ; 6/4; 13/8; 8/5; 6/4; ; 16/11; 79/50; 7/5; 16/11; 6/4; 6/4; 6/4; ; 6/4; ; 
Accrington; 19/10; 3/2; 19/10; 19/10; 15/8; ; 15/8; 9/5; 24/13; 15/8; 15/8; ; 17/10; 19/10; 7/4; 9/5; ; 9/5; 39/20; 8/5; 24/13; 9/5; 19/10; 9/5; ; 7/4; ; 
Draw; 23/10; 23/10; 21/10; 9/4; 9/4; ; 11/5; 11/5; 9/4; 21/10; 11/5; ; 9/4; 23/10; 11/5; 9/4; ; 11/5; 47/20; 23/10; 9/4; 9/4; 23/10; 11/5; ; 21/10; ; 
META; english/league-2/accrington-v-coventry; 2017-10-09 10:22:31 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Coventry; 7/5; 13/8; 6/4; 29/20; 29/20; 4/3; 6/4; 6/4; 16/11; 29/20; 6/4; ; 6/4; 13/8; 8/5; 6/4; 7/5; 16/11; 79/50; 7/5; 16/11; 6/4; 6/4; 6/4; ; 6/4; ; 
Accrington; 19/10; 3/2; 19/10; 19/10; 15/8; 9/5; 15/8; 9/5; 24/13; 15/8; 15/8; ; 17/10; 19/10; 7/4; 15/8; 19/10; 9/5; 39/20; 8/5; 24/13; 9/5; 19/10; 9/5; ; 7/4; ; 
Draw; 23/10; 23/10; 21/10; 9/4; 9/4; 21/10; 11/5; 11/5; 9/4; 21/10; 11/5; ; 9/4; 23/10; 11/5; 9/4; 9/4; 11/5; 47/20; 23/10; 9/4; 9/4; 23/10; 11/5; ; 21/10; ; 
META; english/league-2/accrington-v-coventry; 2017-10-09 14:22:38 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
