META; english/league-2/chesterfield-v-crawley; 2018-01-28 02:21:37 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Chesterfield; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Crawley; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/chesterfield-v-crawley; 2018-01-28 10:21:30 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Chesterfield; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Crawley; ; 13/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/33; ; 
Draw; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/100; ; 
META; english/league-2/chesterfield-v-crawley; 2018-01-28 14:22:31 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Chesterfield; 11/8; 13/8; ; ; 36/25; 6/4; 7/5; ; ; ; 29/20; ; ; ; ; ; ; ; ; ; ; ; 6/4; 11/8; ; ; 11/8; ; 
Crawley; 15/8; 13/8; ; ; 101/ 50; 2; 9/5; ; ; ; 9/5; ; ; ; ; ; ; ; ; ; ; ; 9/5; 37/20; ; ; 9/5; ; 
Draw; 12/5; 23/10; ; ; 63/25; 12/5; 23/10; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; 12/5; 47/20; ; ; 21/10; ; 
META; english/league-2/chesterfield-v-crawley; 2018-01-28 18:21:50 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Chesterfield; 11/8; 13/8; ; ; 36/25; 6/4; 7/5; ; 7/5; ; 7/5; 29/20; ; ; ; ; ; 23/17; ; ; 7/5; 7/5; 29/20; 11/8; 23/17; ; 11/8; ; 
Crawley; 15/8; 13/8; ; ; 101/ 50; 2; 9/5; ; 15/8; ; 15/8; 15/8; ; ; ; ; ; 24/13; ; ; 15/8; 15/8; 15/8; 37/20; 24/13; ; 9/5; ; 
Draw; 12/5; 23/10; ; ; 63/25; 12/5; 23/10; ; 40/17; ; 23/10; 23/10; ; ; ; ; ; 23/10; ; ; 40/17; 12/5; 12/5; 47/20; 40/17; ; 21/10; ; 
META; english/league-2/chesterfield-v-crawley; 2018-01-28 22:24:21 GMT+2; 2018-02-03 15:00; Nothing; Xlenovo
Chesterfield; 11/8; 13/8; ; ; 36/25; 6/4; 7/5; ; 7/5; ; 7/5; 29/20; ; ; ; ; ; 23/17; ; ; 7/5; 7/5; 29/20; 11/8; 23/17; ; 11/8; ; 
Crawley; 15/8; 13/8; ; ; 101/ 50; 2; 9/5; ; 15/8; ; 15/8; 15/8; ; ; ; ; ; 24/13; ; ; 15/8; 15/8; 15/8; 37/20; 24/13; ; 9/5; ; 
Draw; 12/5; 23/10; ; ; 63/25; 12/5; 23/10; ; 40/17; ; 23/10; 23/10; ; ; ; ; ; 23/10; ; ; 40/17; 12/5; 12/5; 47/20; 40/17; ; 21/10; ; 
