META; english/league-2/port-vale-v-forest-green; 2017-09-10 14:24:11 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Forest Green; 15/8; 9/5; ; ; ; ; ; 15/8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; 23/10; 23/10; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-10 18:24:00 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 7/5; ; ; 29/20; ; 29/20; 7/5; ; ; ; ; 7/5; ; ; ; ; ; 7/5; ; ; ; ; ; 7/5; ; ; ; 
Draw; 23/10; 12/5; ; ; 12/5; 21/10; 12/5; 23/10; 40/17; ; ; 12/5; 23/10; ; 23/10; 23/10; 9/4; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-12 10:23:56 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 6/4; ; ; 29/20; 4/3; 29/20; 7/5; 7/5; ; ; 7/5; 7/5; ; 7/5; 7/5; 7/5; ; 7/5; ; ; 7/5; ; 7/5; 7/5; ; ; ; 
Forest Green; 15/8; 17/10; ; ; 19/10; 9/5; 19/10; 15/8; 15/8; ; ; 15/8; 19/10; ; 9/5; 15/8; 19/10; ; 24/13; ; ; 15/8; ; 15/8; 15/8; ; ; ; 
Draw; 23/10; 12/5; ; ; 12/5; 21/10; 12/5; 23/10; 40/17; ; ; 12/5; 23/10; ; 23/10; 23/10; 9/4; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-12 14:24:08 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 6/4; ; ; 29/20; 4/3; 29/20; 7/5; 7/5; ; ; 7/5; 7/5; ; 7/5; 7/5; 7/5; ; 7/5; ; ; 7/5; ; 7/5; 7/5; ; ; ; 
Forest Green; 15/8; 17/10; ; ; 19/10; 9/5; 19/10; 15/8; 15/8; ; ; 15/8; 19/10; ; 9/5; 15/8; 19/10; ; 24/13; ; ; 15/8; ; 15/8; 15/8; ; ; ; 
Draw; 23/10; 12/5; ; ; 12/5; 21/10; 12/5; 23/10; 40/17; ; ; 12/5; 23/10; ; 23/10; 23/10; 9/4; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-12 18:24:17 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 6/4; 27/20; ; 29/20; 4/3; 29/20; 7/5; 7/5; ; ; 7/5; 7/5; ; 7/5; 7/5; 7/5; ; 7/5; ; ; 7/5; ; 7/5; 7/5; ; ; ; 
Forest Green; 15/8; 17/10; 9/5; ; 19/10; 9/5; 19/10; 15/8; 15/8; ; ; 15/8; 19/10; ; 9/5; 15/8; 19/10; ; 24/13; ; ; 15/8; ; 15/8; 15/8; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; 21/10; 12/5; 23/10; 40/17; ; ; 12/5; 23/10; ; 23/10; 23/10; 9/4; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-12 22:24:06 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 6/4; 27/20; ; 29/20; 4/3; 29/20; 7/5; 7/5; ; ; 7/5; 7/5; ; 7/5; 7/5; 7/5; ; 7/5; ; ; 7/5; ; 7/5; 7/5; ; ; ; 
Forest Green; 15/8; 17/10; 9/5; ; 19/10; 9/5; 19/10; 15/8; 15/8; ; ; 15/8; 19/10; ; 9/5; 15/8; 19/10; ; 24/13; ; ; 15/8; ; 15/8; 15/8; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; 21/10; 12/5; 23/10; 40/17; ; ; 12/5; 23/10; ; 23/10; 23/10; 9/4; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-13 02:22:18 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 6/4; 27/20; ; 29/20; 4/3; 29/20; 7/5; 7/5; ; ; 7/5; 7/5; ; 7/5; 7/5; 7/5; ; 7/5; ; ; 7/5; ; 7/5; 7/5; ; ; ; 
Forest Green; 15/8; 17/10; 9/5; ; 19/10; 9/5; 19/10; 15/8; 15/8; ; ; 15/8; 19/10; ; 9/5; 15/8; 19/10; ; 24/13; ; ; 15/8; ; 15/8; 15/8; ; ; ; 
Draw; 23/10; 12/5; 23/10; ; 12/5; 21/10; 12/5; 23/10; 40/17; ; ; 12/5; 23/10; ; 23/10; 23/10; 9/4; ; 23/10; ; ; 40/17; ; 23/10; 9/4; ; ; ; 
META; english/league-2/port-vale-v-forest-green; 2017-09-13 10:22:44 GMT+3; 2017-09-16 15:00; Nothing; Xlenovo
Port Vale; 7/5; 6/4; 27/20; ; 29/20; 4/3; 29/20; 7/5; 7/5; ; ; 7/5; 7/5; ; 7/5; 7/5; 7/5; ; 7/5; ; ; 7/5; ; 7/5; 7/5; ; 1; ; 
Forest Green; 15/8; 17/10; 9/5; ; 19/10; 9/5; 19/10; 15/8; 15/8; ; ; 15/8; 19/10; ; 9/5; 15/8; 19/10; ; 24/13; ; ; 15/8; ; 15/8; 15/8; ; 7/5; ; 
