META; english/league-2/mansfield-v-colchester; 2018-03-04 02:22:07 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Mansfield; 1
Draw; 9/4
Colchester; 13/5
META; english/league-2/mansfield-v-colchester; 2018-03-04 10:22:12 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Mansfield; 1
Draw; 9/4
Colchester; 13/5
META; english/league-2/mansfield-v-colchester; 2018-03-04 14:22:50 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Mansfield; 1; 1; ; 
Draw; 23/10; 9/4; 23/10; 23/10
Colchester; 11/4; 13/5; 11/4; 11/4
META; english/league-2/mansfield-v-colchester; 2018-03-04 18:23:15 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Mansfield; 19/20; 1; 1; 10/11; 1; 1; 19/20; 21/20; 19/20; 1; ; ; 
Draw; 23/10; 9/4; 9/4; 12/5; 23/10; 11/5; 9/4; 12/5; 12/5; 23/10; 12/5; 23/10; 23/10
Colchester; 3; 13/5; 14/5; 29/10; 14/5; 13/5; 14/5; 11/4; 11/4; 45/17; 14/5; 29/10; 45/17
META; english/league-2/mansfield-v-colchester; 2018-03-04 22:22:57 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Mansfield; 19/20; 1; 1; 10/11; 1; 20/21; 1; 19/20; 28/29; 1; 19/20; 1; ; ; 
Draw; 23/10; 9/4; 23/10; 5/2; 23/10; 23/10; 9/4; 12/5; 12/5; 12/5; 23/10; 23/10; 12/5; 47/20; 23/10
Colchester; 3; 13/5; 14/5; 29/10; 11/4; 13/5; 14/5; 11/4; 14/5; 11/4; 45/17; 27/11; 29/10; 57/20; 45/17
META; english/league-2/mansfield-v-colchester; 2018-03-05 02:23:03 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Mansfield; 19/20; 1; 1; 10/11; 1; 20/21; 1; 19/20; 28/29; 1; 19/20; 1; ; ; ; 
