META; english/league-2/barnet-v-newport-county; 2018-04-15 02:20:46 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Newport County; 7/4; 1/33
Draw; 11/5; 1/100
Barnet; 3/2; 1/33
META; english/league-2/barnet-v-newport-county; 2018-04-15 10:20:46 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Newport County; 7/4; 1/33
Draw; 11/5; 1/100
Barnet; 3/2; 1/33
META; english/league-2/barnet-v-newport-county; 2018-04-15 14:22:05 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Newport County; 7/4; 1/33
Draw; 11/5; 1/100
Barnet; 3/2; 1/33
META; english/league-2/barnet-v-newport-county; 2018-04-15 18:21:39 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 5/4; 3/2; 13/10; 13/10; 13/10; 6/5; 13/10; 6/5; 13/10; 6/5; 6/5; 5/4
Newport County; 21/10; 7/4; 59/25; 11/5; 2; 11/5; 2; 85/40; 39/19; 19/10; 23/10; 
Draw; 12/5; 11/5; 12/5; 23/10; 23/10; 11/5; 23/10; 23/10; 12/5; 23/10; 2; 23/10
META; english/league-2/barnet-v-newport-county; 2018-04-15 22:21:47 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 5/4; 7/5; 67/50; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 6/5; 13/10; 6/5; 6/5; 13/10
Newport County; 21/10; 2; 109/50; 11/5; 2; 11/5; 21/10; 21/10; 2; 85/40; 39/19; 19/10; 21/10; 
Draw; 12/5; 11/5; 63/25; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 11/5; 12/5
META; english/league-2/barnet-v-newport-county; 2018-04-16 02:21:28 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 5/4; 7/5; 67/50; 13/10; 13/10; 6/5; 13/10; 13/10; 13/10; 6/5; 13/10; 6/5; 6/5; 13/10
Newport County; 21/10; 2; 109/50; 11/5; 2; 11/5; 21/10; 21/10; 2; 85/40; 39/19; 19/10; 21/10; 
Draw; 12/5; 11/5; 63/25; 23/10; 23/10; 11/5; 23/10; 23/10; 23/10; 23/10; 12/5; 23/10; 11/5; 12/5
META; english/league-2/barnet-v-newport-county; 2018-04-16 10:21:30 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 5/4; 7/5; 67/50; 13/10; 5/4; 6/5; 5/4; 5/4; 13/10; 13/10; 6/5; 5/4; 5/4; 5/4; 6/5; 6/5; 13/10
Newport County; 21/10; 2; 109/50; 11/5; 21/10; 2; 39/19; 9/4; 21/10; 21/10; 2; 21/10; 39/19; 11/5; 39/19; 19/10; 21/10
Draw; 12/5; 11/5; 63/25; 23/10; 23/10; 11/5; 27/11; 23/10; 23/10; 23/10; 23/10; 23/10; 27/11; 12/5; 40/17; 11/5; 12/5
META; english/league-2/barnet-v-newport-county; 2018-04-16 14:22:08 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 5/4; 7/5; 67/50; 5/4; 13/10; 11/10; 5/4; 13/10; 13/10; 5/4; 13/10; 13/10; 6/5; 5/4; 5/4; 5/4; 6/5; 20/21; 13/10
Newport County; 21/10; 2; 109/50; 11/5; 2; 39/19; 11/5; 21/10; 21/10; 21/10; 21/10; 2; 21/10; 39/19; 11/5; 39/19; 8/5; 21/10; 
Draw; 12/5; 11/5; 63/25; 5/2; 23/10; 23/10; 27/11; 23/10; 23/10; 43/20; 23/10; 23/10; 23/10; 23/10; 27/11; 12/5; 23/10; 11/5; 12/5
META; english/league-2/barnet-v-newport-county; 2018-04-16 18:22:22 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 5/4; 7/5; 67/50; 5/4; 13/10; 11/10; 5/4; 13/10; 13/10; 13/10; 13/10; 13/10; 6/5; 5/4; 5/4; 5/4; 6/5; 10/11; 13/10
Newport County; 21/10; 2; 109/50; 11/5; 2; 39/19; 11/5; 2; 41/20; 21/10; 2; 21/10; 39/19; 11/5; 2; 13/8; 21/10; ; 
Draw; 12/5; 11/5; 63/25; 5/2; 23/10; 23/10; 27/11; 23/10; 12/5; 43/20; 23/10; 12/5; 23/10; 23/10; 27/11; 12/5; 40/17; 11/5; 12/5
META; english/league-2/barnet-v-newport-county; 2018-04-16 22:22:18 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 5/4; 6/5; 67/50; 5/4; 5/4; 11/10; 5/4; 13/10; 5/4; 6/5; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 20/21; 13/10
Newport County; 21/10; 9/4; 109/50; 11/5; 21/10; 2; 39/19; 11/5; 21/10; 43/20; 21/10; 21/10; 2; 21/10; 39/19; 11/5; 2; 8/5; 21/10
Draw; 12/5; 23/10; 63/25; 5/2; 23/10; 23/10; 27/11; 23/10; 23/10; 43/20; 23/10; 12/5; 23/10; 23/10; 27/11; 12/5; 40/17; 11/5; 12/5
META; english/league-2/barnet-v-newport-county; 2018-04-17 02:22:12 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 5/4; 6/5; 67/50; 5/4; 5/4; 11/10; 5/4; 13/10; 5/4; 6/5; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 20/21; 13/10
Newport County; 21/10; 9/4; 109/50; 11/5; 21/10; 2; 39/19; 11/5; 21/10; 43/20; 21/10; 21/10; 2; 21/10; 39/19; 11/5; 2; 8/5; 21/10
Draw; 12/5; 23/10; 63/25; 5/2; 23/10; 23/10; 27/11; 23/10; 23/10; 43/20; 23/10; 12/5; 23/10; 23/10; 27/11; 12/5; 40/17; 11/5; 12/5
META; english/league-2/barnet-v-newport-county; 2018-04-17 10:22:12 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 5/4; 6/5; 6/5; 67/50; 5/4; 5/4; 11/10; 5/4; 5/4; 5/4; 6/5; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 20/21; 13/10
Newport County; 21/10; 9/4; 2; 109/50; 11/5; 21/10; 2; 39/19; 11/5; 21/10; 43/20; 11/5; 21/10; 2; 21/10; 39/19; 11/5; 2; 13/8; 21/10
Draw; 12/5; 23/10; 23/10; 63/25; 5/2; 23/10; 23/10; 27/11; 12/5; 23/10; 43/20; 12/5; 12/5; 23/10; 23/10; 27/11; 12/5; 40/17; 11/5; 12/5
META; english/league-2/barnet-v-newport-county; 2018-04-17 14:22:23 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 5/4; 6/5; 6/5; 67/50; 5/4; 5/4; 11/10; 5/4; 5/4; 5/4; 6/5; 13/10; 5/4; 6/5; 5/4; 5/4; 5/4; 6/5; 10/9; 13/10
Newport County; 21/10; 9/4; 2; 109/50; 11/5; 21/10; 2; 39/19; 11/5; 21/10; 43/20; 11/5; 21/10; 2; 21/10; 39/19; 11/5; 2; 19/10; 21/10
Draw; 12/5; 23/10; 23/10; 63/25; 5/2; 23/10; 23/10; 27/11; 12/5; 23/10; 43/20; 12/5; 12/5; 23/10; 23/10; 27/11; 12/5; 40/17; 9/4; 12/5
META; english/league-2/barnet-v-newport-county; 2018-04-17 18:22:26 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 6/5; 5/4; 13/10; 6/5; 27/20; 13/10; 5/4; 5/4; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 5/4; 6/5; 13/10; 13/10
Newport County; 11/5; 23/10; 11/5; 2; 117/50; 11/5; 21/10; 21/10; 39/19; 9/4; 11/5; 11/5; 43/20; 11/5; 11/5; 28/13; 21/10; 39/19; 11/5; 11/5; 19/10; 23/10; 23/10
Draw; 12/5; 11/5; 21/10; 23/10; 58/25; 23/10; 11/5; 11/5; 27/11; 11/5; 9/4; 11/5; 41/20; 12/5; 9/4; 11/5; 23/10; 27/11; 12/5; 11/5; 11/5; 9/4; 9/4
META; english/league-2/barnet-v-newport-county; 2018-04-17 22:22:36 GMT+3; 2018-04-21 15:00; Nothing; Xlenovo
Barnet; 6/5; 5/4; 13/10; 5/4; 27/20; 5/4; 5/4; 6/5; 5/4; 13/10; 13/10; 13/10; 5/4; 13/10; 5/4; 5/4; 5/4; 5/4; 5/4; 23/20; 13/10; 13/10; 
Newport County; 11/5; 23/10; 11/5; 11/5; 117/50; 9/4; 11/5; 21/10; 39/19; 9/4; 11/5; 11/5; 43/20; 11/5; 9/4; 28/13; 21/10; 39/19; 11/5; 11/5; 2; 23/10; 23/10
