META; english/premier-league/west-brom-v-swansea; 2018-03-18 14:16:20 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 13/10; 13/10; 139/00; 13/10; 7/5; 11/8; 29/20; 11/8; 11/8; 7/5; 11/8; 27/20; 7/5; 
Swansea; 11/5; 21/10; 57/25; 15/8; 2; 9/4; 43/20; 21/10; 9/4; 2; 12/5; 21/10; 39/19; 19/10
Draw; 21/10; 9/4; 121/0; 2; 11/5; 2; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 
META; english/premier-league/west-brom-v-swansea; 2018-03-18 18:16:19 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 13/10; 13/10; 139/00; 13/10; 13/10; 7/5; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 7/5; 7/5; 27/20; 7/5; 
Swansea; 11/5; 21/10; 57/25; 19/10; 15/8; 2; 9/4; 43/20; 21/10; 9/4; 2; 21/11; 2; 9/4; 21/10; 39/19; 2
Draw; 21/10; 9/4; 121/0; 2; 11/5; 2; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 9/4; 11/5; 11/5; ; 
META; english/premier-league/west-brom-v-swansea; 2018-03-19 02:28:13 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 13/10; 13/10; 139/00; 13/10; 13/10; 7/5; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 7/5; 11/8; 27/20; 7/5; 
Swansea; 11/5; 21/10; 57/25; 19/10; 15/8; 2; 9/4; 43/20; 21/10; 9/4; 2; 21/11; 2; 12/5; 21/10; 39/19; 19/10
Draw; 21/10; 9/4; 121/0; 2; 11/5; 2; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; ; 
META; english/premier-league/west-brom-v-swansea; 2018-03-19 10:28:14 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 13/10; 13/10; 11/8; 13/10; 13/10; 7/5; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 7/5; 11/8; 27/20; 7/5; 
Swansea; 11/5; 21/10; 117/0; 19/10; 15/8; 2; 9/4; 43/20; 21/10; 9/4; 2; 21/11; 2; 12/5; 21/10; 39/19; 19/10
Draw; 21/10; 9/4; 12/5; 2; 11/5; 2; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; ; 
META; english/premier-league/west-brom-v-swansea; 2018-03-19 14:28:16 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 13/10; 13/10; 67/50; 13/10; 13/10; 7/5; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 7/5; 11/8; 11/8; 7/5; 
Swansea; 11/5; 21/10; 119/0; 19/10; 15/8; 2; 9/4; 43/20; 21/10; 9/4; 2; 21/11; 2; 12/5; 21/10; 39/19; 2
Draw; 21/10; 9/4; 121/0; 2; 11/5; 2; 21/10; 9/4; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; 11/5; ; 
META; english/premier-league/west-brom-v-swansea; 2018-03-19 18:28:17 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 13/10; 13/10; 13/10; 141/00; 13/10; 13/10; 13/10; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 13/10; 11/8; 27/20; 7/5; 
Draw; 21/10; 9/4; 11/5; 117/0; 2; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 11/5; 21/10; 11/5; 21/10; 11/5; ; 
Swansea; 11/5; 21/10; 11/5; 58/25; 19/10; 15/8; 23/10; 9/4; 43/20; 9/4; 9/4; 2; 21/11; 23/10; 12/5; 11/5; 39/19; 2
META; english/premier-league/west-brom-v-swansea; 2018-03-19 22:28:18 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 13/10; 13/10; 13/10; 141/00; 13/10; 13/10; 13/10; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 23/17; 13/10; 11/8; 27/20; 7/5; 
Draw; 21/10; 9/4; 11/5; 117/0; 2; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 28/13; 11/5; 21/10; 11/5; 21/10; 11/5; ; 
Swansea; 11/5; 21/10; 11/5; 58/25; 19/10; 15/8; 23/10; 9/4; 43/20; 9/4; 9/4; 2; 9/4; 21/11; 23/10; 12/5; 11/5; 39/19; 2
META; english/premier-league/west-brom-v-swansea; 2018-03-20 02:28:17 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 13/10; 13/10; 13/10; 141/00; 13/10; 13/10; 13/10; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 23/17; 13/10; 11/8; 27/20; 7/5; 
Draw; 21/10; 11/5; 11/5; 117/0; 2; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 28/13; 11/5; 21/10; 11/5; 21/10; 11/5; ; 
Swansea; 11/5; 21/10; 11/5; 58/25; 19/10; 15/8; 23/10; 9/4; 43/20; 9/4; 9/4; 2; 9/4; 21/11; 23/10; 12/5; 11/5; 39/19; 2
META; english/premier-league/west-brom-v-swansea; 2018-03-20 10:28:18 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 7/5; 13/10; 13/10; 141/00; 13/10; 13/10; 13/10; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 23/17; 13/10; 7/5; 27/20; 7/5; 
Swansea; 21/10; 21/10; 11/5; 58/25; 19/10; 15/8; 23/10; 9/4; 43/20; 9/4; 11/5; 2; 9/4; 21/11; 23/10; 9/4; 11/5; 39/19; 19/10
Draw; 21/10; 11/5; 11/5; 117/0; 2; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 28/13; 11/5; 21/10; 11/5; 21/10; 11/5; ; 
META; english/premier-league/west-brom-v-swansea; 2018-03-20 14:28:16 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 7/5; 13/10; 13/10; 141/00; 13/10; 13/10; 13/10; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 23/17; 13/10; 7/5; 27/20; 7/5; 
Swansea; 21/10; 21/10; 11/5; 58/25; 19/10; 15/8; 23/10; 9/4; 43/20; 9/4; 11/5; 2; 9/4; 21/11; 23/10; 9/4; 11/5; 39/19; 19/10
Draw; 21/10; 11/5; 11/5; 117/0; 2; 21/10; 2; 21/10; 21/10; 11/5; 11/5; 28/13; 11/5; 21/10; 11/5; 21/10; 11/5; ; 
META; english/premier-league/west-brom-v-swansea; 2018-03-20 18:28:17 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 7/5; 13/10; 13/10; 141/00; 13/10; 13/10; 13/10; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 23/17; 13/10; 7/5; 27/20; 23/17; 
Swansea; 21/10; 21/10; 11/5; 58/25; 19/10; 15/8; 23/10; 9/4; 43/20; 9/4; 11/5; 28/13; 23/10; 21/11; 23/10; 23/10; 11/5; 11/5; 19/10
Draw; 21/10; 11/5; 11/5; 117/0; 2; 21/10; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 11/5; 21/10; 11/5; 21/10; 21/10; ; 
META; english/premier-league/west-brom-v-swansea; 2018-03-20 22:28:21 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
West Brom; 7/5; 13/10; 13/10; 141/00; 13/10; 13/10; 13/10; 11/8; 7/5; 11/8; 11/8; 23/17; 23/17; 23/17; 13/10; 11/8; 27/20; 23/17; 
Draw; 21/10; 11/5; 11/5; 117/0; 2; 21/10; 2; 21/10; 21/10; 11/5; 21/10; 21/10; 11/5; 21/10; 11/5; 21/10; 21/10; ; 
Swansea; 21/10; 21/10; 11/5; 58/25; 19/10; 15/8; 23/10; 9/4; 43/20; 9/4; 11/5; 28/13; 23/10; 21/11; 23/10; 12/5; 11/5; 11/5; 19/10
META; english/premier-league/west-brom-v-swansea; 2018-03-21 02:28:21 GMT+2; 2018-04-07 15:00; Nothing; Xlenovo
