META; english/premier-league/tottenham-v-burnley; 2017-06-22 14:16:49 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Tottenham; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-burnley; 2017-06-22 18:16:50 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Tottenham; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-burnley; 2017-06-22 22:16:49 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Tottenham; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-burnley; 2017-06-23 02:16:46 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Tottenham; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-burnley; 2017-06-23 10:16:48 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
Tottenham; ; ; ; 1/4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; 9/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; 8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-burnley; 2017-06-23 14:16:51 GMT+3; 2017-08-26 15:00; Nothing; Xlenovo
