META; english/premier-league/burnley-v-newcastle; 2017-10-02 18:17:42 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; ; ; 6/5; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; ; ; 59/25; ; ; ; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; ; ; 14/5; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-02 22:18:00 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 6/5; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 59/25; ; ; ; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 14/5; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-03 02:17:51 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; 7/5; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 6/5; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 59/25; ; ; ; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; 2; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 14/5; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-03 10:17:56 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; 6/4; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 32/25; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 59/25; ; ; ; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; 2; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 129/50; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-03 14:18:03 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; 6/4; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 29/20; ; ; 8/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 23/10; ; ; 23/10; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; 15/8; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 23/10; ; ; 9/5; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-03 18:17:57 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; 8/5; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 6/4; ; ; 13/8; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; 9/5; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 11/5; ; ; 9/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 23/10; ; ; 23/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-03 22:17:58 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; 8/5; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 6/4; ; ; 13/8; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; 9/5; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 11/5; ; ; 9/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 23/10; ; ; 23/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-04 02:17:54 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; 8/5; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 6/4; ; ; 13/8; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; 9/5; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 11/5; ; ; 9/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 23/10; ; ; 23/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-04 10:18:01 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; 8/5; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 6/4; ; ; 13/8; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; 9/5; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 11/5; ; ; 9/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 23/10; ; ; 23/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-04 14:17:57 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; 8/5; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 6/4; ; ; 13/8; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; 9/5; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 11/5; ; ; 9/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 23/10; ; ; 23/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-04 18:17:54 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; 8/5; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 6/4; ; ; 13/8; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; 9/5; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 11/5; ; ; 9/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 23/10; ; ; 23/10; ; ; ; ; ; 
META; english/premier-league/burnley-v-newcastle; 2017-10-04 22:17:55 GMT+3; 2017-10-30 20:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; 8/5; 8/5; ; ; ; ; ; ; ; ; 6/4; ; 6/4; ; ; 13/8; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; 9/5; 13/8; ; ; ; ; ; ; ; ; 9/5; ; 11/5; ; ; 9/5; ; ; ; ; ; 
Draw; ; ; ; ; ; ; 11/5; 11/5; ; ; ; ; ; ; ; ; 11/5; ; 23/10; ; ; 23/10; ; ; ; ; ; 
