META; english/premier-league/everton-v-brighton; 2018-02-25 18:16:16 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Everton; 5/6; 10/11; ; ; 23/25; 20/23; 20/23; 5/6; 5/6; ; 17/20; ; ; ; 10/11; 17/20; 10/11; 4/5; ; 5/6; 10/11; 37/40; ; 10/11; ; 4/5; ; 
Draw; 12/5; 12/5; ; ; 51/20; 12/5; 12/5; 23/10; 12/5; ; 5/2; ; ; ; 23/10; 12/5; 40/17; 12/5; ; 12/5; 12/5; 23/10; ; 12/5; ; 11/5; ; 
Brighton; 7/2; 3; ; ; 37/10; 18/5; 7/2; 7/2; 7/2; ; 18/5; ; ; ; 7/2; 7/2; 41/13; 4; ; 7/2; 100/30; 15/4; ; 41/13; ; 3; ; 
META; english/premier-league/everton-v-brighton; 2018-02-25 22:16:17 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Everton; 10/11; 10/11; ; ; 20/21; 10/11; 20/21; 10/11; 19/20; ; 1; ; ; ; 10/11; 19/20; 19/20; 9/10; 13/14; 19/20; 10/11; 1; ; 1; ; 5/6; ; 
Draw; 23/10; 12/5; ; ; 62/25; 23/10; 23/10; 9/4; 12/5; ; 23/10; ; ; ; 12/5; 23/10; 40/17; 23/10; 23/10; 12/5; 12/5; 9/4; ; 40/17; ; 21/10; ; 
Brighton; 10/3; 3; ; ; 73/20; 7/2; 10/3; 7/2; 3; ; 10/3; ; ; ; 100/30; 10/3; 29/10; 7/2; 14/5; 3; 3; 7/2; ; 29/10; ; 3; ; 
META; english/premier-league/everton-v-brighton; 2018-02-26 02:16:11 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Everton; 10/11; 10/11; ; ; 20/21; 10/11; 20/21; 10/11; 19/20; ; 1; ; ; ; 10/11; 19/20; 19/20; 19/20; 13/14; 19/20; 10/11; 1; ; 1; ; 5/6; ; 
Draw; 23/10; 12/5; ; ; 62/25; 23/10; 23/10; 9/4; 12/5; ; 23/10; ; ; ; 12/5; 23/10; 40/17; 23/10; 23/10; 12/5; 12/5; 23/10; ; 12/5; ; 21/10; ; 
Brighton; 10/3; 3; ; ; 73/20; 7/2; 16/5; 7/2; 3; ; 10/3; ; ; ; 100/30; 10/3; 29/10; 16/5; 14/5; 3; 3; 17/5; ; 29/10; ; 3; ; 
META; english/premier-league/everton-v-brighton; 2018-02-26 10:16:12 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Everton; 10/11; 10/11; ; ; 24/25; 10/11; 20/21; 10/11; 19/20; ; 19/20; ; ; ; 10/11; 19/20; 19/20; 19/20; 13/14; 19/20; 10/11; 1; ; 1; ; 9/10; ; 
Draw; 23/10; 12/5; ; ; 62/25; 23/10; 23/10; 9/4; 12/5; ; 12/5; ; ; ; 12/5; 12/5; 40/17; 23/10; 23/10; 12/5; 12/5; 23/10; ; 12/5; ; 21/10; ; 
Brighton; 16/5; 3; ; ; 18/5; 7/2; 16/5; 7/2; 3; ; 10/3; ; ; ; 100/30; 16/5; 37/13; 16/5; 14/5; 3; 3; 17/5; ; 29/10; ; 3; ; 
META; english/premier-league/everton-v-brighton; 2018-02-26 14:16:14 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Everton; 10/11; 10/11; ; ; 24/25; 19/20; 20/21; 10/11; 19/20; ; 19/20; 1; ; 1; 1; 10/11; 19/20; 19/20; 13/14; 19/20; 1; ; 1; ; 10/11; ; 
Draw; 23/10; 12/5; ; ; 62/25; 23/10; 12/5; 23/10; 12/5; ; 12/5; 11/5; ; 11/5; 23/10; 23/10; 40/17; 23/10; 23/10; 12/5; 23/10; ; 40/17; ; 21/10; ; 
Brighton; 16/5; 3; ; ; 18/5; 16/5; 16/5; 16/5; 3; ; 16/5; 3; ; 31/10; 3; 16/5; 29/10; 16/5; 14/5; 3; 10/3; ; 29/10; ; 14/5; ; 
META; english/premier-league/everton-v-brighton; 2018-02-26 18:16:14 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Everton; 10/11; 1; ; 21/20; 53/50; 19/20; 1; 10/11; 19/20; ; 19/20; 1; ; 1; 1; 19/20; 19/20; 19/20; 13/14; 19/20; 1; ; 1; ; 10/11; ; 
Draw; 23/10; 9/4; ; 21/10; 23/10; 23/10; 9/4; 23/10; 12/5; ; 12/5; 11/5; ; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 12/5; 23/10; ; 9/4; ; 21/10; ; 
Brighton; 16/5; 3; ; 3; 17/5; 16/5; 16/5; 16/5; 3; ; 16/5; 3; ; 31/10; 16/5; 3; 3; 16/5; 14/5; 3; 10/3; ; 58/19; ; 14/5; ; 
META; english/premier-league/everton-v-brighton; 2018-02-26 22:16:13 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Everton; 10/11; 1; ; 21/20; 53/50; 19/20; 1; 10/11; 19/20; ; 1; 1; ; 1; 1; 1; 19/20; 19/20; 13/14; 19/20; 1; ; 1; ; 10/11; ; 
Draw; 23/10; 9/4; ; 21/10; 23/10; 23/10; 9/4; 23/10; 12/5; ; 23/10; 11/5; ; 11/5; 11/5; 11/5; 9/4; 23/10; 23/10; 12/5; 23/10; ; 9/4; ; 21/10; ; 
Brighton; 16/5; 3; ; 3; 17/5; 16/5; 16/5; 16/5; 3; ; 16/5; 3; ; 31/10; 16/5; 3; 3; 16/5; 14/5; 3; 10/3; ; 58/19; ; 14/5; ; 
META; english/premier-league/everton-v-brighton; 2018-02-27 02:16:12 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Everton; 10/11; 1; ; 21/20; 97/100; 19/20; 1; 10/11; 19/20; ; 1; 1; ; 1; 1; 19/20; 19/20; 19/20; 13/14; 19/20; 1; ; 1; ; 10/11; ; 
Draw; 23/10; 9/4; ; 21/10; 62/25; 23/10; 9/4; 23/10; 12/5; ; 23/10; 11/5; ; 11/5; 11/5; 9/4; 9/4; 23/10; 23/10; 12/5; 23/10; ; 9/4; ; 21/10; ; 
Brighton; 16/5; 3; ; 3; 71/20; 16/5; 16/5; 16/5; 3; ; 16/5; 3; ; 31/10; 16/5; 3; 3; 16/5; 14/5; 3; 10/3; ; 58/19; ; 14/5; ; 
META; english/premier-league/everton-v-brighton; 2018-02-27 10:16:12 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Everton; 10/11; 1; ; 21/20; 53/50; 19/20; 1; 10/11; 19/20; ; 1; 1; ; 21/20; 1; 1; 1; 19/20; 13/14; 19/20; 1; ; 1; ; 10/11; ; 
