META; english/premier-league/swansea-v-southampton; 2018-05-02 18:15:50 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 6/4; 79/50; 6/4; 7/5; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 16/11; 7/5; 16/11; 8/5; 16/11; 6/4; 6/4
Swansea; 15/8; 19/10; 41/20; 19/10; 9/5; 37/19; 19/10; 19/10; 2; 39/20; 19/10; 2; 19/10; 12/7; 37/19; 2; 19/10; 9/5; 2
Draw; 11/5; 21/10; 117/0; 11/5; 2; 11/5; 21/10; 9/4; 2; 43/20; 9/4; 11/5; 11/5; 28/13; 11/5; 11/5; 11/5; 2; 9/4
META; english/premier-league/swansea-v-southampton; 2018-05-02 22:15:48 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 6/4; 79/50; 6/4; 7/5; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 16/11; 7/5; 16/11; 8/5; 6/4; 6/4; 6/4
Swansea; 15/8; 19/10; 41/20; 19/10; 9/5; 37/19; 19/10; 19/10; 2; 39/20; 19/10; 2; 19/10; 12/7; 37/19; 2; 19/10; 7/4; 2
Draw; 11/5; 21/10; 117/0; 11/5; 2; 11/5; 21/10; 9/4; 2; 43/20; 9/4; 11/5; 11/5; 28/13; 11/5; 11/5; 11/5; 2; 9/4
META; english/premier-league/swansea-v-southampton; 2018-05-03 02:15:47 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 6/4; 79/50; 6/4; 7/5; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 16/11; 7/5; 16/11; 8/5; 16/11; 6/4; 6/4
Swansea; 15/8; 19/10; 41/20; 19/10; 9/5; 37/19; 19/10; 19/10; 2; 39/20; 19/10; 2; 19/10; 12/7; 37/19; 2; 19/10; 7/4; 2
Draw; 11/5; 21/10; 117/0; 11/5; 2; 11/5; 21/10; 9/4; 2; 43/20; 9/4; 11/5; 11/5; 28/13; 11/5; 11/5; 11/5; 2; 9/4
META; english/premier-league/swansea-v-southampton; 2018-05-03 10:15:48 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 29/20; 79/50; 6/4; 7/5; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 8/5; 6/4; 6/4
Swansea; 15/8; 19/10; 41/20; 19/10; 9/5; 37/19; 19/10; 19/10; 2; 39/20; 19/10; 19/10; 19/10; 12/7; 37/19; 2; 19/10; 7/4
Draw; 11/5; 21/10; 117/0; 11/5; 2; 11/5; 21/10; 11/5; 2; 43/20; 9/4; 21/10; 11/5; 28/13; 11/5; 11/5; 11/5; 2
META; english/premier-league/swansea-v-southampton; 2018-05-03 14:15:50 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 29/20; 79/50; 6/4; 7/5; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 8/5; 6/4; 6/4; 6/4
Swansea; 15/8; 19/10; 41/20; 19/10; 9/5; 37/19; 19/10; 19/10; 2; 39/20; 19/10; 19/10; 19/10; 12/7; 37/19; 2; 19/10; 9/5; 2
Draw; 11/5; 21/10; 117/0; 11/5; 2; 11/5; 21/10; 11/5; 2; 43/20; 9/4; 21/10; 11/5; 28/13; 11/5; 11/5; 11/5; 2; 9/4
META; english/premier-league/swansea-v-southampton; 2018-05-03 18:15:49 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 29/20; 79/50; 6/4; 7/5; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 8/5; 6/4; 6/4; 6/4
Swansea; 15/8; 19/10; 41/20; 19/10; 9/5; 37/19; 19/10; 19/10; 2; 39/20; 19/10; 19/10; 19/10; 24/13; 12/7; 37/19; 2; 19/10; 9/5; 2
Draw; 11/5; 21/10; 117/0; 11/5; 2; 11/5; 21/10; 11/5; 2; 43/20; 9/4; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 11/5; 2; 9/4
META; english/premier-league/swansea-v-southampton; 2018-05-03 22:15:48 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 29/20; 79/50; 6/4; 7/5; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 8/5; 6/4; 6/4; 6/4
Swansea; 15/8; 19/10; 41/20; 19/10; 9/5; 37/19; 19/10; 19/10; 2; 39/20; 19/10; 19/10; 19/10; 24/13; 12/7; 37/19; 2; 37/19; 9/5; 2
Draw; 11/5; 21/10; 117/0; 11/5; 2; 11/5; 21/10; 11/5; 2; 43/20; 9/4; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 9/4; 2; 9/4
META; english/premier-league/swansea-v-southampton; 2018-05-04 02:15:43 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 29/20; 79/50; 6/4; 7/5; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 8/5; 6/4; 6/4; 6/4
Swansea; 15/8; 19/10; 41/20; 19/10; 9/5; 37/19; 19/10; 19/10; 2; 39/20; 19/10; 19/10; 19/10; 24/13; 12/7; 37/19; 2; 37/19; 9/5; 2
Draw; 11/5; 21/10; 117/0; 11/5; 2; 11/5; 21/10; 11/5; 2; 43/20; 9/4; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 9/4; 2; 9/4
META; english/premier-league/swansea-v-southampton; 2018-05-04 10:15:44 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 29/20; 79/50; 31/20; 6/4; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 8/5; 6/4; 6/4; 6/4
Swansea; 15/8; 19/10; 41/20; 2; 15/8; 37/19; 19/10; 19/10; 2; 39/20; 19/10; 19/10; 19/10; 24/13; 12/7; 37/19; 2; 37/19; 9/5; 2
Draw; 11/5; 21/10; 117/0; 9/4; 21/10; 11/5; 21/10; 11/5; 2; 43/20; 9/4; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 9/4; 2; 9/4
META; english/premier-league/swansea-v-southampton; 2018-05-04 14:15:46 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 29/20; 79/50; 31/20; 6/4; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 8/5; 6/4; 6/4; 6/4
Swansea; 15/8; 19/10; 41/20; 2; 15/8; 37/19; 19/10; 19/10; 2; 39/20; 19/10; 19/10; 19/10; 24/13; 12/7; 37/19; 2; 37/19; 9/5; 9/5
Draw; 11/5; 21/10; 117/0; 9/4; 21/10; 11/5; 21/10; 11/5; 2; 43/20; 9/4; 21/10; 11/5; 21/10; 28/13; 11/5; 11/5; 9/4; 2; 21/10
META; english/premier-league/swansea-v-southampton; 2018-05-04 18:15:47 GMT+3; 2018-05-08 19:45; Nothing; Xlenovo
Southampton; 6/4; 29/20; 79/50; 31/20; 6/4; 16/11; 29/20; 8/5; 6/4; 6/4; 6/4; 6/4; 6/4; 6/4; 7/5; 16/11; 8/5; 6/4; 6/4; 6/4
