META; english/premier-league/man-city-v-stoke; 2017-09-20 22:17:40 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; ; 2/9; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/2; ; ; 61/10; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 11; ; ; 17; ; ; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-stoke; 2017-09-21 02:17:37 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; ; 2/9; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; 11/2; ; ; 61/10; ; ; ; ; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 11; ; ; 17; ; ; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-stoke; 2017-09-21 10:17:40 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; ; 2/9; ; ; ; 2/11; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; 11/2; ; ; 61/10; ; ; ; 5; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 11; ; ; 17; ; ; ; 14; ; ; ; ; 
META; english/premier-league/man-city-v-stoke; 2017-09-21 14:17:41 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; ; 2/9; ; ; ; 2/11; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; 11/2; ; ; 61/10; ; ; ; 5; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 11; ; ; 17; ; ; ; 14; ; ; ; ; 
META; english/premier-league/man-city-v-stoke; 2017-09-21 18:17:47 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; ; 2/9; ; ; ; 2/11; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; 11/2; ; ; 61/10; ; ; ; 5; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 11; ; ; 17; ; ; ; 14; ; ; ; ; 
META; english/premier-league/man-city-v-stoke; 2017-09-21 22:17:44 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; ; 2/9; ; ; ; 2/11; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; 11/2; ; ; 61/10; ; ; ; 5; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 11; ; ; 17; ; ; ; 14; ; ; ; ; 
META; english/premier-league/man-city-v-stoke; 2017-09-22 02:17:38 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; ; 2/9; ; ; ; 2/11; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; 11/2; ; ; 61/10; ; ; ; 5; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 11; ; ; 17; ; ; ; 14; ; ; ; ; 
META; english/premier-league/man-city-v-stoke; 2017-09-22 10:17:43 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; ; 2/9; ; ; ; 2/11; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; 11/2; ; ; 61/10; ; ; ; 5; ; ; ; ; 
Stoke; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 11; ; ; 17; ; ; ; 14; ; ; ; ; 
META; english/premier-league/man-city-v-stoke; 2017-09-22 14:18:24 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
