META; english/premier-league/west-ham-v-crystal-palace; 2018-01-03 18:16:58 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
West Ham; ; ; ; ; 11/8; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 59/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; ; ; 119/50; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-crystal-palace; 2018-01-03 22:16:55 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
West Ham; ; ; ; ; 11/8; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 59/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; ; ; 119/50; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-crystal-palace; 2018-01-04 02:16:54 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
West Ham; ; ; ; ; 11/8; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 59/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; ; ; 119/50; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-crystal-palace; 2018-01-04 10:16:56 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
West Ham; ; ; ; ; 11/8; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 59/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; ; ; 119/50; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-crystal-palace; 2018-01-04 14:17:02 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
West Ham; ; ; ; ; 11/8; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 59/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; ; ; 119/50; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-crystal-palace; 2018-01-04 18:16:58 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
West Ham; ; ; ; ; 11/8; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 59/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; ; ; 119/50; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-crystal-palace; 2018-01-04 22:17:00 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
West Ham; ; ; ; ; 11/8; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 59/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Crystal Palace; ; ; ; ; 119/50; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/west-ham-v-crystal-palace; 2018-01-05 02:16:55 GMT+2; 2018-01-30 19:45; Nothing; Xlenovo
West Ham; ; ; ; ; 11/8; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
