META; english/premier-league/burnley-v-west-ham; 2017-09-20 22:17:35 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 13/10; ; ; 67/50; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; ; 49/20; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-21 02:17:32 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 67/50; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; ; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 49/20; ; ; ; ; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-21 10:17:35 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 67/50; ; ; ; 7/5; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 47/20; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 49/20; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-21 14:17:36 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-21 18:17:42 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-21 22:17:39 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-22 02:17:33 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-22 10:17:37 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-22 14:18:19 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-22 18:17:42 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-22 22:17:49 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-23 02:17:37 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-23 10:17:38 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-23 14:18:06 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-23 18:17:48 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; ; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; ; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-23 22:17:19 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; 1/25; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; 3/10; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; 3/10; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-24 02:17:17 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; 2; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; 3/10; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-24 10:17:14 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 7/5; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; 2; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; 3/10; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-24 14:17:17 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; ; ; ; ; ; ; 6/4; ; ; ; ; ; ; ; ; 13/10; ; ; 7/5; ; ; ; 7/5; ; ; 1/20; ; 
Draw; ; ; ; ; ; ; ; 11/5; ; ; ; ; ; ; ; ; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; 2; ; 
West Ham; ; ; ; ; ; ; ; 17/10; ; ; ; ; ; ; ; ; 21/10; ; ; 12/5; ; ; ; 2; ; ; 3/10; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-24 18:17:14 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; 3/2; ; ; ; ; ; 6/4; ; ; ; ; ; 13/8; ; 16/11; 13/10; ; ; 7/5; ; ; ; 6/4; ; ; 1/20; ; 
Draw; ; 9/4; ; ; ; ; ; 11/5; ; ; ; ; ; 9/4; ; 23/10; 11/5; ; ; 23/10; ; ; ; 11/5; ; ; 2; ; 
West Ham; ; 9/5; ; ; ; ; ; 17/10; ; ; ; ; ; 15/8; ; 21/10; 21/10; ; ; 12/5; ; ; ; 2; ; ; 3/10; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-24 22:17:13 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; ; 3/2; ; ; ; ; 8/5; 6/4; 17/11; 6/4; 6/4; ; ; 8/5; ; 8/5; 16/11; ; 6/4; 13/8; 15/11; 17/11; ; 6/4; ; ; 1/10; ; 
West Ham; ; 9/5; ; ; ; ; 2; 17/10; 24/13; 19/10; 19/10; ; ; 2; ; 2; 24/13; ; 19/10; 103/50; 17/9; 24/13; ; 19/10; ; ; 2/5; ; 
Draw; ; 9/4; ; ; ; ; 11/5; 11/5; 28/13; 2; 2; ; ; 23/10; ; 9/4; 11/5; ; 28/13; 9/4; 9/4; 28/13; ; 21/10; ; ; 2; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-25 02:17:11 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; 7/5; 3/2; ; ; ; ; 8/5; 6/4; 17/11; 6/4; 6/4; ; ; 13/8; 8/5; 17/11; 16/11; ; 16/11; 13/8; 15/11; 17/11; ; 6/4; ; ; 1/10; ; 
West Ham; 15/8; 9/5; ; ; ; ; 2; 17/10; 24/13; 19/10; 19/10; ; ; 2; 19/10; 2; 24/13; ; 19/10; 103/50; 17/9; 24/13; ; 19/10; ; ; 2/5; ; 
Draw; 23/10; 9/4; ; ; ; ; 11/5; 11/5; 28/13; 2; 2; ; ; 9/4; 21/10; 23/10; 11/5; ; 11/5; 9/4; 9/4; 28/13; ; 11/5; ; ; 2; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-25 10:17:09 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; 7/5; 3/2; ; ; ; ; 8/5; 6/4; 17/11; 6/4; 6/4; ; ; 8/5; 8/5; 17/11; 16/11; ; 16/11; 13/8; 15/11; 17/11; ; 6/4; ; ; 1/10; ; 
West Ham; 15/8; 9/5; ; ; ; ; 2; 17/10; 24/13; 19/10; 19/10; ; ; 2; 19/10; 2; 24/13; ; 19/10; 103/50; 17/9; 24/13; ; 19/10; ; ; 2/5; ; 
Draw; 23/10; 9/4; ; ; ; ; 11/5; 11/5; 28/13; 2; 2; ; ; 23/10; 21/10; 23/10; 11/5; ; 11/5; 9/4; 9/4; 28/13; ; 11/5; ; ; 2; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-25 14:17:13 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; 7/5; 3/2; 6/4; ; ; ; 8/5; 6/4; 17/11; 6/4; ; ; ; 8/5; 8/5; 17/11; 16/11; 17/11; 6/4; 13/8; 15/11; 17/11; ; 6/4; ; ; 1/10; ; 
West Ham; 15/8; 9/5; 19/10; ; ; ; 2; 17/10; 24/13; 19/10; ; ; ; 2; 19/10; 2; 24/13; 24/13; 24/13; 101/50; 17/9; 24/13; ; 15/8; ; ; 4/7; ; 
Draw; 23/10; 9/4; 21/10; ; ; ; 11/5; 11/5; 28/13; 2; ; ; ; 23/10; 21/10; 23/10; 11/5; 28/13; 28/13; 23/10; 9/4; 28/13; ; 21/10; ; ; 2; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-25 18:17:10 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Burnley; 7/5; 3/2; 6/4; ; ; 29/20; 8/5; 6/4; 17/11; 6/4; ; 6/4; ; 8/5; 8/5; 16/11; 16/11; 17/11; 6/4; 13/8; 15/11; 17/11; ; 6/4; ; ; 1/10; ; 
West Ham; 15/8; 9/5; 19/10; ; ; 37/20; 2; 17/10; 24/13; 19/10; ; 2; ; 2; 19/10; 19/10; 24/13; 24/13; 19/10; 101/50; 17/9; 24/13; ; 19/10; ; ; 4/7; ; 
Draw; 23/10; 9/4; 21/10; ; ; 11/5; 11/5; 11/5; 28/13; 2; ; 21/10; ; 23/10; 21/10; 28/13; 11/5; 28/13; 28/13; 23/10; 9/4; 28/13; ; 21/10; ; ; 2; ; 
META; english/premier-league/burnley-v-west-ham; 2017-09-25 22:17:14 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
