META; english/premier-league/west-ham-v-burnley; 2018-02-25 18:16:26 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
West Ham; 23/20; 11/10; ; ; 33/25; 5/4; 5/4; 6/5; 5/4; ; 13/10; ; ; ; 5/4; 6/5; 6/5; 13/10; ; 5/4; 13/10; 13/10; ; 5/4; ; 23/20; ; 
Draw; 21/10; 11/5; ; ; 111/50; 21/10; 21/10; 21/10; 11/5; ; 11/5; ; ; ; 21/10; 11/5; 28/13; 21/10; ; 11/5; 11/5; 21/10; ; 28/13; ; 2; ; 
Burnley; 13/5; 13/5; ; ; 53/20; 5/2; 5/2; 5/2; 23/10; ; 12/5; ; ; ; 5/2; 5/2; 40/17; 12/5; ; 23/10; 5/2; 27/10; ; 12/5; ; 23/10; ; 
META; english/premier-league/west-ham-v-burnley; 2018-02-25 22:16:28 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
West Ham; 23/20; 11/10; ; ; 33/25; 5/4; 5/4; 6/5; 15/13; ; 13/10; ; ; ; 13/10; 6/5; 6/5; 13/10; 16/13; 15/13; 13/10; 13/10; ; 5/4; ; 23/20; ; 
Draw; 21/10; 11/5; ; ; 111/50; 21/10; 21/10; 21/10; 21/10; ; 21/10; ; ; ; 11/5; 21/10; 28/13; 21/10; 28/13; 21/10; 11/5; 85/40; ; 28/13; ; 2; ; 
Burnley; 13/5; 13/5; ; ; 53/20; 5/2; 5/2; 5/2; 45/17; ; 5/2; ; ; ; 23/10; 13/5; 40/17; 12/5; 28/13; 45/17; 5/2; 13/5; ; 12/5; ; 23/10; ; 
META; english/premier-league/west-ham-v-burnley; 2018-02-26 02:16:22 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
West Ham; 23/20; 11/10; ; ; 33/25; 5/4; 5/4; 6/5; 15/13; ; 13/10; ; ; ; 13/10; 6/5; 6/5; 13/10; 16/13; 15/13; 13/10; 13/10; ; 5/4; ; 23/20; ; 
Draw; 21/10; 11/5; ; ; 111/50; 21/10; 21/10; 21/10; 21/10; ; 21/10; ; ; ; 11/5; 21/10; 28/13; 21/10; 28/13; 21/10; 11/5; 21/10; ; 28/13; ; 2; ; 
Burnley; 13/5; 13/5; ; ; 53/20; 5/2; 5/2; 5/2; 45/17; ; 5/2; ; ; ; 23/10; 13/5; 40/17; 12/5; 28/13; 45/17; 5/2; 27/10; ; 12/5; ; 23/10; ; 
META; english/premier-league/west-ham-v-burnley; 2018-02-26 10:16:22 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
West Ham; 23/20; 11/10; ; ; 33/25; 23/20; 6/5; 11/10; 15/13; ; 6/5; ; ; ; 13/10; 6/5; 6/5; 13/10; 16/13; 15/13; 13/10; 13/10; ; 5/4; ; 11/10; ; 
Draw; 21/10; 11/5; ; ; 111/50; 11/5; 21/10; 21/10; 21/10; ; 21/10; ; ; ; 11/5; 21/10; 28/13; 21/10; 28/13; 21/10; 11/5; 21/10; ; 28/13; ; 2; ; 
Burnley; 13/5; 13/5; ; ; 53/20; 27/10; 13/5; 13/5; 45/17; ; 11/4; ; ; ; 23/10; 13/5; 40/17; 12/5; 28/13; 45/17; 5/2; 27/10; ; 12/5; ; 5/2; ; 
META; english/premier-league/west-ham-v-burnley; 2018-02-26 14:16:24 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
West Ham; 23/20; 11/10; ; ; 33/25; 6/5; 6/5; 6/5; 15/13; ; 6/5; 5/4; ; 13/10; 13/10; 6/5; 6/5; 13/10; 16/13; 15/13; 13/10; ; 5/4; ; 10/9; ; 
