META; english/premier-league/chelsea-v-bournemouth; 2018-01-03 18:17:03 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 29/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 11; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-03 22:17:00 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 29/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 11; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-04 02:16:59 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 29/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 11; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-04 10:17:01 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 29/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 11; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-04 14:17:10 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 29/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 11; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-04 18:17:03 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 29/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 11; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-04 22:17:05 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 29/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 11; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-05 02:17:00 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 29/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 11; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-05 10:16:57 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 29/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 27/5; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 11; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-05 14:17:28 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 27/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 11/2; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 25/2; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-05 18:18:23 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 27/100; ; ; 1/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 11/2; ; ; 5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; 25/2; ; ; 12; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-05 22:17:55 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 27/100; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; ; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; 11/2; ; ; 5; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; 21/4; ; ; ; ; 
Bournemouth; ; ; ; ; 25/2; ; ; 12; ; ; ; ; ; ; ; ; 12; ; 12; ; ; ; ; 14; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-06 02:17:09 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 27/100; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; ; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; 11/2; ; ; 5; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; 21/4; ; ; ; ; 
Bournemouth; ; ; ; ; 25/2; ; ; 12; ; ; ; ; ; ; ; ; 12; ; 12; ; ; ; ; 14; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-06 10:17:20 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 27/100; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; ; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; 11/2; ; ; 5; ; ; ; ; ; ; ; ; 6; ; 6; ; ; ; ; 21/4; ; ; ; ; 
Bournemouth; ; ; ; ; 25/2; ; ; 12; ; ; ; ; ; ; ; ; 12; ; 12; ; ; ; ; 14; ; ; ; ; 
META; english/premier-league/chelsea-v-bournemouth; 2018-01-06 14:17:44 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Chelsea; ; ; ; ; 27/100; ; ; 1/5; ; ; ; ; ; ; ; ; 1/5; ; 1/5; ; ; 1/5; ; 1/5; ; ; ; ; 
Draw; ; ; ; ; 11/2; ; ; 5; ; ; ; ; ; ; ; ; 6; ; 6; ; ; 11/2; ; 21/4; ; ; ; ; 
