META; english/premier-league/swansea-v-everton; 2018-04-02 14:16:20 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Swansea; 7/5; 6/4; 31/20; 39/25; 11/8; 6/4; 11/8; 13/10; 31/20; 6/4; 31/20; 31/20; 6/4; 6/4; 16/11; 16/11; 15/11; 13/10; 13/8; 6/4; 16/11; 7/5
Everton; 2; 15/8; 15/8; 103/50; 9/5; 2; 9/5; 28/13; 15/8; 2; 9/5; 19/10; 19/10; 2; 37/19; 2; 19/11; 28/13; 2; 19/10; 2; 13/8
Draw; 11/5; 9/4; 21/10; 47/20; 2; 11/5; 2; 9/4; 21/10; 21/10; 11/5; 43/20; 9/4; 11/5; 28/13; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 2
META; english/premier-league/swansea-v-everton; 2018-04-02 18:16:18 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Swansea; 7/5; 6/4; 31/20; 39/25; 11/8; 6/4; 11/8; 13/10; 31/20; 6/4; 31/20; 31/20; 6/4; 6/4; 16/11; 16/11; 15/11; 13/10; 13/8; 6/4; 16/11; 7/5
Everton; 2; 15/8; 15/8; 103/50; 9/5; 2; 9/5; 28/13; 15/8; 2; 9/5; 19/10; 19/10; 2; 37/19; 2; 19/11; 28/13; 2; 19/10; 2; 13/8
Draw; 11/5; 9/4; 21/10; 47/20; 2; 11/5; 2; 9/4; 21/10; 21/10; 11/5; 43/20; 9/4; 9/4; 28/13; 11/5; 9/4; 9/4; 11/5; 11/5; 11/5; 2
META; english/premier-league/swansea-v-everton; 2018-04-02 22:16:17 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Swansea; 7/5; 6/4; 31/20; 39/25; 11/8; 6/4; 11/8; 13/10; 31/20; 6/4; 31/20; 31/20; 6/4; 6/4; 16/11; 16/11; 15/11; 13/10; 13/8; 6/4; 16/11; 7/5
Everton; 2; 15/8; 15/8; 103/50; 9/5; 2; 9/5; 28/13; 15/8; 9/5; 19/10; 19/10; 2; 37/19; 2; 19/11; 28/13; 2; 19/10; 2; 13/8; 
Draw; 11/5; 9/4; 21/10; 47/20; 2; 11/5; 2; 9/4; 21/10; 11/5; 43/20; 9/4; 9/4; 28/13; 11/5; 9/4; 9/4; 11/5; 11/5; 28/13; 2; 
META; english/premier-league/swansea-v-everton; 2018-04-03 02:16:14 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Swansea; 7/5; 6/4; 31/20; 39/25; 11/8; 6/4; 11/8; 13/10; 31/20; 6/4; 31/20; 31/20; 6/4; 6/4; 16/11; 16/11; 15/11; 13/10; 13/8; 6/4; 16/11; 7/5
Everton; 2; 15/8; 15/8; 103/50; 9/5; 2; 9/5; 28/13; 15/8; 2; 9/5; 19/10; 19/10; 2; 37/19; 2; 19/11; 28/13; 2; 19/10; 2; 13/8
Draw; 11/5; 9/4; 21/10; 47/20; 2; 11/5; 2; 9/4; 21/10; 21/10; 11/5; 43/20; 9/4; 9/4; 28/13; 11/5; 9/4; 9/4; 11/5; 11/5; 28/13; 2
META; english/premier-league/swansea-v-everton; 2018-04-03 10:16:14 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Swansea; 7/5; 6/4; 31/20; 39/25; 11/8; 6/4; 11/8; 13/10; 31/20; 6/4; 31/20; 31/20; 6/4; 6/4; 16/11; 16/11; 15/11; 13/10; 13/8; 6/4; 16/11; 7/5
Everton; 2; 15/8; 15/8; 103/50; 9/5; 2; 9/5; 28/13; 15/8; 2; 9/5; 19/10; 19/10; 2; 37/19; 2; 19/11; 28/13; 2; 19/10; 2; 13/8
Draw; 11/5; 9/4; 21/10; 47/20; 2; 11/5; 2; 9/4; 21/10; 21/10; 11/5; 43/20; 9/4; 9/4; 28/13; 11/5; 9/4; 9/4; 11/5; 11/5; 28/13; 2
META; english/premier-league/swansea-v-everton; 2018-04-03 14:16:17 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Swansea; 7/5; 6/4; 31/20; 33/20; 11/8; 6/4; 11/8; 13/10; 31/20; 29/20; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 15/11; 13/10; 13/8; 6/4; 6/4; 7/5
Everton; 2; 15/8; 15/8; 101/50; 9/5; 19/10; 9/5; 28/13; 15/8; 2; 9/5; 19/10; 19/10; 19/10; 19/10; 2; 19/11; 28/13; 2; 19/10; 37/19; 13/8
Draw; 11/5; 9/4; 21/10; 9/4; 2; 21/10; 2; 9/4; 2; 21/10; 11/5; 43/20; 9/4; 11/5; 21/10; 11/5; 9/4; 9/4; 11/5; 11/5; 28/13; 2
META; english/premier-league/swansea-v-everton; 2018-04-03 18:16:17 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Swansea; 7/5; 6/4; 31/20; 33/20; 7/5; 8/5; 7/5; 6/4; 31/20; 6/4; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 15/11; 6/4; 13/8; 6/4; 17/11; 7/5
Everton; 2; 15/8; 15/8; 101/50; 7/4; 19/10; 7/4; 19/10; 15/8; 2; 9/5; 19/10; 19/10; 19/10; 19/10; 2; 19/11; 19/10; 2; 19/10; 19/10; 13/8
Draw; 11/5; 9/4; 21/10; 9/4; 2; 21/10; 2; 11/5; 2; 21/10; 11/5; 43/20; 9/4; 9/4; 21/10; 11/5; 9/4; 11/5; 11/5; 11/5; 28/13; 2
META; english/premier-league/swansea-v-everton; 2018-04-03 22:16:16 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Swansea; 7/5; 6/4; 31/20; 6/4; 33/20; 7/5; 8/5; 7/5; 6/4; 31/20; 6/4; 31/20; 31/20; 6/4; 6/4; 6/4; 16/11; 15/11; 6/4; 13/8; 6/4; 17/11; 7/5
