META; english/premier-league/burnley-v-leicester; 2018-04-02 14:16:09 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Burnley; 13/8; 13/8; 17/10; 7/4; 6/4; 17/10; 6/4; 17/10; 17/10; 17/10; 7/4; 7/4; 17/10; 17/10; 28/17; 28/17; 53/35; 17/10; 9/5; 33/20; 28/17; 6/4
Leicester; 17/10; 17/10; 7/4; 183/100; 13/8; 7/4; 13/8; 28/17; 17/10; 7/4; 7/4; 7/4; 9/5; 7/4; 17/10; 24/13; 13/8; 28/17; 9/5; 7/4; 17/10; 9/5
Draw; 11/5; 11/5; 59/25; 19/10; 11/5; 15/8; 11/5; 2; 21/10; 2; 41/20; 21/10; 11/5; 28/13; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 21/10; 
META; english/premier-league/burnley-v-leicester; 2018-04-02 18:16:08 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Burnley; 13/8; 13/8; 17/10; 7/4; 6/4; 17/10; 6/4; 17/10; 17/10; 17/10; 7/4; 7/4; 17/10; 17/10; 28/17; 28/17; 53/35; 17/10; 9/5; 33/20; 28/17; 6/4
Leicester; 17/10; 17/10; 7/4; 183/100; 13/8; 7/4; 13/8; 28/17; 17/10; 7/4; 7/4; 7/4; 9/5; 7/4; 17/10; 24/13; 13/8; 28/17; 9/5; 7/4; 17/10; 9/5
Draw; 11/5; 11/5; 59/25; 19/10; 11/5; 15/8; 11/5; 2; 21/10; 2; 41/20; 21/10; 11/5; 28/13; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 
META; english/premier-league/burnley-v-leicester; 2018-04-02 22:16:07 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Burnley; 13/8; 13/8; 17/10; 7/4; 6/4; 17/10; 6/4; 17/10; 17/10; 17/10; 7/4; 7/4; 17/10; 17/10; 28/17; 28/17; 53/35; 17/10; 9/5; 33/20; 28/17; 6/4
Leicester; 17/10; 17/10; 7/4; 183/100; 13/8; 7/4; 13/8; 28/17; 17/10; 7/4; 7/4; 7/4; 9/5; 7/4; 17/10; 24/13; 13/8; 28/17; 9/5; 7/4; 17/10; 9/5
Draw; 11/5; 11/5; 59/25; 19/10; 11/5; 15/8; 11/5; 2; 21/10; 2; 41/20; 21/10; 11/5; 28/13; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 
META; english/premier-league/burnley-v-leicester; 2018-04-03 02:16:04 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Burnley; 13/8; 13/8; 17/10; 7/4; 6/4; 17/10; 6/4; 17/10; 17/10; 17/10; 7/4; 7/4; 17/10; 17/10; 28/17; 28/17; 53/35; 17/10; 9/5; 33/20; 28/17; 6/4
Leicester; 17/10; 17/10; 7/4; 183/100; 13/8; 7/4; 13/8; 28/17; 17/10; 7/4; 7/4; 7/4; 9/5; 7/4; 17/10; 24/13; 13/8; 28/17; 9/5; 7/4; 17/10; 9/5
Draw; 11/5; 11/5; 59/25; 19/10; 11/5; 15/8; 11/5; 2; 21/10; 2; 41/20; 21/10; 11/5; 28/13; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 
META; english/premier-league/burnley-v-leicester; 2018-04-03 10:16:05 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Burnley; 13/8; 13/8; 17/10; 7/4; 6/4; 17/10; 6/4; 17/10; 17/10; 17/10; 7/4; 7/4; 17/10; 17/10; 28/17; 28/17; 53/35; 17/10; 9/5; 33/20; 28/17; 6/4
Leicester; 17/10; 17/10; 7/4; 183/100; 13/8; 7/4; 13/8; 28/17; 17/10; 7/4; 7/4; 7/4; 9/5; 7/4; 17/10; 24/13; 13/8; 28/17; 9/5; 7/4; 17/10; 9/5
Draw; 11/5; 11/5; 59/25; 19/10; 11/5; 15/8; 11/5; 2; 21/10; 2; 41/20; 21/10; 11/5; 28/13; 21/10; 21/10; 11/5; 11/5; 21/10; 11/5; 2; 
META; english/premier-league/burnley-v-leicester; 2018-04-03 14:16:06 GMT+3; 2018-04-14 15:00; Nothing; Xlenovo
Burnley; 13/8; 13/8; 17/10; 181/100; 13/8; 17/10; 8/5; 17/10; 17/10; 17/10; 7/4; 7/4; 17/10; 7/4; 28/17; 28/17; 53/35; 17/10; 9/5; 33/20; 17/10; 6/4
Leicester; 17/10; 17/10; 7/4; 93/50; 13/8; 9/5; 13/8; 28/17; 17/10; 7/4; 7/4; 7/4; 9/5; 7/4; 17/10; 24/13; 13/8; 28/17; 9/5; 7/4; 7/4; 9/5
