META; english/premier-league/tottenham-v-bournemouth; 2017-09-20 22:17:45 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Tottenham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/4; ; ; 13/50; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 9/2; ; ; 31/5; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 10; ; ; 11; ; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-bournemouth; 2017-09-21 02:17:42 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Tottenham; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/4; ; ; 13/50; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; 9/2; ; ; 31/5; ; ; ; ; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 10; ; ; 11; ; ; ; ; ; ; ; ; 
META; english/premier-league/tottenham-v-bournemouth; 2017-09-21 10:17:45 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Tottenham; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/4; ; ; 13/50; ; ; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; 9/2; ; ; 31/5; ; ; ; 5; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 10; ; ; 11; ; ; ; 11; ; ; ; ; 
META; english/premier-league/tottenham-v-bournemouth; 2017-09-21 14:17:46 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Tottenham; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/4; ; ; 13/50; ; ; ; 2/9; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 9/2; ; ; ; ; ; ; ; ; 9/2; ; ; 31/5; ; ; ; 5; ; ; ; ; 
Bournemouth; ; ; ; ; ; ; ; 14; ; ; ; ; ; ; ; ; 10; ; ; 11; ; ; ; 11; ; ; ; ; 
META; english/premier-league/tottenham-v-bournemouth; 2017-09-21 18:17:52 GMT+3; 2017-10-14 15:00; Nothing; Xlenovo
Tottenham; ; ; ; ; ; ; ; 1/5; ; ; ; ; ; ; ; ; 1/4; ; ; 13/50; ; ; ; 2/9; ; ; ; ; 
