META; english/premier-league/west-ham-v-man-utd; 2018-05-02 18:16:08 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 3/4; 19/25; 4/6; 4/6; 13/18; 3/4; 3/4; 3/4; 3/4; 8/11; 14/19; 7/9; 13/18; 3/4; 14/19; 4/6
Draw; 11/4; 27/10; 61/20; 5/2; 5/2; 14/5; 27/10; 11/4; 14/5; 11/4; 3; 11/4; 45/17; 14/5; 29/10; 14/5; 13/5
West Ham; 7/2; 17/5; 4; 7/2; 7/2; 62/17; 17/5; 19/5; 7/2; 7/2; 7/2; 39/11; 14/5; 18/5; 19/5; 18/5; 10/3
META; english/premier-league/west-ham-v-man-utd; 2018-05-02 22:16:06 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 3/4; 19/25; 4/6; 4/6; 13/18; 3/4; 3/4; 3/4; 3/4; 8/11; 14/19; 7/9; 13/18; 3/4; 14/19; 4/6
Draw; 11/4; 27/10; 61/20; 5/2; 5/2; 14/5; 27/10; 11/4; 14/5; 11/4; 3; 11/4; 45/17; 14/5; 29/10; 14/5; 5/2
West Ham; 7/2; 17/5; 4; 7/2; 7/2; 62/17; 17/5; 19/5; 7/2; 7/2; 7/2; 39/11; 14/5; 18/5; 19/5; 18/5; 10/3
META; english/premier-league/west-ham-v-man-utd; 2018-05-03 02:16:04 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 3/4; 19/25; 4/6; 4/6; 13/18; 3/4; 3/4; 3/4; 3/4; 8/11; 8/11; 14/19; 7/9; 13/18; 3/4; 14/19; 4/6
Draw; 11/4; 27/10; 61/20; 5/2; 5/2; 14/5; 27/10; 11/4; 14/5; 11/4; 3; 14/5; 11/4; 45/17; 14/5; 29/10; 14/5; 11/5
West Ham; 7/2; 17/5; 4; 7/2; 7/2; 62/17; 17/5; 19/5; 7/2; 7/2; 7/2; 15/4; 39/11; 14/5; 18/5; 19/5; 18/5; 
META; english/premier-league/west-ham-v-man-utd; 2018-05-03 10:16:05 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 3/4; 19/25; 4/6; 4/6; 13/18; 3/4; 3/4; 3/4; 3/4; 8/11; 8/11; 14/19; 7/9; 13/18; 3/4; 14/19; 4/9
Draw; 11/4; 27/10; 61/20; 5/2; 5/2; 14/5; 27/10; 11/4; 14/5; 11/4; 3; 14/5; 11/4; 45/17; 14/5; 29/10; 14/5; 12/5
West Ham; 7/2; 17/5; 4; 7/2; 7/2; 62/17; 17/5; 19/5; 7/2; 7/2; 7/2; 15/4; 39/11; 14/5; 18/5; 19/5; 18/5; 7/2
META; english/premier-league/west-ham-v-man-utd; 2018-05-03 14:16:08 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 3/4; 19/25; 4/6; 4/6; 13/18; 3/4; 3/4; 3/4; 3/4; 8/11; 8/11; 14/19; 7/9; 13/18; 3/4; 14/19; 4/9
Draw; 11/4; 27/10; 61/20; 5/2; 5/2; 14/5; 27/10; 11/4; 14/5; 11/4; 3; 14/5; 11/4; 45/17; 14/5; 29/10; 14/5; 14/5
West Ham; 7/2; 17/5; 4; 7/2; 7/2; 62/17; 17/5; 19/5; 7/2; 7/2; 7/2; 15/4; 39/11; 14/5; 18/5; 19/5; 18/5; 7/2
META; english/premier-league/west-ham-v-man-utd; 2018-05-03 18:16:07 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 3/4; 19/25; 4/6; 4/6; 13/18; 3/4; 3/4; 3/4; 3/4; 8/11; 4/5; 14/19; 13/18; 7/9; 13/18; 3/4; 14/19; 4/6
Draw; 11/4; 27/10; 61/20; 5/2; 5/2; 14/5; 27/10; 11/4; 14/5; 11/4; 3; 14/5; 11/4; 11/4; 45/17; 14/5; 29/10; 14/5; 14/5
West Ham; 7/2; 17/5; 4; 7/2; 7/2; 62/17; 17/5; 19/5; 7/2; 7/2; 7/2; 7/2; 39/11; 7/2; 14/5; 18/5; 19/5; 18/5; 20/21
META; english/premier-league/west-ham-v-man-utd; 2018-05-03 22:16:06 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 3/4; 19/25; 4/6; 4/6; 13/18; 3/4; 3/4; 3/4; 3/4; 8/11; 8/11; 14/19; 13/18; 7/9; 13/18; 3/4; 14/19; 4/6
Draw; 11/4; 27/10; 61/20; 5/2; 5/2; 14/5; 27/10; 11/4; 14/5; 11/4; 3; 14/5; 11/4; 11/4; 45/17; 14/5; 29/10; 14/5; 5/2
West Ham; 7/2; 17/5; 4; 7/2; 7/2; 62/17; 17/5; 19/5; 7/2; 7/2; 7/2; 15/4; 39/11; 7/2; 14/5; 18/5; 19/5; 18/5; 1/25
META; english/premier-league/west-ham-v-man-utd; 2018-05-04 02:16:00 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 3/4; 19/25; 4/6; 4/6; 13/18; 3/4; 3/4; 3/4; 3/4; 8/11; 8/11; 14/19; 13/18; 7/9; 13/18; 3/4; 14/19; 4/6
Draw; 11/4; 27/10; 61/20; 5/2; 5/2; 14/5; 27/10; 11/4; 14/5; 11/4; 3; 14/5; 11/4; 11/4; 45/17; 14/5; 29/10; 14/5; 5/2
West Ham; 7/2; 17/5; 4; 7/2; 7/2; 62/17; 17/5; 19/5; 7/2; 7/2; 7/2; 15/4; 39/11; 7/2; 14/5; 18/5; 19/5; 18/5; 1/25
META; english/premier-league/west-ham-v-man-utd; 2018-05-04 10:16:01 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 3/4; 19/25; 3/4; 4/6; 13/18; 3/4; 3/4; 3/4; 3/4; 8/11; 8/11; 14/19; 13/18; 7/9; 13/18; 3/4; 14/19; 4/6
Draw; 11/4; 27/10; 61/20; 29/10; 13/5; 14/5; 27/10; 3; 14/5; 11/4; 3; 14/5; 11/4; 11/4; 45/17; 14/5; 29/10; 14/5; 13/5
West Ham; 7/2; 17/5; 4; 18/5; 10/3; 62/17; 17/5; 18/5; 7/2; 7/2; 7/2; 7/2; 39/11; 7/2; 14/5; 18/5; 19/5; 18/5; 14/5
META; english/premier-league/west-ham-v-man-utd; 2018-05-04 14:16:04 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 4/5; 79/00; 3/4; 4/6; 13/18; 4/5; 3/4; 3/4; 4/5; 8/11; 4/5; 14/19; 13/18; 7/9; 13/18; 4/5; 14/19; 4/6
Draw; 11/4; 27/10; 3; 29/10; 13/5; 14/5; 13/5; 3; 13/5; 11/4; 3; 14/5; 11/4; 11/4; 45/17; 14/5; 29/10; 14/5; 13/5
West Ham; 7/2; 10/3; 77/20; 18/5; 10/3; 62/17; 13/4; 18/5; 7/2; 17/5; 7/2; 7/2; 39/11; 7/2; 14/5; 18/5; 15/4; 18/5; 3
META; english/premier-league/west-ham-v-man-utd; 2018-05-04 18:16:04 GMT+3; 2018-05-10 19:45; Nothing; Xlenovo
Man Utd; 8/11; 4/5; 79/00; 3/4; 4/6; 13/18; 4/5; 3/4; 3/4; 4/5; 8/11; 4/5; 14/19; 13/18; 7/9; 13/18; 4/5; 14/19; 4/6
