META; english/premier-league/west-brom-v-burnley; 2018-03-12 14:16:14 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 17/10; 17/10; 31/20; 6/4; 28/17; 17/10; 17/10; 13/8; 28/17; 9/5; 14/9; 28/17; 33/20; 28/17; 6/4
Burnley; 9/5; 17/10; 13/8; 13/8; 7/4; 37/20; 9/5; 17/10; 7/4; 17/10; 17/10; 7/4; 9/5; 9/5; 6/4
Draw; 21/10; 21/10; 19/10; 15/8; 21/10; 2; 21/10; 2; 21/10; 21/10; 28/13; 21/10; 2; 21/10; 2
META; english/premier-league/west-brom-v-burnley; 2018-03-12 18:16:14 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 17/10; 17/10; 17/10; 44/25; 31/20; 6/4; 28/17; 17/10; 17/10; 13/8; 28/17; 17/10; 14/9; 28/17; 33/20; 28/17; 6/4
Burnley; 9/5; 17/10; 9/5; 2; 13/8; 13/8; 7/4; 37/20; 9/5; 17/10; 9/5; 9/5; 17/10; 7/4; 9/5; 24/13; 6/4
Draw; 21/10; 21/10; 2; 85/40; 19/10; 15/8; 21/10; 2; 21/10; 2; 21/10; 28/13; 21/10; 2; 39/19; 2; 
META; english/premier-league/west-brom-v-burnley; 2018-03-12 22:16:15 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 17/10; 17/10; 17/10; 44/25; 31/20; 6/4; 28/17; 17/10; 17/10; 13/8; 28/17; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 6/4
Burnley; 9/5; 17/10; 9/5; 2; 13/8; 13/8; 7/4; 15/8; 9/5; 17/10; 9/5; 24/13; 17/10; 7/4; 2; 9/5; 24/13; 6/4
Draw; 21/10; 21/10; 2; 85/40; 19/10; 15/8; 21/10; 2; 21/10; 2; 39/19; 2; 28/13; 21/10; 2; 39/19; 2; 
META; english/premier-league/west-brom-v-burnley; 2018-03-13 02:16:11 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 17/10; 8/5; 17/10; 44/25; 8/5; 8/5; 28/17; 17/10; 17/10; 13/8; 28/17; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 6/4
Burnley; 9/5; 15/8; 9/5; 2; 17/10; 17/10; 7/4; 15/8; 9/5; 7/4; 9/5; 24/13; 17/10; 7/4; 2; 9/5; 24/13; 8/5
Draw; 21/10; 21/10; 2; 85/40; 15/8; 15/8; 21/10; 2; 21/10; 19/10; 39/19; 2; 28/13; 21/10; 2; 39/19; 2; 
META; english/premier-league/west-brom-v-burnley; 2018-03-13 10:16:14 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 8/5; 28/17; 17/10; 17/10; 13/8; 28/17; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 6/4
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 17/10; 7/4; 15/8; 9/5; 7/4; 24/13; 24/13; 17/10; 7/4; 2; 15/8; 24/13; 8/5
Draw; 2; 21/10; 2; 85/40; 15/8; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-13 14:16:15 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 8/5; 28/17; 17/10; 17/10; 13/8; 28/17; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 6/4
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 17/10; 7/4; 15/8; 9/5; 7/4; 24/13; 24/13; 17/10; 7/4; 2; 15/8; 24/13; 8/5
Draw; 2; 21/10; 2; 85/40; 15/8; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-13 18:16:13 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 8/5; 28/17; 17/10; 17/10; 13/8; 28/17; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 6/4
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 17/10; 7/4; 15/8; 9/5; 7/4; 24/13; 24/13; 17/10; 7/4; 2; 15/8; 24/13; 8/5
Draw; 2; 21/10; 2; 85/40; 15/8; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-13 22:16:15 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 8/5; 28/17; 17/10; 17/10; 13/8; 28/17; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 6/4
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 17/10; 7/4; 15/8; 9/5; 7/4; 24/13; 24/13; 17/10; 7/4; 2; 15/8; 24/13; 8/5
Draw; 2; 21/10; 2; 85/40; 15/8; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 2; ; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-14 02:16:04 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 8/5; 28/17; 17/10; 17/10; 13/8; 28/17; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 6/4
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 17/10; 7/4; 15/8; 9/5; 7/4; 24/13; 24/13; 17/10; 7/4; 2; 15/8; 24/13; 8/5
Draw; 2; 21/10; 2; 85/40; 15/8; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-14 10:16:06 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 8/5
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 24/13; 24/13; 17/10; 7/4; 2; 15/8; 24/13; 8/5
Draw; 2; 21/10; 2; 85/40; 15/8; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-14 14:16:09 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 8/5
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 24/13; 24/13; 17/10; 7/4; 2; 15/8; 24/13; 8/5
Draw; 2; 21/10; 2; 85/40; 15/8; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-14 18:16:06 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 8/5
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 15/8; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 24/13; 24/13; 17/10; 7/4; 2; 15/8; 24/13; 8/5
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-14 22:16:03 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 8/5
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 15/8; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 24/13; 24/13; 17/10; 7/4; 2; 15/8; 24/13; 17/10
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-15 02:16:04 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 14/9; 28/17; 17/10; 33/20; 28/17; 13/8
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 15/8; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 24/13; 24/13; 17/10; 7/4; 2; 15/8; 24/13; 17/10
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-15 10:16:00 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 53/35; 28/17; 17/10; 33/20; 28/17; 13/8
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 15/8; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 24/13; 24/13; 30/17; 7/4; 2; 15/8; 24/13; 17/10
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-15 14:16:02 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 53/35; 28/17; 17/10; 33/20; 28/17; 13/8
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 15/8; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 24/13; 24/13; 30/17; 7/4; 2; 15/8; 24/13; 17/10
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 39/19; 2; ; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-15 18:16:01 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 28/17; 17/10; 53/35; 28/17; 17/10; 33/20; 28/17; 13/8
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 15/8; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 24/13; 24/13; 30/17; 7/4; 2; 15/8; 24/13; 17/10
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 2; 28/13; 21/10; 2; 2; ; ; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-15 22:15:47 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 53/35; 28/17; 17/10; 33/20; 8/5; 13/8
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 15/8; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 9/5; 24/13; 30/17; 7/4; 2; 15/8; 24/13; 17/10
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 39/19; 2; 28/13; 21/10; 2; 21/10; 2; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-16 02:15:33 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 53/35; 28/17; 17/10; 33/20; 8/5; 13/8
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 15/8; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 9/5; 24/13; 30/17; 7/4; 2; 15/8; 17/10; 
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 39/19; 2; 28/13; 21/10; 2; 21/10; 2; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-16 10:15:34 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 8/5; 8/5; 17/10; 177/00; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 13/8; 8/5; 17/10; 53/35; 28/17; 17/10; 33/20; 8/5; 13/8
Burnley; 15/8; 15/8; 9/5; 199/00; 17/10; 15/8; 17/10; 7/4; 15/8; 19/10; 9/5; 7/4; 9/5; 24/13; 30/17; 7/4; 2; 15/8; 17/10; 
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 39/19; 2; 28/13; 21/10; 2; 21/10; 2; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-16 14:15:56 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 31/20; 8/5; 17/10; 44/25; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 6/4; 8/5; 17/10; 53/35; 28/17; 13/8; 33/20; 8/5; 13/8
Burnley; 19/10; 15/8; 9/5; 2; 17/10; 19/10; 17/10; 7/4; 15/8; 19/10; 9/5; 9/5; 9/5; 24/13; 30/17; 7/4; 21/10; 15/8; 17/10; 
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 39/19; 2; 28/13; 21/10; 2; 21/10; 2; ; 
META; english/premier-league/west-brom-v-burnley; 2018-03-16 18:16:02 GMT+2; 2018-03-31 15:00; Nothing; Xlenovo
West Brom; 31/20; 6/4; 17/10; 44/25; 8/5; 17/10; 8/5; 28/17; 13/8; 33/20; 17/10; 6/4; 8/5; 17/10; 53/35; 28/17; 13/8; 33/20; 8/5; 13/8
Burnley; 19/10; 19/10; 9/5; 2; 17/10; 19/10; 17/10; 7/4; 15/8; 19/10; 9/5; 9/5; 9/5; 24/13; 30/17; 7/4; 21/10; 15/8; 17/10; 
Draw; 2; 21/10; 2; 85/40; 15/8; 2; 15/8; 21/10; 2; 21/10; 19/10; 39/19; 2; 28/13; 21/10; 2; 21/10; 2; ; 
