META; english/premier-league/chelsea-v-crystal-palace; 2018-02-25 18:16:28 GMT+2; 2018-03-10 17:30; Nothing; Xlenovo
Chelsea; 1/4; 1/4; ; ; 31/100; 3/10; 2/7; 3/10; 3/10; ; 1/3; ; ; ; 30/100; 2/7; 2/7; 10/29; ; 3/10; 3/10; 3/10; ; 3/10; ; 1/4; ; 
Draw; 17/4; 9/2; ; ; 24/5; 4; 9/2; 4; 4; ; 4; ; ; ; 17/4; 9/2; 21/5; 4; ; 4; 19/4; 9/2; ; 21/5; ; 7/2; ; 
Crystal Palace; 10; 11; ; ; 23/2; 10; 10; 9; 10; ; 10; ; ; ; 10; 11; 9; 17/2; ; 19/2; 9; 12; ; 9; ; 9; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2018-02-25 22:16:31 GMT+2; 2018-03-10 17:30; Nothing; Xlenovo
Chelsea; 1/4; 1/4; ; ; 31/100; 2/7; 2/7; 1/4; 5/18; ; 3/10; ; ; ; 30/100; 2/7; 2/7; 10/29; 5/19; 5/18; 3/10; 2/7; ; 3/10; ; 1/4; ; 
Draw; 17/4; 9/2; ; ; 24/5; 9/2; 9/2; 4; 17/4; ; 9/2; ; ; ; 17/4; 9/2; 43/10; 4; 22/5; 21/5; 19/4; 19/4; ; 74/17; ; 4; ; 
Crystal Palace; 10; 11; ; ; 23/2; 11; 10; 10; 10; ; 11; ; ; ; 10; 11; 35/4; 17/2; 17/2; 19/2; 9; 12; ; 35/4; ; 10; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2018-02-26 02:16:24 GMT+2; 2018-03-10 17:30; Nothing; Xlenovo
Chelsea; 1/4; 1/4; ; ; 31/100; 2/7; 2/7; 1/4; 5/18; ; 3/10; ; ; ; 30/100; 2/7; 2/7; 10/29; 5/19; 5/18; 3/10; 3/10; ; 3/10; ; 1/4; ; 
Draw; 17/4; 9/2; ; ; 24/5; 9/2; 9/2; 4; 17/4; ; 9/2; ; ; ; 17/4; 9/2; 43/10; 4; 22/5; 21/5; 19/4; 9/2; ; 74/17; ; 4; ; 
Crystal Palace; 10; 11; ; ; 23/2; 11; 10; 10; 10; ; 11; ; ; ; 10; 11; 35/4; 17/2; 17/2; 19/2; 9; 12; ; 35/4; ; 10; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2018-02-26 10:16:24 GMT+2; 2018-03-10 17:30; Nothing; Xlenovo
Chelsea; 1/4; 1/4; ; ; 3/10; 1/4; 2/7; 1/4; 5/18; ; 2/7; ; ; ; 30/100; 1/4; 2/7; 10/29; 5/19; 5/18; 3/10; 2/7; ; 2/7; ; 1/4; ; 
Draw; 17/4; 9/2; ; ; 47/10; 9/2; 9/2; 9/2; 17/4; ; 9/2; ; ; ; 17/4; 9/2; 17/4; 4; 22/5; 21/5; 19/4; 9/2; ; 43/10; ; 4; ; 
Crystal Palace; 12; 11; ; ; 13; 11; 11; 11; 10; ; 11; ; ; ; 10; 12; 37/4; 17/2; 17/2; 19/2; 9; 14; ; 37/4; ; 10; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2018-02-26 14:16:27 GMT+2; 2018-03-10 17:30; Nothing; Xlenovo
Chelsea; 1/4; 1/4; ; ; 31/100; 1/4; 2/7; 1/4; 5/18; ; 2/7; 2/7; ; 3/10; 30/100; 1/4; 2/7; 10/29; 5/19; 5/18; 3/10; ; 2/7; ; 1/4; ; 
Draw; 17/4; 9/2; ; ; 23/5; 9/2; 9/2; 9/2; 17/4; ; 9/2; 4; ; 17/4; 17/4; 9/2; 21/5; 4; 22/5; 21/5; 9/2; ; 17/4; ; 4; ; 
Crystal Palace; 12; 11; ; ; 25/2; 11; 11; 11; 10; ; 11; 10; ; 10; 10; 11; 37/4; 17/2; 17/2; 19/2; 12; ; 37/4; ; 10; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2018-02-26 18:16:27 GMT+2; 2018-03-10 17:30; Nothing; Xlenovo
Chelsea; 1/4; 3/10; ; 3/10; 31/100; 1/4; 2/7; 1/4; 5/18; ; 2/7; 2/7; ; 3/10; 30/100; 2/7; 3/11; 3/11; 3/11; 5/18; 3/10; ; 3/11; ; 1/4; ; 
Draw; 17/4; 17/4; ; 4; 49/10; 9/2; 9/2; 9/2; 17/4; ; 9/2; 4; ; 17/4; 17/4; 4; 22/5; 9/2; 22/5; 21/5; 9/2; ; 49/11; ; 4; ; 
Crystal Palace; 12; 9; ; 10; 11; 11; 11; 11; 10; ; 11; 10; ; 10; 10; 10; 39/4; 21/2; 42/5; 19/2; 12; ; 39/4; ; 10; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2018-02-26 22:16:25 GMT+2; 2018-03-10 17:30; Nothing; Xlenovo
Chelsea; 1/4; 3/10; ; 3/10; 31/100; 1/4; 2/7; 1/4; 5/18; ; 2/7; 2/7; ; 3/10; 30/100; 2/7; 3/11; 3/11; 3/11; 5/18; 3/10; ; 3/11; ; 1/4; ; 
Draw; 17/4; 17/4; ; 4; 49/10; 9/2; 9/2; 9/2; 17/4; ; 9/2; 4; ; 17/4; 17/4; 4; 22/5; 9/2; 22/5; 21/5; 9/2; ; 49/11; ; 4; ; 
Crystal Palace; 12; 9; ; 10; 11; 11; 11; 11; 10; ; 11; 10; ; 10; 10; 10; 39/4; 21/2; 42/5; 19/2; 12; ; 39/4; ; 10; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2018-02-27 02:16:24 GMT+2; 2018-03-10 17:30; Nothing; Xlenovo
Chelsea; 1/4; 3/10; ; 3/10; 31/100; 1/4; 2/7; 1/4; 5/18; ; 2/7; 2/7; ; 3/10; 30/100; 2/7; 3/11; 3/11; 3/11; 5/18; 3/10; ; 3/11; ; 1/4; ; 
Draw; 17/4; 17/4; ; 4; 23/5; 9/2; 9/2; 9/2; 17/4; ; 9/2; 4; ; 17/4; 17/4; 4; 22/5; 9/2; 22/5; 21/5; 9/2; ; 49/11; ; 4; ; 
Crystal Palace; 12; 9; ; 10; 25/2; 11; 11; 11; 10; ; 11; 10; ; 10; 10; 10; 39/4; 21/2; 42/5; 19/2; 12; ; 39/4; ; 10; ; 
META; english/premier-league/chelsea-v-crystal-palace; 2018-02-27 10:16:24 GMT+2; 2018-03-10 17:30; Nothing; Xlenovo
Chelsea; 1/4; 3/10; ; 3/10; 8/25; 1/4; 2/7; 1/4; 5/18; ; 2/7; 2/7; ; 1/3; 30/100; 2/7; 5/18; 3/11; 3/11; 5/18; 3/10; ; 5/18; ; 1/4; ; 
Draw; 17/4; 9/2; ; 4; 49/10; 9/2; 9/2; 9/2; 17/4; ; 9/2; 4; ; 4; 9/2; 4; 74/17; 9/2; 22/5; 21/5; 9/2; ; 22/5; ; 4; ; 
Crystal Palace; 12; 17/2; ; 10; 21/2; 11; 10; 11; 10; ; 11; 10; ; 9; 9; 10; 37/4; 21/2; 42/5; 19/2; 11; ; 19/2; ; 10; ; 
