META; english/premier-league/liverpool-v-chelsea; 2017-10-29 22:17:50 GMT+3; 2017-11-25 17:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; 139/100; ; ; ; ; ; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 54/25; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 64/25; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/liverpool-v-chelsea; 2017-10-30 02:17:49 GMT+3; 2017-11-25 17:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; 139/100; ; ; ; ; 13/10; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 54/25; ; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 64/25; ; ; ; ; 12/5; ; ; ; ; 
META; english/premier-league/liverpool-v-chelsea; 2017-10-30 10:18:01 GMT+3; 2017-11-25 17:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; 139/100; ; ; ; ; 13/10; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 54/25; ; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 64/25; ; ; ; ; 12/5; ; ; ; ; 
META; english/premier-league/liverpool-v-chelsea; 2017-10-30 14:17:58 GMT+3; 2017-11-25 17:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; ; ; 7/5; ; ; ; ; 13/10; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; ; ; 43/20; ; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; ; ; 51/20; ; ; ; ; 12/5; ; ; ; ; 
META; english/premier-league/liverpool-v-chelsea; 2017-10-30 18:18:04 GMT+3; 2017-11-25 17:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 13/10; ; 7/5; ; ; ; ; 27/20; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 43/20; ; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 11/5; ; 51/20; ; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/liverpool-v-chelsea; 2017-10-30 22:18:07 GMT+3; 2017-11-25 17:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 13/10; ; 7/5; ; ; ; ; 27/20; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 43/20; ; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 11/5; ; 51/20; ; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/liverpool-v-chelsea; 2017-10-31 02:17:59 GMT+3; 2017-11-25 17:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 13/10; ; 7/5; ; ; ; ; 27/20; ; ; ; ; 
Chelsea; ; ; ; ; ; ; ; 21/10; ; ; ; ; ; ; ; ; 21/10; ; 43/20; ; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 11/5; ; 51/20; ; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/liverpool-v-chelsea; 2017-10-31 10:18:53 GMT+3; 2017-11-25 17:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 13/10; ; 7/5; ; ; ; ; 27/20; ; ; ; ; 
