META; english/premier-league/burnley-v-arsenal; 2017-10-30 02:17:54 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; 13/20; ; ; ; ; 4/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 63/20; ; ; ; ; 29/10; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; 5; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-10-30 10:18:06 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; 13/20; ; ; ; ; 4/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 63/20; ; ; ; ; 29/10; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; 5; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-10-30 14:18:03 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 4/7; ; ; ; ; ; ; ; ; ; ; 13/20; ; ; ; ; 4/7; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; ; ; 63/20; ; ; ; ; 29/10; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; ; ; ; 5; ; ; ; ; 5; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-10-30 18:18:12 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; 8/15; ; 13/20; ; ; ; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; 63/20; ; ; ; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 5; ; 5; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-10-30 22:18:12 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; 8/15; ; 13/20; ; ; ; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; 63/20; ; ; ; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 5; ; 5; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-10-31 02:18:04 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; 8/15; ; 13/20; ; ; ; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; 63/20; ; ; ; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 5; ; 5; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-10-31 10:18:59 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; 8/15; ; 13/20; ; ; ; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; 63/20; ; ; ; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 5; ; 5; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-10-31 14:19:34 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; 8/15; ; 13/20; ; ; ; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; 63/20; ; ; ; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 5; ; 5; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-10-31 18:18:56 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; 8/15; ; 13/20; ; ; ; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; 31/10; ; ; ; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 5; ; 51/10; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-10-31 22:19:01 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; 8/15; ; 13/20; ; ; ; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; 31/10; ; ; ; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 5; ; 51/10; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-01 02:18:56 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; 8/15; ; 13/20; ; ; ; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; 31/10; ; ; ; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 5; ; 51/10; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-01 10:18:49 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; 8/15; ; 13/20; ; ; ; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; 31/10; ; ; ; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 5; ; 51/10; ; ; ; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-01 14:19:14 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; ; 8/15; ; 13/20; ; ; 4/7; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 3; ; ; ; ; ; ; ; ; 3; ; 31/10; ; ; 3; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 11/2; ; ; ; ; ; ; ; ; 5; ; 51/10; ; ; 5; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-01 18:18:57 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; 8/13; 8/15; ; 13/20; ; ; 4/7; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 3; 3; ; 31/10; ; ; 3; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; 5; 5; ; 51/10; ; ; 5; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-01 22:18:38 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; 8/13; 8/15; ; 13/20; ; ; 4/7; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 3; 3; ; 31/10; ; ; 3; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; 5; 5; ; 51/10; ; ; 5; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-02 02:18:55 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; 8/13; 8/15; ; 13/20; ; ; 4/7; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 3; 3; ; 31/10; ; ; 3; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; 5; 5; ; 51/10; ; ; 5; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-02 10:18:53 GMT+3; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; 8/13; 8/15; ; 13/20; ; ; 4/7; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 3; 3; ; 31/10; ; ; 3; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; 5; 5; ; 51/10; ; ; 5; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-02 14:04:12 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; 8/13; 8/15; ; 13/20; ; ; 4/7; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 3; 3; ; 31/10; ; ; 3; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; 5; 5; ; 51/10; ; ; 5; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-02 18:17:57 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; 8/13; 8/15; ; 13/20; ; ; 4/7; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 3; 3; ; 31/10; ; ; 3; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; 5; 5; ; 51/10; ; ; 5; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-02 22:17:39 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; 8/13; 8/15; ; 13/20; ; ; 4/7; ; 11/20; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 16/5; ; ; ; ; ; ; ; 3; 3; ; 31/10; ; ; 3; ; 59/20; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 5; ; ; ; ; ; ; ; 5; 5; ; 51/10; ; ; 21/4; ; 21/4; ; ; ; ; 
META; english/premier-league/burnley-v-arsenal; 2017-11-03 02:16:56 GMT+2; 2017-11-26 14:00; Nothing; Xlenovo
Arsenal; ; ; ; ; ; ; ; 8/15; ; ; ; ; ; ; ; 8/13; 8/15; ; 13/20; ; ; 4/7; ; 11/20; ; ; ; ; 
