META; english/premier-league/liverpool-v-man-utd; 2017-09-19 18:17:36 GMT+3; 2017-10-14 12:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 7/5; ; ; 73/50; ; ; ; 7/5; ; ; ; ; 
Man Utd; ; ; ; ; ; ; 2; 21/10; ; ; ; ; ; ; ; ; 19/10; ; ; 11/5; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/liverpool-v-man-utd; 2017-09-19 22:17:32 GMT+3; 2017-10-14 12:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 7/5; ; ; 73/50; ; ; ; 11/8; ; ; ; ; 
Man Utd; ; ; ; ; ; ; 2; 9/4; ; ; ; ; ; ; ; ; 19/10; ; ; 11/5; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/liverpool-v-man-utd; 2017-09-20 02:17:29 GMT+3; 2017-10-14 12:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 7/5; ; ; 73/50; ; ; ; 11/8; ; ; ; ; 
Man Utd; ; ; ; ; ; ; 2; 9/4; ; ; ; ; ; ; ; ; 19/10; ; ; 11/5; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/liverpool-v-man-utd; 2017-09-20 10:17:36 GMT+3; 2017-10-14 12:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 7/5; ; ; 73/50; ; ; ; 11/8; ; ; ; ; 
Man Utd; ; ; ; ; ; ; 2; 9/4; ; ; ; ; ; ; ; ; 19/10; ; ; 11/5; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; 23/10; ; ; ; ; 
META; english/premier-league/liverpool-v-man-utd; 2017-09-20 14:17:30 GMT+3; 2017-10-14 12:30; Nothing; Xlenovo
Liverpool; ; ; ; ; ; ; 5/4; 13/10; ; ; ; ; ; ; ; ; 7/5; ; ; 73/50; ; ; ; 11/8; ; ; ; ; 
Man Utd; ; ; ; ; ; ; 2; 9/4; ; ; ; ; ; ; ; ; 19/10; ; ; 11/5; ; ; ; 2; ; ; ; ; 
Draw; ; ; ; ; ; ; 12/5; 23/10; ; ; ; ; ; ; ; ; 11/5; ; ; 119/50; ; ; ; 23/10; ; ; ; ; 
