META; english/premier-league/man-city-v-brighton; 2018-05-02 18:16:01 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/14; 1/14; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 2/17; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 15/2; 15/2; 7; 8; 15/2; 15/2; 8; 29/4; 69/10; 7; 29/4; 32/5; ; ; 
Brighton; 16; 33; 20; 20; 20; 18; 33; 25; 28; 25; 20; 25; 73/4; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-02 22:15:59 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/14; 1/14; 1/8; 1/10; 1/9; 1/10; 1/9; 1/8; 1/9; 2/17; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 15/2; 15/2; 7; 17/2; 15/2; 15/2; 8; 29/4; 69/10; 7; 29/4; 34/5; ; ; 
Brighton; 16; 33; 20; 20; 20; 18; 33; 25; 28; 25; 20; 25; 73/4; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-03 02:15:57 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/14; 1/14; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 2/17; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 15/2; 15/2; 7; 8; 15/2; 15/2; 8; 17/2; 29/4; 69/10; 7; 29/4; 32/5; ; 
Brighton; 16; 28; 20; 20; 20; 18; 28; 25; 28; 25; 20; 22; 73/4; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-03 10:15:58 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/14; 1/14; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 2/17; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 15/2; 15/2; 7; 8; 15/2; 15/2; 8; 29/4; 69/10; 7; 29/4; 32/5; ; ; 
Brighton; 16; 28; 20; 20; 20; 18; 28; 28; 28; 25; 20; 22; 73/4; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-03 14:16:00 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/14; 1/14; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 2/17; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 15/2; 15/2; 7; 8; 15/2; 15/2; 8; 29/4; 69/10; 7; 29/4; 32/5; ; ; 
Brighton; 16; 28; 20; 20; 20; 18; 28; 25; 28; 25; 20; 22; 73/4; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-03 18:15:59 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/14; 1/14; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 2/17; 1/9; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 15/2; 15/2; 7; 8; 15/2; 15/2; 8; 29/4; 15/2; 69/10; 7; 32/5; ; ; ; 
Brighton; 16; 28; 20; 20; 20; 18; 28; 25; 28; 25; 20; 22; 73/4; 20; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-03 22:15:59 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/14; 1/14; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 2/17; 1/9; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 15/2; 15/2; 7; 8; 15/2; 15/2; 8; 29/4; 15/2; 69/10; 7; 29/4; 32/5; ; ; 
Brighton; 16; 28; 20; 20; 20; 18; 28; 25; 28; 25; 20; 22; 73/4; 20; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-04 02:15:53 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/14; 1/14; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 2/17; 1/9; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 15/2; 15/2; 7; 8; 15/2; 15/2; 8; 29/4; 15/2; 69/10; 7; 29/4; 32/5; ; ; 
Brighton; 16; 28; 20; 20; 20; 18; 28; 25; 28; 25; 20; 22; 73/4; 20; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-04 10:15:54 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/14; 1/14; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 2/17; 1/9; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 15/2; 15/2; 7; 8; 15/2; 15/2; 8; 29/4; 15/2; 69/10; 7; 29/4; 33/5; ; ; 
Brighton; 16; 28; 20; 20; 20; 18; 28; 25; 28; 25; 20; 22; 73/4; 20; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-04 14:15:56 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 2/17; 1/14; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 2/17; 1/9; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 17/2; 15/2; 7; 8; 15/2; 15/2; 8; 29/4; 15/2; 69/10; 7; 29/4; 7; ; ; 
Brighton; 16; 28; 20; 22; 20; 18; 28; 25; 28; 25; 20; 22; 73/4; 20; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-04 18:15:58 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 2/17; 1/14; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 2/17; 1/9; 1/11; 1/8; 1/8; 2/17; 2/15
Draw; 15/2; 17/2; 9; 17/2; 15/2; 7; 8; 15/2; 15/2; 8; 29/4; 15/2; 69/10; 7; 29/4; 7; ; ; 
Brighton; 16; 28; 20; 22; 20; 18; 28; 25; 28; 25; 20; 22; 73/4; 20; 31/2; 17; 33; 37/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-04 22:15:57 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/12; 1/16; 1/8; 1/10; 1/8; 1/10; 1/9; 1/8; 1/9; 1/8; 1/9; 1/8; 2/17; 1/8; 2/15
Draw; 15/2; 17/2; 9; 11; 10; 8; 15/2; 15/2; 8; 15/2; 15/2; 7; 15/2; 7; ; ; ; 
Brighton; 16; 28; 20; 22; 18; 18; 28; 25; 28; 28; 20; 22; 39/2; 20; 17; 28; 79/4; 21
META; english/premier-league/man-city-v-brighton; 2018-05-05 02:15:53 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/12; 1/16; 1/8; 1/10; 1/8; 1/8; 1/9; 1/8; 1/9; 1/8; 1/9; 1/8; 2/17; 1/8; 2/15
Draw; 15/2; 17/2; 9; 11; 10; 8; 7; 15/2; 8; 15/2; 15/2; 7; 15/2; 7; ; ; ; 
Brighton; 16; 28; 20; 22; 18; 18; 28; 25; 20; 28; 20; 22; 77/4; 20; 17; 28; 39/2; 21
META; english/premier-league/man-city-v-brighton; 2018-05-05 10:15:54 GMT+3; 2018-05-09 20:00; Nothing; Xlenovo
Man City; 1/8; 1/9; 1/8; 1/12; 1/16; 1/8; 1/10; 1/8; 1/9; 1/9; 1/8; 1/9; 1/8; 1/9; 1/11; 1/8; 2/17; 1/8; 1/8
Draw; 15/2; 17/2; 9; 11; 10; 8; 15/2; 15/2; 8; 15/2; 15/2; 69/10; 7; 15/2; 38/5; ; ; ; 
