META; english/premier-league/southampton-v-newcastle; 2017-09-20 22:17:52 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-21 02:17:49 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; ; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-21 10:17:52 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; 5/2; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; 15/4; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-21 14:17:54 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; 5/2; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; 15/4; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-21 18:18:00 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; 5/2; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; 15/4; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-21 22:17:57 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; 5/2; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; 15/4; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-22 02:17:50 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; 5/2; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; 15/4; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-22 10:17:55 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; 5/2; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; 15/4; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-22 14:18:40 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; 5/2; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; 15/4; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-22 18:18:00 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; 5/2; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; 15/4; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-22 22:18:07 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; 5/2; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 10/3; ; ; ; ; ; ; ; ; 4; ; ; 24/5; ; ; ; 15/4; ; ; ; ; 
META; english/premier-league/southampton-v-newcastle; 2017-09-23 02:17:55 GMT+3; 2017-10-15 16:00; Nothing; Xlenovo
Southampton; ; ; ; ; ; ; ; 4/5; ; ; ; ; ; ; ; ; 7/10; ; ; 73/100; ; ; ; 3/4; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 12/5; ; ; ; ; ; ; ; ; 5/2; ; ; 139/50; ; ; ; 5/2; ; ; ; ; 
