META; english/premier-league/swansea-v-newcastle; 2017-08-16 18:17:32 GMT+3; 2017-09-10 16:00; Nothing; Xlenovo
Swansea; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; ; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 3; ; ; 18/5; ; ; ; ; ; ; ; ; 
META; english/premier-league/swansea-v-newcastle; 2017-08-16 22:17:25 GMT+3; 2017-09-10 16:00; Nothing; Xlenovo
Swansea; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; 11/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; 23/10; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 3; ; ; 18/5; ; ; ; 14/5; ; ; ; ; 
META; english/premier-league/swansea-v-newcastle; 2017-08-17 02:17:25 GMT+3; 2017-09-10 16:00; Nothing; Xlenovo
Swansea; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; 11/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; 23/10; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 3; ; ; 18/5; ; ; ; 14/5; ; ; ; ; 
META; english/premier-league/swansea-v-newcastle; 2017-08-17 10:17:27 GMT+3; 2017-09-10 16:00; Nothing; Xlenovo
Swansea; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 10/11; ; ; 20/21; ; ; ; 11/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; 23/10; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 3; ; ; 18/5; ; ; ; 14/5; ; ; ; ; 
META; english/premier-league/swansea-v-newcastle; 2017-08-17 14:17:35 GMT+3; 2017-09-10 16:00; Nothing; Xlenovo
Swansea; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 10/11; ; ; 11/10; ; ; ; 11/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; 12/5; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 3; ; ; 59/20; ; ; ; 13/5; ; ; ; ; 
META; english/premier-league/swansea-v-newcastle; 2017-08-17 18:17:27 GMT+3; 2017-09-10 16:00; Nothing; Xlenovo
Swansea; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 1; ; ; 11/10; ; ; ; 11/10; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 23/10; ; ; ; ; ; ; ; ; 12/5; ; ; 5/2; ; ; ; 12/5; ; ; ; ; 
Newcastle; ; ; ; ; ; ; ; 7/4; ; ; ; ; ; ; ; ; 13/5; ; ; 59/20; ; ; ; 5/2; ; ; ; ; 
META; english/premier-league/swansea-v-newcastle; 2017-08-17 22:17:26 GMT+3; 2017-09-10 16:00; Nothing; Xlenovo
Swansea; ; ; ; ; ; ; ; 13/10; ; ; ; ; ; ; ; ; 1; ; ; 6/5; ; ; ; 11/10; ; ; ; ; 
