META; english/premier-league/leicester-v-arsenal; 2018-05-02 18:15:57 GMT+3; 2018-05-09 19:45; Nothing; Xlenovo
Arsenal; 23/20; 6/5; 63/50; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 9/8; 6/5; 5/4; 6/5; 20/21
Leicester; 9/4; 21/10; 12/5; 9/4; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 21/10; 9/4; 11/5; 15/8; 11/5; 23/10; 9/4; 7/4
Draw; 12/5; 5/2; 129/0; 13/5; 12/5; 12/5; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 28/11; 12/5; 13/5; 27/11; 9/4
META; english/premier-league/leicester-v-arsenal; 2018-05-02 22:15:56 GMT+3; 2018-05-09 19:45; Nothing; Xlenovo
Arsenal; 23/20; 6/5; 63/50; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 9/8; 6/5; 5/4; 15/13; 20/21
Leicester; 9/4; 21/10; 12/5; 9/4; 21/10; 11/5; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 9/4; 15/8; 11/5; 23/10; 9/4; 7/4
Draw; 12/5; 5/2; 129/0; 13/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 28/11; 12/5; 13/5; 27/11; 9/4
META; english/premier-league/leicester-v-arsenal; 2018-05-03 02:15:53 GMT+3; 2018-05-09 19:45; Nothing; Xlenovo
Arsenal; 23/20; 6/5; 63/50; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 9/8; 6/5; 6/5; 6/5; 20/21
Leicester; 9/4; 21/10; 12/5; 9/4; 21/10; 11/5; 21/10; 9/4; 11/5; 11/5; 21/10; 9/4; 11/5; 15/8; 11/5; 23/10; 9/4; 6/4
Draw; 12/5; 5/2; 129/0; 13/5; 12/5; 12/5; 12/5; 13/5; 5/2; 5/2; 5/2; 5/2; 12/5; 28/11; 12/5; 27/10; 27/11; 9/4
META; english/premier-league/leicester-v-arsenal; 2018-05-03 10:15:55 GMT+3; 2018-05-09 19:45; Nothing; Xlenovo
Arsenal; 23/20; 6/5; 63/50; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 9/8; 6/5; 6/5; 6/5; 20/21
Leicester; 9/4; 21/10; 12/5; 9/4; 21/10; 11/5; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 11/5; 15/8; 11/5; 23/10; 9/4; 9/5
Draw; 12/5; 5/2; 129/0; 13/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 28/11; 12/5; 27/10; 27/11; 11/5
META; english/premier-league/leicester-v-arsenal; 2018-05-03 14:15:57 GMT+3; 2018-05-09 19:45; Nothing; Xlenovo
Arsenal; 23/20; 6/5; 63/50; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 9/8; 6/5; 6/5; 15/13; 20/21
Leicester; 9/4; 21/10; 12/5; 9/4; 21/10; 11/5; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 9/4; 15/8; 11/5; 12/5; 9/4; 19/10
Draw; 12/5; 5/2; 129/0; 13/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 28/11; 12/5; 13/5; 27/11; 9/5
META; english/premier-league/leicester-v-arsenal; 2018-05-03 18:15:56 GMT+3; 2018-05-09 19:45; Nothing; Xlenovo
Arsenal; 23/20; 6/5; 63/50; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 11/10; 9/8; 6/5; 6/5; 15/13; 1
Leicester; 9/4; 21/10; 12/5; 9/4; 21/10; 11/5; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 9/4; 9/4; 15/8; 11/5; 12/5; 9/4; 19/10
Draw; 12/5; 5/2; 129/0; 13/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 12/5; 13/5; 27/11; 9/5
META; english/premier-league/leicester-v-arsenal; 2018-05-03 22:15:55 GMT+3; 2018-05-09 19:45; Nothing; Xlenovo
Arsenal; 23/20; 6/5; 63/50; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 11/10; 6/5; 6/5; 15/13; 1
Leicester; 9/4; 21/10; 12/5; 9/4; 21/10; 11/5; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 9/4; 9/4; 11/5; 12/5; 9/4; 19/10
Draw; 12/5; 5/2; 129/0; 13/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 12/5; 13/5; 27/11; 9/5
META; english/premier-league/leicester-v-arsenal; 2018-05-04 02:15:50 GMT+3; 2018-05-09 19:45; Nothing; Xlenovo
Arsenal; 23/20; 6/5; 63/50; 6/5; 11/10; 6/5; 23/20; 6/5; 23/20; 6/5; 5/4; 6/5; 15/13; 11/10; 9/8; 6/5; 6/5; 15/13; 1; 6/5
Leicester; 9/4; 21/10; 12/5; 9/4; 21/10; 11/5; 21/10; 23/10; 11/5; 11/5; 21/10; 9/4; 9/4; 9/4; 15/8; 11/5; 12/5; 9/4; 19/10; 2
Draw; 12/5; 5/2; 129/0; 13/5; 12/5; 12/5; 12/5; 5/2; 5/2; 5/2; 5/2; 5/2; 12/5; 5/2; 28/11; 12/5; 13/5; 27/11; 9/5; 12/5
META; english/premier-league/leicester-v-arsenal; 2018-05-04 10:15:51 GMT+3; 2018-05-09 19:45; Nothing; Xlenovo
