META; english/premier-league/man-city-v-burnley; 2017-09-20 22:18:02 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-burnley; 2017-09-21 02:17:59 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-burnley; 2017-09-21 10:18:02 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-burnley; 2017-09-21 14:18:04 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-burnley; 2017-09-21 18:18:10 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/man-city-v-burnley; 2017-09-21 22:18:07 GMT+3; 2017-10-21 15:00; Nothing; Xlenovo
Man City; ; ; ; ; ; ; ; 1/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; ; ; ; 13/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; ; ; ; 20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
