META; english/premier-league/bournemouth-v-arsenal; 2017-12-30 02:17:15 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 59/ 100; 4/7; 5/9; 8/15; ; ; ; 8/15; ; ; ; ; 4/7; ; 4/7; ; ; 8/15; ; 1/2; ; ; 4/11; ; 
Draw; ; ; ; ; 67/20; 10/3; 16/5; 16/5; ; ; ; 3; ; ; ; ; 3; ; 3; ; ; 3; ; 16/5; ; ; 5/2; ; 
Bournemouth; ; ; ; ; 27/5; 11/2; 5; 5; ; ; ; 5; ; ; ; ; 5; ; 5; ; ; 5; ; 21/4; ; ; 10/3; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-30 10:17:14 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 59/ 100; 4/7; 5/9; 8/15; ; ; ; 8/15; ; ; ; ; 4/7; ; 4/7; ; ; 8/15; ; 1/2; ; ; 4/11; ; 
Draw; ; ; ; ; 67/20; 10/3; 16/5; 16/5; ; ; ; 3; ; ; ; ; 3; ; 3; ; ; 3; ; 16/5; ; ; 5/2; ; 
Bournemouth; ; ; ; ; 27/5; 11/2; 5; 5; ; ; ; 5; ; ; ; ; 5; ; 5; ; ; 5; ; 21/4; ; ; 10/3; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-30 14:17:25 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 59/ 100; 4/7; 5/9; 8/15; ; ; ; 8/15; ; ; ; ; 4/7; ; 4/7; ; ; 8/15; ; 1/2; ; ; 4/11; ; 
Draw; ; ; ; ; 67/20; 10/3; 16/5; 16/5; ; ; ; 3; ; ; ; ; 3; ; 3; ; ; 3; ; 16/5; ; ; 5/2; ; 
Bournemouth; ; ; ; ; 27/5; 11/2; 5; 5; ; ; ; 5; ; ; ; ; 5; ; 5; ; ; 5; ; 21/4; ; ; 10/3; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-30 18:17:17 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; ; ; ; 59/ 100; 4/7; 5/9; 8/15; ; ; ; 8/15; ; ; ; ; 4/7; ; 4/7; ; ; 8/15; ; 1/2; ; ; 4/11; ; 
Draw; ; ; ; ; 67/20; 10/3; 16/5; 16/5; ; ; ; 3; ; ; ; ; 3; ; 3; ; ; 3; ; 16/5; ; ; 5/2; ; 
Bournemouth; ; ; ; ; 27/5; 11/2; 5; 5; ; ; ; 5; ; ; ; ; 5; ; 5; ; ; 5; ; 21/4; ; ; 10/3; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-30 22:16:55 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; 8/13; ; ; 59/ 100; 4/7; 5/9; 8/15; ; ; ; 4/7; ; ; ; ; 4/7; ; 4/7; ; ; 8/15; ; 1/2; ; ; 2/5; ; 
Draw; ; 3; ; ; 67/20; 10/3; 16/5; 16/5; ; ; ; 3; ; ; ; ; 3; ; 3; ; ; 3; ; 16/5; ; ; 5/2; ; 
Bournemouth; ; 4; ; ; 27/5; 11/2; 5; 5; ; ; ; 9/2; ; ; ; ; 5; ; 5; ; ; 5; ; 21/4; ; ; 10/3; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-31 02:16:54 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; 8/13; ; ; 59/ 100; 4/7; 5/9; 8/15; ; ; ; 4/7; ; ; ; ; 4/7; ; 4/7; ; ; 8/15; ; 1/2; ; ; 2/5; ; 
Draw; ; 3; ; ; 67/20; 10/3; 16/5; 16/5; ; ; ; 3; ; ; ; ; 3; ; 3; ; ; 3; ; 16/5; ; ; 5/2; ; 
Bournemouth; ; 4; ; ; 27/5; 11/2; 5; 5; ; ; ; 9/2; ; ; ; ; 5; ; 5; ; ; 5; ; 21/4; ; ; 10/3; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-31 10:16:54 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; ; 8/13; ; ; 59/ 100; 4/7; 5/9; 8/15; ; ; ; 4/7; ; ; ; ; 4/7; ; 4/7; ; ; 8/15; ; 1/2; ; ; 4/9; ; 
Draw; ; 3; ; ; 67/20; 16/5; 3; 3; ; ; ; 3; ; ; ; ; 3; ; 3; ; ; 3; ; 16/5; ; ; 21/10; ; 
Bournemouth; ; 4; ; ; 27/5; 11/2; 5; 11/2; ; ; ; 5; ; ; ; ; 5; ; 5; ; ; 5; ; 21/4; ; ; 21/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-31 14:17:00 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 3/5; 11/20; 5/9; 8/15; ; 4/7; ; 4/7; ; 4/7; 4/7; ; 4/7; 4/7; 4/7; 4/7; ; 4/7; 4/7; 8/15; 4/7; ; 4/9; ; 
Draw; 11/4; 3; 16/5; ; 18/5; 10/3; 3; 16/5; ; 3; ; 3; ; 31/10; 100/ 30; ; 3; 37/13; 3; 16/5; ; 3; 16/5; 16/5; 37/13; ; 21/10; ; 
Bournemouth; 6; 4; 9/2; ; 24/5; 6; 5; 11/2; ; 9/2; ; 9/2; ; 9/2; 9/2; ; 5; 5; 5; 41/10; ; 5; 21/4; 5; 96/19; ; 21/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-31 18:16:52 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 3/5; 11/20; 5/9; 8/15; 4/7; 4/7; ; 4/7; ; 4/7; 4/7; ; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 4/7; 8/15; 4/7; ; 4/9; ; 
Draw; 11/4; 3; 16/5; ; 18/5; 10/3; 3; 16/5; 3; 3; ; 3; ; 31/10; 100/ 30; ; 3; 37/13; 3; 16/5; 3; 3; 16/5; 16/5; 29/10; ; 21/10; ; 
Bournemouth; 6; 4; 9/2; ; 24/5; 6; 5; 11/2; 19/4; 9/2; ; 9/2; ; 9/2; 9/2; ; 5; 94/19; 5; 41/10; 23/5; 5; 21/4; 5; 5; ; 21/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2017-12-31 22:16:50 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 3/5; 11/20; 4/7; 8/15; 6/11; 4/7; ; 4/7; ; 4/7; 4/7; ; 4/7; 8/15; 4/7; 4/7; 6/11; 4/7; 4/7; 8/15; 5/9; ; 4/9; ; 
Draw; 11/4; 3; 16/5; ; 67/20; 10/3; 3; 10/3; 41/13; 3; ; 3; ; 31/10; 100/ 30; ; 3; 3; 3; 16/5; 41/13; 100/ 30; 16/5; 10/3; 3; ; 21/10; ; 
Bournemouth; 6; 4; 9/2; ; 26/5; 6; 5; 5; 19/4; 9/2; ; 9/2; ; 9/2; 9/2; ; 5; 96/19; 5; 41/10; 23/5; 19/4; 21/4; 19/4; 51/10; ; 21/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-01 02:16:47 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 3/5; 11/20; 5/9; 8/15; 6/11; 4/7; ; 4/7; ; 4/7; 4/7; ; 4/7; 8/15; 4/7; 4/7; 6/11; 4/7; 4/7; 8/15; 5/9; ; 1/2; ; 
Draw; 11/4; 3; 16/5; ; 17/5; 7/2; 16/5; 10/3; 41/13; 3; ; 3; ; 31/10; 100/ 30; ; 3; 3; 3; 16/5; 41/13; 100/ 30; 16/5; 16/5; 3; ; 9/4; ; 
Bournemouth; 6; 4; 9/2; ; 51/10; 11/2; 5; 5; 19/4; 9/2; ; 5; ; 9/2; 9/2; ; 5; 5; 5; 41/10; 23/5; 19/4; 21/4; 5; 96/19; ; 23/5; ; 
META; english/premier-league/bournemouth-v-arsenal; 2018-01-01 10:16:51 GMT+2; 2018-01-14 13:30; Nothing; Xlenovo
Arsenal; 8/15; 8/13; 4/7; ; 59/ 100; 11/20; 5/9; 8/15; 6/11; 4/7; ; 4/7; ; 4/7; 4/7; ; 4/7; 5/9; 4/7; 4/7; 6/11; 4/7; 4/7; 8/15; 4/7; ; 1/2; ; 
