META; english/premier-league/newcastle-v-southampton; 2018-02-25 18:16:21 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Newcastle; 13/10; 3/2; ; ; 71/50; 7/5; ; 11/8; 7/5; ; 7/5; ; ; ; 7/5; 7/5; 23/17; 8/5; ; 7/5; 7/5; 29/20; ; 7/5; ; 13/10; ; 
Southampton; 21/10; 9/5; ; ; 113/50; 11/5; ; 21/10; 2; ; 21/10; ; ; ; 21/10; 2; 2; 19/10; ; 2; 11/5; 11/5; ; 39/19; ; 2; ; 
Draw; 11/5; 9/4; ; ; 119/50; 11/5; ; 21/10; 11/5; ; 23/10; ; ; ; 11/5; 9/4; 11/5; 21/10; ; 11/5; 11/5; 9/4; ; 11/5; ; 2; ; 
META; english/premier-league/newcastle-v-southampton; 2018-02-25 22:16:23 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Newcastle; 29/20; 3/2; ; ; 79/50; 6/4; 8/5; 6/4; 16/11; ; 6/4; ; ; ; 6/4; 6/4; 6/4; 8/5; 13/9; 16/11; 6/4; 8/5; ; 17/11; ; 7/5; ; 
Southampton; 19/10; 9/5; ; ; 51/25; 2; 15/8; 15/8; 19/10; ; 2; ; ; ; 19/10; 19/10; 9/5; 19/10; 30/17; 19/10; 2; 2; ; 24/13; ; 9/5; ; 
Draw; 11/5; 9/4; ; ; 59/25; 11/5; ; 21/10; 9/4; ; 11/5; ; ; ; 9/4; 9/4; 11/5; 21/10; 9/4; 9/4; 9/4; 11/5; ; 11/5; ; 2; ; 
META; english/premier-league/newcastle-v-southampton; 2018-02-26 02:16:17 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Newcastle; 29/20; 3/2; ; ; 79/50; 6/4; 8/5; 6/4; 16/11; ; 6/4; ; ; ; 6/4; 6/4; 6/4; 8/5; 13/9; 16/11; 6/4; 8/5; ; 17/11; ; 7/5; ; 
Southampton; 19/10; 9/5; ; ; 51/25; 2; 15/8; 15/8; 19/10; ; 2; ; ; ; 19/10; 19/10; 9/5; 19/10; 30/17; 19/10; 2; 2; ; 24/13; ; 9/5; ; 
Draw; 11/5; 9/4; ; ; 59/25; 11/5; ; 21/10; 9/4; ; 11/5; ; ; ; 9/4; 9/4; 11/5; 21/10; 9/4; 9/4; 9/4; 11/5; ; 11/5; ; 2; ; 
META; english/premier-league/newcastle-v-southampton; 2018-02-26 10:16:17 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Newcastle; 29/20; 3/2; ; ; 79/50; 31/20; 8/5; 6/4; 16/11; ; 6/4; ; ; ; 6/4; 6/4; 6/4; 8/5; 13/9; 16/11; 6/4; 8/5; ; 17/11; ; 7/5; ; 
Southampton; 19/10; 9/5; ; ; 51/25; 19/10; 15/8; 15/8; 19/10; ; 2; ; ; ; 19/10; 19/10; 9/5; 19/10; 30/17; 19/10; 2; 2; ; 24/13; ; 9/5; ; 
Draw; 11/5; 9/4; ; ; 59/25; 11/5; ; 21/10; 9/4; ; 9/4; ; ; ; 9/4; 9/4; 11/5; 21/10; 9/4; 9/4; 9/4; 11/5; ; 11/5; ; 2; ; 
META; english/premier-league/newcastle-v-southampton; 2018-02-26 14:16:19 GMT+2; 2018-03-10 15:00; Nothing; Xlenovo
Newcastle; 29/20; 3/2; ; ; 79/50; 31/20; 8/5; 6/4; 16/11; ; 8/5; 8/5; ; 8/5; 6/4; 6/4; 6/4; 8/5; 13/9; 16/11; 8/5; ; 17/11; ; 7/5; ; 
