META; english/premier-league/stoke-v-arsenal; 2017-06-15 14:15:42 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; ; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; ; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Stoke; ; ; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-15 18:15:40 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-15 22:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-16 02:15:38 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-16 10:15:39 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-16 14:15:40 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-16 18:15:40 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-16 22:15:41 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 2; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/20; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-17 02:15:40 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-17 10:15:41 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
Arsenal; ; 4/5; ; 8/11; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 4/7; ; 
Draw; ; 12/5; ; 5/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 21/10; ; 
Stoke; ; 16/5; ; 10/3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1; ; 
META; english/premier-league/stoke-v-arsenal; 2017-06-17 14:15:42 GMT+3; 2017-08-19 15:00; Nothing; Xlenovo
