META; english/premier-league/man-utd-v-liverpool; 2018-02-25 18:16:13 GMT+2; 2018-03-10 12:30; Nothing; Xlenovo
Man Utd; 13/10; 13/10; ; ; 143/100; 13/10; 13/10; 5/4; 6/5; ; 6/5; ; ; ; 13/10; 13/10; 23/17; 5/4; ; 6/5; 13/10; 7/5; ; 23/17; ; 11/8; ; 
Liverpool; 21/10; 21/10; ; ; 11/5; 23/10; 21/10; 9/4; 9/4; ; 12/5; ; ; ; 11/5; 11/5; 2; 9/4; ; 9/4; 2; 85/40; ; 2; ; 21/10; ; 
Draw; 23/10; 9/4; ; ; 61/25; 23/10; 23/10; 9/4; 40/17; ; 12/5; ; ; ; 23/10; 23/10; 23/10; 23/10; ; 40/17; 12/5; 12/5; ; 40/17; ; 21/10; ; 
META; english/premier-league/man-utd-v-liverpool; 2018-02-25 22:16:14 GMT+2; 2018-03-10 12:30; Nothing; Xlenovo
Man Utd; 13/10; 13/10; ; ; 143/100; 13/10; 11/8; 13/10; 23/17; ; 11/8; ; ; ; 11/8; 13/10; 23/17; 5/4; 9/7; 23/17; 7/5; 11/8; ; 7/5; ; 11/8; ; 
Liverpool; 21/10; 21/10; ; ; 11/5; 21/10; 2; 21/10; 2; ; 11/5; ; ; ; 19/10; 21/10; 37/19; 9/4; 25/14; 2; 2; 85/40; ; 37/19; ; 19/10; ; 
Draw; 23/10; 9/4; ; ; 61/25; 12/5; 23/10; 23/10; 40/17; ; 23/10; ; ; ; 5/2; 23/10; 23/10; 23/10; 5/2; 40/17; 12/5; 5/2; ; 23/10; ; 11/5; ; 
META; english/premier-league/man-utd-v-liverpool; 2018-02-26 02:16:09 GMT+2; 2018-03-10 12:30; Nothing; Xlenovo
Man Utd; 13/10; 13/10; ; ; 147/100; 13/10; 7/5; 13/10; 23/17; ; 7/5; ; ; ; 11/8; 11/8; 7/5; 23/17; 9/7; 23/17; 7/5; 29/20; ; 16/11; ; 11/8; ; 
Liverpool; 21/10; 21/10; ; ; 85/40; 21/10; 2; 2; 2; ; 2; ; ; ; 19/10; 2; 24/13; 2; 25/14; 2; 2; 2; ; 19/10; ; 19/10; ; 
Draw; 23/10; 9/4; ; ; 61/25; 12/5; 23/10; 23/10; 40/17; ; 12/5; ; ; ; 5/2; 23/10; 23/10; 11/5; 5/2; 40/17; 12/5; 5/2; ; 23/10; ; 11/5; ; 
META; english/premier-league/man-utd-v-liverpool; 2018-02-26 10:16:10 GMT+2; 2018-03-10 12:30; Nothing; Xlenovo
Man Utd; 13/10; 13/10; ; ; 147/100; 11/8; 7/5; 13/10; 23/17; ; 7/5; ; ; ; 11/8; 11/8; 7/5; 23/17; 9/7; 23/17; 7/5; 29/20; ; 16/11; ; 11/8; ; 
Liverpool; 21/10; 21/10; ; ; 85/40; 2; 2; 2; 2; ; 2; ; ; ; 19/10; 2; 24/13; 2; 25/14; 2; 2; 2; ; 19/10; ; 19/10; ; 
Draw; 23/10; 9/4; ; ; 61/25; 12/5; 23/10; 23/10; 40/17; ; 12/5; ; ; ; 5/2; 23/10; 23/10; 11/5; 5/2; 40/17; 12/5; 5/2; ; 23/10; ; 11/5; ; 
META; english/premier-league/man-utd-v-liverpool; 2018-02-26 14:16:12 GMT+2; 2018-03-10 12:30; Nothing; Xlenovo
Man Utd; 13/10; 13/10; ; ; 147/100; 11/8; 7/5; 13/10; 23/17; ; 7/5; 29/20; ; 6/4; 11/8; 11/8; 7/5; 23/17; 9/7; 23/17; 29/20; ; 16/11; ; 11/8; ; 
Liverpool; 21/10; 21/10; ; ; 85/40; 2; 2; 2; 2; ; 2; 15/8; ; 37/20; 19/10; 2; 24/13; 2; 25/14; 2; 2; ; 19/10; ; 19/10; ; 
Draw; 23/10; 9/4; ; ; 61/25; 12/5; 23/10; 23/10; 40/17; ; 12/5; 23/10; ; 47/20; 5/2; 23/10; 23/10; 11/5; 5/2; 40/17; 5/2; ; ; ; 11/5; ; 
META; english/premier-league/man-utd-v-liverpool; 2018-02-26 18:16:12 GMT+2; 2018-03-10 12:30; Nothing; Xlenovo
Man Utd; 13/10; 7/5; ; 29/20; 37/25; 11/8; 7/5; 13/10; 23/17; ; 7/5; 7/5; ; 6/4; 11/8; 11/8; 7/5; 23/17; 9/7; 23/17; 29/20; ; 7/5; ; 11/8; ; 
Liverpool; 21/10; 19/10; ; 9/5; 52/25; 2; 2; 2; 2; ; 2; 19/10; ; 37/20; 19/10; 2; 19/10; 2; 25/14; 2; 2; ; 19/10; ; 19/10; ; 
Draw; 23/10; 12/5; ; 12/5; 62/25; 12/5; 23/10; 23/10; 40/17; ; 12/5; 23/10; ; 47/20; 5/2; 23/10; 23/10; 11/5; 5/2; 40/17; 5/2; ; 40/17; ; 11/5; ; 
META; english/premier-league/man-utd-v-liverpool; 2018-02-26 22:16:10 GMT+2; 2018-03-10 12:30; Nothing; Xlenovo
