META; english/premier-league/newcastle-v-burnley; 2018-01-03 18:17:08 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-03 22:17:05 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-04 02:17:03 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-04 10:17:06 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-04 14:17:14 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-04 18:17:09 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-04 22:17:10 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-05 02:17:06 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-05 10:17:02 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-05 14:17:34 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-05 18:18:32 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-05 22:18:00 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; 6/5; ; 6/5; ; ; ; ; 6/5; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; ; ; ; 21/10; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; ; ; 5/2; ; ; ; ; 
META; english/premier-league/newcastle-v-burnley; 2018-01-06 02:17:15 GMT+2; 2018-01-31 19:45; Nothing; Xlenovo
Newcastle; ; ; ; ; 7/5; ; ; 1; ; ; ; ; ; ; ; ; 6/5; ; 6/5; ; ; ; ; 6/5; ; ; ; ; 
Draw; ; ; ; ; 54/25; ; ; 23/10; ; ; ; ; ; ; ; ; 11/5; ; 11/5; ; ; ; ; 21/10; ; ; ; ; 
Burnley; ; ; ; ; 51/20; ; ; 13/5; ; ; ; ; ; ; ; ; 5/2; ; 5/2; ; ; ; ; 5/2; ; ; ; ; 
